Lat:;10.9921867844;lon:;104.979381532;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;0.0
1985-02-01 00:00:00;1985;2;1;0.0
1985-03-01 00:00:00;1985;3;1;2.09
1985-04-01 00:00:00;1985;4;1;143.47
1985-05-01 00:00:00;1985;5;1;234.24
1985-06-01 00:00:00;1985;6;1;110.59
1985-07-01 00:00:00;1985;7;1;190.0
1985-08-01 00:00:00;1985;8;1;37.74
1985-09-01 00:00:00;1985;9;1;136.52
1985-10-01 00:00:00;1985;10;1;257.7
1985-11-01 00:00:00;1985;11;1;87.13
1985-12-01 00:00:00;1985;12;1;16.17
1986-01-01 00:00:00;1986;1;1;5.22
1986-02-01 00:00:00;1986;2;1;0.0
1986-03-01 00:00:00;1986;3;1;0.0
1986-04-01 00:00:00;1986;4;1;18.78
1986-05-01 00:00:00;1986;5;1;187.79
1986-06-01 00:00:00;1986;6;1;38.62
1986-07-01 00:00:00;1986;7;1;51.13
1986-08-01 00:00:00;1986;8;1;57.38
1986-09-01 00:00:00;1986;9;1;123.24
1986-10-01 00:00:00;1986;10;1;121.91
1986-11-01 00:00:00;1986;11;1;4.97
1986-12-01 00:00:00;1986;12;1;18.78
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;5.22
1987-04-01 00:00:00;1987;4;1;3.13
1987-05-01 00:00:00;1987;5;1;13.57
1987-06-01 00:00:00;1987;6;1;12.32
1987-07-01 00:00:00;1987;7;1;17.04
1987-08-01 00:00:00;1987;8;1;53.91
1987-09-01 00:00:00;1987;9;1;7.31
1987-10-01 00:00:00;1987;10;1;154.41
1987-11-01 00:00:00;1987;11;1;263.95
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;0.0
1988-02-01 00:00:00;1988;2;1;3.13
1988-03-01 00:00:00;1988;3;1;17.39
1988-04-01 00:00:00;1988;4;1;39.93
1988-05-01 00:00:00;1988;5;1;140.5
1988-06-01 00:00:00;1988;6;1;43.82
1988-07-01 00:00:00;1988;7;1;170.06
1988-08-01 00:00:00;1988;8;1;48.01
1988-09-01 00:00:00;1988;9;1;54.27
1988-10-01 00:00:00;1988;10;1;58.43
1988-11-01 00:00:00;1988;11;1;14.6
1988-12-01 00:00:00;1988;12;1;0.0
1989-01-01 00:00:00;1989;1;1;0.0
1989-02-01 00:00:00;1989;2;1;11.49
1989-03-01 00:00:00;1989;3;1;0.0
1989-04-01 00:00:00;1989;4;1;8.35
1989-05-01 00:00:00;1989;5;1;133.55
1989-06-01 00:00:00;1989;6;1;97.86
1989-07-01 00:00:00;1989;7;1;224.72
1989-08-01 00:00:00;1989;8;1;112.18
1989-09-01 00:00:00;1989;9;1;104.81
1989-10-01 00:00:00;1989;10;1;429.56
1989-11-01 00:00:00;1989;11;1;153.22
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;0.0
1990-02-01 00:00:00;1990;2;1;0.0
1990-03-01 00:00:00;1990;3;1;0.0
1990-04-01 00:00:00;1990;4;1;69.9
1990-05-01 00:00:00;1990;5;1;0.0
1990-06-01 00:00:00;1990;6;1;58.75
1990-07-01 00:00:00;1990;7;1;83.98
1990-08-01 00:00:00;1990;8;1;145.43
