Lat:;13.6367406359;lon:;103.629966479;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;0.0
1985-02-01 00:00:00;1985;2;1;0.0
1985-03-01 00:00:00;1985;3;1;10.55
1985-04-01 00:00:00;1985;4;1;67.37
1985-05-01 00:00:00;1985;5;1;188.25
1985-06-01 00:00:00;1985;6;1;192.44
1985-07-01 00:00:00;1985;7;1;121.67
1985-08-01 00:00:00;1985;8;1;88.47
1985-09-01 00:00:00;1985;9;1;264.77
1985-10-01 00:00:00;1985;10;1;79.84
1985-11-01 00:00:00;1985;11;1;48.95
1985-12-01 00:00:00;1985;12;1;0.0
1986-01-01 00:00:00;1986;1;1;0.0
1986-02-01 00:00:00;1986;2;1;0.0
1986-03-01 00:00:00;1986;3;1;0.0
1986-04-01 00:00:00;1986;4;1;0.0
1986-05-01 00:00:00;1986;5;1;86.27
1986-06-01 00:00:00;1986;6;1;118.11
1986-07-01 00:00:00;1986;7;1;86.05
1986-08-01 00:00:00;1986;8;1;342.31
1986-09-01 00:00:00;1986;9;1;209.54
1986-10-01 00:00:00;1986;10;1;338.45
1986-11-01 00:00:00;1986;11;1;11.28
1986-12-01 00:00:00;1986;12;1;0.0
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;14.31
1987-04-01 00:00:00;1987;4;1;49.06
1987-05-01 00:00:00;1987;5;1;120.54
1987-06-01 00:00:00;1987;6;1;84.14
1987-07-01 00:00:00;1987;7;1;106.15
1987-08-01 00:00:00;1987;8;1;121.19
1987-09-01 00:00:00;1987;9;1;282.87
1987-10-01 00:00:00;1987;10;1;151.27
1987-11-01 00:00:00;1987;11;1;102.62
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;0.0
1988-02-01 00:00:00;1988;2;1;0.0
1988-03-01 00:00:00;1988;3;1;0.74
1988-04-01 00:00:00;1988;4;1;64.31
1988-05-01 00:00:00;1988;5;1;126.75
1988-06-01 00:00:00;1988;6;1;254.33
1988-07-01 00:00:00;1988;7;1;93.9
1988-08-01 00:00:00;1988;8;1;221.19
1988-09-01 00:00:00;1988;9;1;264.56
1988-10-01 00:00:00;1988;10;1;182.76
1988-11-01 00:00:00;1988;11;1;26.41
1988-12-01 00:00:00;1988;12;1;0.0
1989-01-01 00:00:00;1989;1;1;0.41
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;48.9
1989-04-01 00:00:00;1989;4;1;36.89
1989-05-01 00:00:00;1989;5;1;195.27
1989-06-01 00:00:00;1989;6;1;152.21
1989-07-01 00:00:00;1989;7;1;209.75
1989-08-01 00:00:00;1989;8;1;251.46
1989-09-01 00:00:00;1989;9;1;268.03
1989-10-01 00:00:00;1989;10;1;217.61
1989-11-01 00:00:00;1989;11;1;71.95
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;12.27
1990-02-01 00:00:00;1990;2;1;0.0
1990-03-01 00:00:00;1990;3;1;24.91
1990-04-01 00:00:00;1990;4;1;96.41
1990-05-01 00:00:00;1990;5;1;107.33
1990-06-01 00:00:00;1990;6;1;305.73
1990-07-01 00:00:00;1990;7;1;60.7
1990-08-01 00:00:00;1990;8;1;89.08
