Lat:;11.2491136863;lon:;105.399947208;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;11.92
1985-02-01 00:00:00;1985;2;1;0.0
1985-03-01 00:00:00;1985;3;1;0.0
1985-04-01 00:00:00;1985;4;1;135.59
1985-05-01 00:00:00;1985;5;1;235.56
1985-06-01 00:00:00;1985;6;1;174.9
1985-07-01 00:00:00;1985;7;1;113.26
1985-08-01 00:00:00;1985;8;1;154.14
1985-09-01 00:00:00;1985;9;1;189.68
1985-10-01 00:00:00;1985;10;1;211.88
1985-11-01 00:00:00;1985;11;1;127.57
1985-12-01 00:00:00;1985;12;1;0.0
1986-01-01 00:00:00;1986;1;1;0.97
1986-02-01 00:00:00;1986;2;1;0.0
1986-03-01 00:00:00;1986;3;1;0.0
1986-04-01 00:00:00;1986;4;1;36.34
1986-05-01 00:00:00;1986;5;1;179.61
1986-06-01 00:00:00;1986;6;1;148.05
1986-07-01 00:00:00;1986;7;1;89.91
1986-08-01 00:00:00;1986;8;1;226.07
1986-09-01 00:00:00;1986;9;1;258.49
1986-10-01 00:00:00;1986;10;1;321.37
1986-11-01 00:00:00;1986;11;1;187.87
1986-12-01 00:00:00;1986;12;1;13.24
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;0.0
1987-04-01 00:00:00;1987;4;1;0.0
1987-05-01 00:00:00;1987;5;1;47.38
1987-06-01 00:00:00;1987;6;1;52.52
1987-07-01 00:00:00;1987;7;1;96.42
1987-08-01 00:00:00;1987;8;1;207.17
1987-09-01 00:00:00;1987;9;1;342.01
1987-10-01 00:00:00;1987;10;1;260.76
1987-11-01 00:00:00;1987;11;1;229.95
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;9.87
1988-02-01 00:00:00;1988;2;1;35.8
1988-03-01 00:00:00;1988;3;1;51.25
1988-04-01 00:00:00;1988;4;1;155.96
1988-05-01 00:00:00;1988;5;1;262.03
1988-06-01 00:00:00;1988;6;1;267.33
1988-07-01 00:00:00;1988;7;1;205.02
1988-08-01 00:00:00;1988;8;1;145.12
1988-09-01 00:00:00;1988;9;1;252.61
1988-10-01 00:00:00;1988;10;1;337.79
1988-11-01 00:00:00;1988;11;1;104.55
1988-12-01 00:00:00;1988;12;1;3.68
1989-01-01 00:00:00;1989;1;1;6.63
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;33.64
1989-04-01 00:00:00;1989;4;1;113.9
1989-05-01 00:00:00;1989;5;1;102.37
1989-06-01 00:00:00;1989;6;1;118.58
1989-07-01 00:00:00;1989;7;1;303.63
1989-08-01 00:00:00;1989;8;1;144.27
1989-09-01 00:00:00;1989;9;1;205.03
1989-10-01 00:00:00;1989;10;1;0.0
1989-11-01 00:00:00;1989;11;1;0.0
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;0.0
1990-02-01 00:00:00;1990;2;1;0.0
1990-03-01 00:00:00;1990;3;1;23.54
1990-04-01 00:00:00;1990;4;1;74.52
1990-05-01 00:00:00;1990;5;1;158.04
1990-06-01 00:00:00;1990;6;1;148.83
1990-07-01 00:00:00;1990;7;1;219.1
1990-08-01 00:00:00;1990;8;1;221.08
1990-09-01 00:00:00;1990;9;1;172.79
1990-10-01 00:00:00;1990;10;1;296.45
1990-11-01 00:00:00;1990;11;1;46.96
1990-12-01 00:00:00;1990;12;1;0.0
1991-01-01 00:00:00;1991;1;1;0.0
1991-02-01 00:00:00;1991;2;1;0.0
1991-03-01 00:00:00;1991;3;1;0.0
1991-04-01 00:00:00;1991;4;1;104.12
1991-05-01 00:00:00;1991;5;1;72.67
1991-06-01 00:00:00;1991;6;1;221.8
1991-07-01 00:00:00;1991;7;1;198.74
1991-08-01 00:00:00;1991;8;1;121.39
1991-09-01 00:00:00;1991;9;1;93.79
1991-10-01 00:00:00;1991;10;1;183.68
1991-11-01 00:00:00;1991;11;1;0.0
1991-12-01 00:00:00;1991;12;1;0.0
1992-01-01 00:00:00;1992;1;1;0.0
1992-02-01 00:00:00;1992;2;1;0.54
1992-03-01 00:00:00;1992;3;1;1.96
1992-04-01 00:00:00;1992;4;1;129.63
1992-05-01 00:00:00;1992;5;1;46.64
1992-06-01 00:00:00;1992;6;1;99.68
1992-07-01 00:00:00;1992;7;1;152.3
1992-08-01 00:00:00;1992;8;1;150.77
1992-09-01 00:00:00;1992;9;1;191.86
1992-10-01 00:00:00;1992;10;1;211.56
1992-11-01 00:00:00;1992;11;1;23.0
1992-12-01 00:00:00;1992;12;1;19.74
1993-01-01 00:00:00;1993;1;1;25.16
1993-02-01 00:00:00;1993;2;1;0.0
1993-03-01 00:00:00;1993;3;1;86.99
1993-04-01 00:00:00;1993;4;1;10.74
1993-05-01 00:00:00;1993;5;1;175.06
1993-06-01 00:00:00;1993;6;1;210.96
1993-07-01 00:00:00;1993;7;1;311.52
1993-08-01 00:00:00;1993;8;1;53.15
1993-09-01 00:00:00;1993;9;1;252.49
1993-10-01 00:00:00;1993;10;1;377.93
1993-11-01 00:00:00;1993;11;1;104.07
1993-12-01 00:00:00;1993;12;1;3.31
1994-01-01 00:00:00;1994;1;1;6.61
1994-02-01 00:00:00;1994;2;1;0.0
1994-03-01 00:00:00;1994;3;1;134.93
1994-04-01 00:00:00;1994;4;1;91.67
1994-05-01 00:00:00;1994;5;1;104.88
1994-06-01 00:00:00;1994;6;1;234.62
1994-07-01 00:00:00;1994;7;1;77.13
1994-08-01 00:00:00;1994;8;1;239.38
1994-09-01 00:00:00;1994;9;1;329.96
1994-10-01 00:00:00;1994;10;1;111.39
1994-11-01 00:00:00;1994;11;1;11.43
1994-12-01 00:00:00;1994;12;1;34.58
1995-01-01 00:00:00;1995;1;1;0.0
1995-02-01 00:00:00;1995;2;1;0.0
1995-03-01 00:00:00;1995;3;1;50.12
1995-04-01 00:00:00;1995;4;1;42.31
1995-05-01 00:00:00;1995;5;1;254.16
1995-06-01 00:00:00;1995;6;1;184.28
1995-07-01 00:00:00;1995;7;1;215.88
1995-08-01 00:00:00;1995;8;1;253.27
1995-09-01 00:00:00;1995;9;1;529.0
1995-10-01 00:00:00;1995;10;1;338.19
1995-11-01 00:00:00;1995;11;1;121.69
1995-12-01 00:00:00;1995;12;1;21.91
1996-01-01 00:00:00;1996;1;1;55.53
1996-02-01 00:00:00;1996;2;1;2.17
1996-03-01 00:00:00;1996;3;1;0.0
1996-04-01 00:00:00;1996;4;1;146.61
1996-05-01 00:00:00;1996;5;1;125.26
1996-06-01 00:00:00;1996;6;1;293.38
1996-07-01 00:00:00;1996;7;1;315.53
1996-08-01 00:00:00;1996;8;1;155.26
1996-09-01 00:00:00;1996;9;1;306.39
1996-10-01 00:00:00;1996;10;1;440.37
1996-11-01 00:00:00;1996;11;1;177.76
1996-12-01 00:00:00;1996;12;1;59.24
1997-01-01 00:00:00;1997;1;1;0.0
1997-02-01 00:00:00;1997;2;1;127.78
1997-03-01 00:00:00;1997;3;1;18.98
1997-04-01 00:00:00;1997;4;1;284.09
1997-05-01 00:00:00;1997;5;1;334.77
1997-06-01 00:00:00;1997;6;1;97.2
1997-07-01 00:00:00;1997;7;1;203.05
1997-08-01 00:00:00;1997;8;1;168.03
1997-09-01 00:00:00;1997;9;1;224.96
1997-10-01 00:00:00;1997;10;1;474.77
1997-11-01 00:00:00;1997;11;1;54.31
1997-12-01 00:00:00;1997;12;1;14.69
1998-01-01 00:00:00;1998;1;1;15.18
1998-02-01 00:00:00;1998;2;1;0.0
1998-03-01 00:00:00;1998;3;1;57.49
1998-04-01 00:00:00;1998;4;1;60.74
1998-05-01 00:00:00;1998;5;1;170.13
1998-06-01 00:00:00;1998;6;1;90.21
1998-07-01 00:00:00;1998;7;1;112.79
1998-08-01 00:00:00;1998;8;1;41.2
1998-09-01 00:00:00;1998;9;1;397.17
1998-10-01 00:00:00;1998;10;1;169.73
1998-11-01 00:00:00;1998;11;1;181.5
1998-12-01 00:00:00;1998;12;1;0.0
1999-01-01 00:00:00;1999;1;1;0.0
1999-02-01 00:00:00;1999;2;1;0.0
