Lat:;12.2975323784;lon:;104.175320687;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;0.0
1985-02-01 00:00:00;1985;2;1;83.0
1985-03-01 00:00:00;1985;3;1;78.0
1985-04-01 00:00:00;1985;4;1;18.441178
1985-05-01 00:00:00;1985;5;1;209.552236
1985-06-01 00:00:00;1985;6;1;200.057993
1985-07-01 00:00:00;1985;7;1;192.67134
1985-08-01 00:00:00;1985;8;1;88.136362
1985-09-01 00:00:00;1985;9;1;263.729743
1985-10-01 00:00:00;1985;10;1;358.134093
1985-11-01 00:00:00;1985;11;1;92.385864
1985-12-01 00:00:00;1985;12;1;0.0
1986-01-01 00:00:00;1986;1;1;63.0
1986-02-01 00:00:00;1986;2;1;75.0
1986-03-01 00:00:00;1986;3;1;0.0
1986-04-01 00:00:00;1986;4;1;0.0
1986-05-01 00:00:00;1986;5;1;372.272738
1986-06-01 00:00:00;1986;6;1;230.958704
1986-07-01 00:00:00;1986;7;1;168.0294
1986-08-01 00:00:00;1986;8;1;169.347814
1986-09-01 00:00:00;1986;9;1;139.140585
1986-10-01 00:00:00;1986;10;1;172.061063
1986-11-01 00:00:00;1986;11;1;288.844436
1986-12-01 00:00:00;1986;12;1;0.0
1987-01-01 00:00:00;1987;1;1;53.0
1987-02-01 00:00:00;1987;2;1;1.625
1987-03-01 00:00:00;1987;3;1;0.0
1987-04-01 00:00:00;1987;4;1;45.2381
1987-05-01 00:00:00;1987;5;1;41.142852
1987-06-01 00:00:00;1987;6;1;126.85058
1987-07-01 00:00:00;1987;7;1;198.631586
1987-08-01 00:00:00;1987;8;1;150.101682
1987-09-01 00:00:00;1987;9;1;188.213732
1987-10-01 00:00:00;1987;10;1;138.66667
1987-11-01 00:00:00;1987;11;1;89.999999
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;78.0
1988-02-01 00:00:00;1988;2;1;0.0
1988-03-01 00:00:00;1988;3;1;0.0
1988-04-01 00:00:00;1988;4;1;95.179856
1988-05-01 00:00:00;1988;5;1;20.827817
1988-06-01 00:00:00;1988;6;1;115.789092
1988-07-01 00:00:00;1988;7;1;27.331858
1988-08-01 00:00:00;1988;8;1;92.6417
1988-09-01 00:00:00;1988;9;1;318.786757
1988-10-01 00:00:00;1988;10;1;73.969106
1988-11-01 00:00:00;1988;11;1;134.933329
1988-12-01 00:00:00;1988;12;1;0.0
1989-01-01 00:00:00;1989;1;1;86.0
1989-02-01 00:00:00;1989;2;1;70.0
1989-03-01 00:00:00;1989;3;1;59.990099
1989-04-01 00:00:00;1989;4;1;218.166655
1989-05-01 00:00:00;1989;5;1;115.419193
1989-06-01 00:00:00;1989;6;1;98.000004
1989-07-01 00:00:00;1989;7;1;220.449277
1989-08-01 00:00:00;1989;8;1;168.637879
1989-09-01 00:00:00;1989;9;1;240.296881
1989-10-01 00:00:00;1989;10;1;186.018234
1989-11-01 00:00:00;1989;11;1;18.77727
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;89.0
1990-02-01 00:00:00;1990;2;1;0.0
1990-03-01 00:00:00;1990;3;1;69.0
1990-04-01 00:00:00;1990;4;1;32.201257
1990-05-01 00:00:00;1990;5;1;56.242996
1990-06-01 00:00:00;1990;6;1;133.830511
