Lat:;13.733002241;lon:;106.967000495;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;0.0
1985-02-01 00:00:00;1985;2;1;0.0
1985-03-01 00:00:00;1985;3;1;25.69
1985-04-01 00:00:00;1985;4;1;135.93
1985-05-01 00:00:00;1985;5;1;66.34
1985-06-01 00:00:00;1985;6;1;634.08
1985-07-01 00:00:00;1985;7;1;286.73
1985-08-01 00:00:00;1985;8;1;497.66
1985-09-01 00:00:00;1985;9;1;255.86
1985-10-01 00:00:00;1985;10;1;77.12
1985-11-01 00:00:00;1985;11;1;62.89
1985-12-01 00:00:00;1985;12;1;1.08
1986-01-01 00:00:00;1986;1;1;0.0
1986-02-01 00:00:00;1986;2;1;5.97
1986-03-01 00:00:00;1986;3;1;34.61
1986-04-01 00:00:00;1986;4;1;75.61
1986-05-01 00:00:00;1986;5;1;543.5
1986-06-01 00:00:00;1986;6;1;149.06
1986-07-01 00:00:00;1986;7;1;266.81
1986-08-01 00:00:00;1986;8;1;540.27
1986-09-01 00:00:00;1986;9;1;468.67
1986-10-01 00:00:00;1986;10;1;136.25
1986-11-01 00:00:00;1986;11;1;39.62
1986-12-01 00:00:00;1986;12;1;122.23
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;21.08
1987-03-01 00:00:00;1987;3;1;33.49
1987-04-01 00:00:00;1987;4;1;3.21
1987-05-01 00:00:00;1987;5;1;101.21
1987-06-01 00:00:00;1987;6;1;233.81
1987-07-01 00:00:00;1987;7;1;337.09
1987-08-01 00:00:00;1987;8;1;443.84
1987-09-01 00:00:00;1987;9;1;203.82
1987-10-01 00:00:00;1987;10;1;63.81
1987-11-01 00:00:00;1987;11;1;122.78
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;0.0
1988-02-01 00:00:00;1988;2;1;3.59
1988-03-01 00:00:00;1988;3;1;0.72
1988-04-01 00:00:00;1988;4;1;49.47
1988-05-01 00:00:00;1988;5;1;184.2
1988-06-01 00:00:00;1988;6;1;339.85
1988-07-01 00:00:00;1988;7;1;172.33
1988-08-01 00:00:00;1988;8;1;228.56
1988-09-01 00:00:00;1988;9;1;182.44
1988-10-01 00:00:00;1988;10;1;486.85
1988-11-01 00:00:00;1988;11;1;14.54
1988-12-01 00:00:00;1988;12;1;1.31
1989-01-01 00:00:00;1989;1;1;0.0
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;49.81
1989-04-01 00:00:00;1989;4;1;115.12
1989-05-01 00:00:00;1989;5;1;341.35
1989-06-01 00:00:00;1989;6;1;232.5
1989-07-01 00:00:00;1989;7;1;535.14
1989-08-01 00:00:00;1989;8;1;357.61
1989-09-01 00:00:00;1989;9;1;300.24
1989-10-01 00:00:00;1989;10;1;151.99
1989-11-01 00:00:00;1989;11;1;8.18
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;0.0
1990-02-01 00:00:00;1990;2;1;15.59
1990-03-01 00:00:00;1990;3;1;54.37
1990-04-01 00:00:00;1990;4;1;23.94
1990-05-01 00:00:00;1990;5;1;345.73
1990-06-01 00:00:00;1990;6;1;565.87
1990-07-01 00:00:00;1990;7;1;251.19
1990-08-01 00:00:00;1990;8;1;407.06
