Lat:;13.0999971133;lon:;103.199998694;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;0.0
1985-02-01 00:00:00;1985;2;1;99.9
1985-03-01 00:00:00;1985;3;1;57.1
1985-04-01 00:00:00;1985;4;1;131.1
1985-05-01 00:00:00;1985;5;1;222.3
1985-06-01 00:00:00;1985;6;1;104.0
1985-07-01 00:00:00;1985;7;1;212.1
1985-08-01 00:00:00;1985;8;1;124.7
1985-09-01 00:00:00;1985;9;1;343.4
1985-10-01 00:00:00;1985;10;1;213.9
1985-11-01 00:00:00;1985;11;1;85.6
1985-12-01 00:00:00;1985;12;1;0.0
1986-01-01 00:00:00;1986;1;1;0.0
1986-02-01 00:00:00;1986;2;1;12.5
1986-03-01 00:00:00;1986;3;1;37.4
1986-04-01 00:00:00;1986;4;1;41.9
1986-05-01 00:00:00;1986;5;1;89.0
1986-06-01 00:00:00;1986;6;1;122.4
1986-07-01 00:00:00;1986;7;1;138.7
1986-08-01 00:00:00;1986;8;1;226.9
1986-09-01 00:00:00;1986;9;1;216.2
1986-10-01 00:00:00;1986;10;1;202.0
1986-11-01 00:00:00;1986;11;1;32.8
1986-12-01 00:00:00;1986;12;1;0.0
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;52.6
1987-04-01 00:00:00;1987;4;1;59.7
1987-05-01 00:00:00;1987;5;1;65.1
1987-06-01 00:00:00;1987;6;1;126.6
1987-07-01 00:00:00;1987;7;1;69.1
1987-08-01 00:00:00;1987;8;1;211.1
1987-09-01 00:00:00;1987;9;1;239.0
1987-10-01 00:00:00;1987;10;1;107.1
1987-11-01 00:00:00;1987;11;1;380.9
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;0.0
1988-02-01 00:00:00;1988;2;1;0.0
1988-03-01 00:00:00;1988;3;1;21.2
1988-04-01 00:00:00;1988;4;1;198.4
1988-05-01 00:00:00;1988;5;1;96.5
1988-06-01 00:00:00;1988;6;1;0.0
1988-07-01 00:00:00;1988;7;1;155.1
1988-08-01 00:00:00;1988;8;1;145.1
1988-09-01 00:00:00;1988;9;1;177.1
1988-10-01 00:00:00;1988;10;1;316.2
1988-11-01 00:00:00;1988;11;1;0.0
1988-12-01 00:00:00;1988;12;1;0.3
1989-01-01 00:00:00;1989;1;1;0.0
1989-02-01 00:00:00;1989;2;1;12.5
1989-03-01 00:00:00;1989;3;1;56.1
1989-04-01 00:00:00;1989;4;1;79.7
1989-05-01 00:00:00;1989;5;1;205.0
1989-06-01 00:00:00;1989;6;1;72.4
1989-07-01 00:00:00;1989;7;1;98.5
1989-08-01 00:00:00;1989;8;1;378.3
1989-09-01 00:00:00;1989;9;1;254.3
1989-10-01 00:00:00;1989;10;1;179.7
1989-11-01 00:00:00;1989;11;1;57.7
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;10.1
1990-02-01 00:00:00;1990;2;1;71.3
1990-03-01 00:00:00;1990;3;1;14.3
1990-04-01 00:00:00;1990;4;1;76.4
1990-05-01 00:00:00;1990;5;1;88.3
1990-06-01 00:00:00;1990;6;1;168.3
1990-07-01 00:00:00;1990;7;1;192.1
1990-08-01 00:00:00;1990;8;1;114.2
