Lat:;13.2547982299;lon:;102.873356625;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;0.0
1985-02-01 00:00:00;1985;2;1;0.0
1985-03-01 00:00:00;1985;3;1;10.9
1985-04-01 00:00:00;1985;4;1;69.06
1985-05-01 00:00:00;1985;5;1;192.96
1985-06-01 00:00:00;1985;6;1;197.65
1985-07-01 00:00:00;1985;7;1;124.73
1985-08-01 00:00:00;1985;8;1;90.51
1985-09-01 00:00:00;1985;9;1;271.4
1985-10-01 00:00:00;1985;10;1;81.47
1985-11-01 00:00:00;1985;11;1;50.3
1985-12-01 00:00:00;1985;12;1;8.38
1986-01-01 00:00:00;1986;1;1;0.0
1986-02-01 00:00:00;1986;2;1;0.0
1986-03-01 00:00:00;1986;3;1;0.0
1986-04-01 00:00:00;1986;4;1;0.0
1986-05-01 00:00:00;1986;5;1;88.84
1986-06-01 00:00:00;1986;6;1;168.13
1986-07-01 00:00:00;1986;7;1;90.02
1986-08-01 00:00:00;1986;8;1;352.38
1986-09-01 00:00:00;1986;9;1;177.04
1986-10-01 00:00:00;1986;10;1;117.18
1986-11-01 00:00:00;1986;11;1;11.73
1986-12-01 00:00:00;1986;12;1;0.0
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;15.09
1987-04-01 00:00:00;1987;4;1;51.13
1987-05-01 00:00:00;1987;5;1;124.22
1987-06-01 00:00:00;1987;6;1;86.33
1987-07-01 00:00:00;1987;7;1;109.79
1987-08-01 00:00:00;1987;8;1;124.7
1987-09-01 00:00:00;1987;9;1;291.35
1987-10-01 00:00:00;1987;10;1;155.91
1987-11-01 00:00:00;1987;11;1;106.96
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;0.0
1988-02-01 00:00:00;1988;2;1;0.0
1988-03-01 00:00:00;1988;3;1;0.0
1988-04-01 00:00:00;1988;4;1;114.66
1988-05-01 00:00:00;1988;5;1;56.32
1988-06-01 00:00:00;1988;6;1;71.58
1988-07-01 00:00:00;1988;7;1;109.47
1988-08-01 00:00:00;1988;8;1;84.66
1988-09-01 00:00:00;1988;9;1;103.27
1988-10-01 00:00:00;1988;10;1;198.83
1988-11-01 00:00:00;1988;11;1;0.0
1988-12-01 00:00:00;1988;12;1;0.0
1989-01-01 00:00:00;1989;1;1;0.84
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;0.84
1989-04-01 00:00:00;1989;4;1;38.55
1989-05-01 00:00:00;1989;5;1;200.83
1989-06-01 00:00:00;1989;6;1;158.1
1989-07-01 00:00:00;1989;7;1;214.08
1989-08-01 00:00:00;1989;8;1;258.65
1989-09-01 00:00:00;1989;9;1;276.28
1989-10-01 00:00:00;1989;10;1;224.3
1989-11-01 00:00:00;1989;11;1;74.09
1989-12-01 00:00:00;1989;12;1;6.71
1990-01-01 00:00:00;1990;1;1;12.57
1990-02-01 00:00:00;1990;2;1;0.0
1990-03-01 00:00:00;1990;3;1;26.16
1990-04-01 00:00:00;1990;4;1;98.91
1990-05-01 00:00:00;1990;5;1;98.57
1990-06-01 00:00:00;1990;6;1;307.62
1990-07-01 00:00:00;1990;7;1;62.87
1990-08-01 00:00:00;1990;8;1;92.35
