Lat:;12.6289413396;lon:;103.731118456;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;22.92
1985-02-01 00:00:00;1985;2;1;16.13
1985-03-01 00:00:00;1985;3;1;30.13
1985-04-01 00:00:00;1985;4;1;88.49
1985-05-01 00:00:00;1985;5;1;269.13
1985-06-01 00:00:00;1985;6;1;49.23
1985-07-01 00:00:00;1985;7;1;152.86
1985-08-01 00:00:00;1985;8;1;44.08
1985-09-01 00:00:00;1985;9;1;250.24
1985-10-01 00:00:00;1985;10;1;95.61
1985-11-01 00:00:00;1985;11;1;279.16
1985-12-01 00:00:00;1985;12;1;19.43
1986-01-01 00:00:00;1986;1;1;0.0
1986-02-01 00:00:00;1986;2;1;0.0
1986-03-01 00:00:00;1986;3;1;4.25
1986-04-01 00:00:00;1986;4;1;16.46
1986-05-01 00:00:00;1986;5;1;79.77
1986-06-01 00:00:00;1986;6;1;123.84
1986-07-01 00:00:00;1986;7;1;85.65
1986-08-01 00:00:00;1986;8;1;195.53
1986-09-01 00:00:00;1986;9;1;147.47
1986-10-01 00:00:00;1986;10;1;107.44
1986-11-01 00:00:00;1986;11;1;44.58
1986-12-01 00:00:00;1986;12;1;38.03
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;15.71
1987-04-01 00:00:00;1987;4;1;31.07
1987-05-01 00:00:00;1987;5;1;155.9
1987-06-01 00:00:00;1987;6;1;116.73
1987-07-01 00:00:00;1987;7;1;130.63
1987-08-01 00:00:00;1987;8;1;112.58
1987-09-01 00:00:00;1987;9;1;278.26
1987-10-01 00:00:00;1987;10;1;107.63
1987-11-01 00:00:00;1987;11;1;283.06
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;1.0
1988-02-01 00:00:00;1988;2;1;0.0
1988-03-01 00:00:00;1988;3;1;0.51
1988-04-01 00:00:00;1988;4;1;111.21
1988-05-01 00:00:00;1988;5;1;197.6
1988-06-01 00:00:00;1988;6;1;259.0
1988-07-01 00:00:00;1988;7;1;186.87
1988-08-01 00:00:00;1988;8;1;366.6
1988-09-01 00:00:00;1988;9;1;123.31
1988-10-01 00:00:00;1988;10;1;317.28
