Lat:;11.5833335328;lon:;104.933335437;mm/month
datetime;year;month;day;data
1981-01-01 00:00:00;1981;1;1;0.0
1981-02-01 00:00:00;1981;2;1;0.0
1981-03-01 00:00:00;1981;3;1;0.0
1981-04-01 00:00:00;1981;4;1;0.0
1981-05-01 00:00:00;1981;5;1;138.0
1981-06-01 00:00:00;1981;6;1;78.3
1981-07-01 00:00:00;1981;7;1;171.5
1981-08-01 00:00:00;1981;8;1;161.4
1981-09-01 00:00:00;1981;9;1;204.6
1981-10-01 00:00:00;1981;10;1;183.3
1981-11-01 00:00:00;1981;11;1;141.8
1981-12-01 00:00:00;1981;12;1;0.0
1982-01-01 00:00:00;1982;1;1;0.0
1982-02-01 00:00:00;1982;2;1;0.1
1982-03-01 00:00:00;1982;3;1;18.4
1982-04-01 00:00:00;1982;4;1;212.8
1982-05-01 00:00:00;1982;5;1;36.0
1982-06-01 00:00:00;1982;6;1;245.9
1982-07-01 00:00:00;1982;7;1;66.5
1982-08-01 00:00:00;1982;8;1;249.4
1982-09-01 00:00:00;1982;9;1;111.8
1982-10-01 00:00:00;1982;10;1;353.2
1982-11-01 00:00:00;1982;11;1;110.8
1982-12-01 00:00:00;1982;12;1;0.0
1983-01-01 00:00:00;1983;1;1;0.0
1983-02-01 00:00:00;1983;2;1;0.0
1983-03-01 00:00:00;1983;3;1;0.0
1983-04-01 00:00:00;1983;4;1;0.0
1983-05-01 00:00:00;1983;5;1;42.1
1983-06-01 00:00:00;1983;6;1;103.2
1983-07-01 00:00:00;1983;7;1;204.7
1983-08-01 00:00:00;1983;8;1;258.2
1983-09-01 00:00:00;1983;9;1;242.9
1983-10-01 00:00:00;1983;10;1;201.4
1983-11-01 00:00:00;1983;11;1;166.6
1983-12-01 00:00:00;1983;12;1;0.2
1984-01-01 00:00:00;1984;1;1;0.4
1984-02-01 00:00:00;1984;2;1;0.2
1984-03-01 00:00:00;1984;3;1;0.2
1984-04-01 00:00:00;1984;4;1;12.2
1984-05-01 00:00:00;1984;5;1;321.7
1984-06-01 00:00:00;1984;6;1;80.5
1984-07-01 00:00:00;1984;7;1;152.2
1984-08-01 00:00:00;1984;8;1;68.1
1984-09-01 00:00:00;1984;9;1;167.8
1984-10-01 00:00:00;1984;10;1;224.4
1984-11-01 00:00:00;1984;11;1;63.0
1984-12-01 00:00:00;1984;12;1;13.2
1985-01-01 00:00:00;1985;1;1;4.2
1985-02-01 00:00:00;1985;2;1;0.2
1985-03-01 00:00:00;1985;3;1;0.0
1985-04-01 00:00:00;1985;4;1;115.8
1985-05-01 00:00:00;1985;5;1;135.5
1985-06-01 00:00:00;1985;6;1;105.9
1985-07-01 00:00:00;1985;7;1;70.2
1985-08-01 00:00:00;1985;8;1;103.7
1985-09-01 00:00:00;1985;9;1;303.3
1985-10-01 00:00:00;1985;10;1;332.4
1985-11-01 00:00:00;1985;11;1;170.2
1985-12-01 00:00:00;1985;12;1;0.0
1986-01-01 00:00:00;1986;1;1;0.0
1986-02-01 00:00:00;1986;2;1;4.0
1986-03-01 00:00:00;1986;3;1;0.2
1986-04-01 00:00:00;1986;4;1;60.0
1986-05-01 00:00:00;1986;5;1;242.0
1986-06-01 00:00:00;1986;6;1;92.2
1986-07-01 00:00:00;1986;7;1;94.6
1986-08-01 00:00:00;1986;8;1;178.9
1986-09-01 00:00:00;1986;9;1;196.6
1986-10-01 00:00:00;1986;10;1;170.0
1986-11-01 00:00:00;1986;11;1;39.3
1986-12-01 00:00:00;1986;12;1;25.2
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;0.0
1987-04-01 00:00:00;1987;4;1;0.6
1987-05-01 00:00:00;1987;5;1;33.0
1987-06-01 00:00:00;1987;6;1;74.5
1987-07-01 00:00:00;1987;7;1;97.2
1987-08-01 00:00:00;1987;8;1;34.7
1987-09-01 00:00:00;1987;9;1;178.3
1987-10-01 00:00:00;1987;10;1;114.7
1987-11-01 00:00:00;1987;11;1;368.4
1987-12-01 00:00:00;1987;12;1;0.2
1988-01-01 00:00:00;1988;1;1;0.0
1988-02-01 00:00:00;1988;2;1;3.0
1988-03-01 00:00:00;1988;3;1;4.2
1988-04-01 00:00:00;1988;4;1;29.0
1988-05-01 00:00:00;1988;5;1;91.6
1988-06-01 00:00:00;1988;6;1;67.2
1988-07-01 00:00:00;1988;7;1;109.1
1988-08-01 00:00:00;1988;8;1;281.3
1988-09-01 00:00:00;1988;9;1;401.4
1988-10-01 00:00:00;1988;10;1;0.0
1988-11-01 00:00:00;1988;11;1;473.8
1988-12-01 00:00:00;1988;12;1;16.4
1989-01-01 00:00:00;1989;1;1;0.0
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;44.67
1989-04-01 00:00:00;1989;4;1;56.26
1989-05-01 00:00:00;1989;5;1;179.89
1989-06-01 00:00:00;1989;6;1;34.51
1989-07-01 00:00:00;1989;7;1;83.04
1989-08-01 00:00:00;1989;8;1;88.46
1989-09-01 00:00:00;1989;9;1;374.52
1989-10-01 00:00:00;1989;10;1;324.1
1989-11-01 00:00:00;1989;11;1;101.37
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;0.0
1990-02-01 00:00:00;1990;2;1;0.0
1990-03-01 00:00:00;1990;3;1;0.0
1990-04-01 00:00:00;1990;4;1;20.62
1990-05-01 00:00:00;1990;5;1;220.48
1990-06-01 00:00:00;1990;6;1;56.9
1990-07-01 00:00:00;1990;7;1;158.41
1990-08-01 00:00:00;1990;8;1;160.65
1990-09-01 00:00:00;1990;9;1;230.69
1990-10-01 00:00:00;1990;10;1;100.67
1990-11-01 00:00:00;1990;11;1;131.63
1990-12-01 00:00:00;1990;12;1;0.0
1991-01-01 00:00:00;1991;1;1;0.0
1991-02-01 00:00:00;1991;2;1;0.0
1991-03-01 00:00:00;1991;3;1;0.0
1991-04-01 00:00:00;1991;4;1;31.5
1991-05-01 00:00:00;1991;5;1;29.5
1991-06-01 00:00:00;1991;6;1;196.6
1991-07-01 00:00:00;1991;7;1;226.2
1991-08-01 00:00:00;1991;8;1;122.4
1991-09-01 00:00:00;1991;9;1;59.0
1991-10-01 00:00:00;1991;10;1;55.8
1991-11-01 00:00:00;1991;11;1;0.0
1991-12-01 00:00:00;1991;12;1;0.7
1992-01-01 00:00:00;1992;1;1;0.6
1992-02-01 00:00:00;1992;2;1;0.0
1992-03-01 00:00:00;1992;3;1;0.0
1992-04-01 00:00:00;1992;4;1;0.0
1992-05-01 00:00:00;1992;5;1;80.0
1992-06-01 00:00:00;1992;6;1;91.4
1992-07-01 00:00:00;1992;7;1;68.2
1992-08-01 00:00:00;1992;8;1;59.8
1992-09-01 00:00:00;1992;9;1;55.8
1992-10-01 00:00:00;1992;10;1;161.2
1992-11-01 00:00:00;1992;11;1;0.0
1992-12-01 00:00:00;1992;12;1;5.4
1993-01-01 00:00:00;1993;1;1;8.4
1993-02-01 00:00:00;1993;2;1;0.0
1993-03-01 00:00:00;1993;3;1;60.0
1993-04-01 00:00:00;1993;4;1;0.0
1993-05-01 00:00:00;1993;5;1;52.8
1993-06-01 00:00:00;1993;6;1;72.5
1993-07-01 00:00:00;1993;7;1;68.8
1993-08-01 00:00:00;1993;8;1;6.2
1993-09-01 00:00:00;1993;9;1;152.0
1993-10-01 00:00:00;1993;10;1;165.8
1993-11-01 00:00:00;1993;11;1;27.0
1993-12-01 00:00:00;1993;12;1;3.4
1994-01-01 00:00:00;1994;1;1;0.0
1994-02-01 00:00:00;1994;2;1;0.0
1994-03-01 00:00:00;1994;3;1;176.5
1994-04-01 00:00:00;1994;4;1;75.5
1994-05-01 00:00:00;1994;5;1;94.5
1994-06-01 00:00:00;1994;6;1;185.0
1994-07-01 00:00:00;1994;7;1;93.5
1994-08-01 00:00:00;1994;8;1;336.5
1994-09-01 00:00:00;1994;9;1;329.5
1994-10-01 00:00:00;1994;10;1;192.5
1994-11-01 00:00:00;1994;11;1;0.0
1994-12-01 00:00:00;1994;12;1;3.5
1995-01-01 00:00:00;1995;1;1;0.0
1995-02-01 00:00:00;1995;2;1;0.0
1995-03-01 00:00:00;1995;3;1;17.2
1995-04-01 00:00:00;1995;4;1;33.59
1995-05-01 00:00:00;1995;5;1;247.4
1995-06-01 00:00:00;1995;6;1;155.03
1995-07-01 00:00:00;1995;7;1;138.08
1995-08-01 00:00:00;1995;8;1;193.44
1995-09-01 00:00:00;1995;9;1;275.0
