Lat:;12.3900165887;lon:;103.825131923;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;22.56
1985-02-01 00:00:00;1985;2;1;15.88
1985-03-01 00:00:00;1985;3;1;29.67
1985-04-01 00:00:00;1985;4;1;87.12
1985-05-01 00:00:00;1985;5;1;264.93
1985-06-01 00:00:00;1985;6;1;48.47
1985-07-01 00:00:00;1985;7;1;150.47
1985-08-01 00:00:00;1985;8;1;43.41
1985-09-01 00:00:00;1985;9;1;246.32
1985-10-01 00:00:00;1985;10;1;94.11
1985-11-01 00:00:00;1985;11;1;274.82
1985-12-01 00:00:00;1985;12;1;19.12
1986-01-01 00:00:00;1986;1;1;0.0
1986-02-01 00:00:00;1986;2;1;0.0
1986-03-01 00:00:00;1986;3;1;4.18
1986-04-01 00:00:00;1986;4;1;16.21
1986-05-01 00:00:00;1986;5;1;78.53
1986-06-01 00:00:00;1986;6;1;121.94
1986-07-01 00:00:00;1986;7;1;84.3
1986-08-01 00:00:00;1986;8;1;192.49
1986-09-01 00:00:00;1986;9;1;145.18
1986-10-01 00:00:00;1986;10;1;105.74
1986-11-01 00:00:00;1986;11;1;43.87
1986-12-01 00:00:00;1986;12;1;37.43
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;15.46
1987-04-01 00:00:00;1987;4;1;30.59
1987-05-01 00:00:00;1987;5;1;153.48
1987-06-01 00:00:00;1987;6;1;114.9
1987-07-01 00:00:00;1987;7;1;128.59
1987-08-01 00:00:00;1987;8;1;110.85
1987-09-01 00:00:00;1987;9;1;273.92
1987-10-01 00:00:00;1987;10;1;105.95
1987-11-01 00:00:00;1987;11;1;278.69
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;0.98
1988-02-01 00:00:00;1988;2;1;0.0
1988-03-01 00:00:00;1988;3;1;0.5
1988-04-01 00:00:00;1988;4;1;109.47
1988-05-01 00:00:00;1988;5;1;194.53
1988-06-01 00:00:00;1988;6;1;254.97
1988-07-01 00:00:00;1988;7;1;183.96
1988-08-01 00:00:00;1988;8;1;360.89
1988-09-01 00:00:00;1988;9;1;121.39
1988-10-01 00:00:00;1988;10;1;312.32
1988-11-01 00:00:00;1988;11;1;69.65
1988-12-01 00:00:00;1988;12;1;2.18
1989-01-01 00:00:00;1989;1;1;6.77
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;74.92
1989-04-01 00:00:00;1989;4;1;82.79
1989-05-01 00:00:00;1989;5;1;188.94
1989-06-01 00:00:00;1989;6;1;69.05
1989-07-01 00:00:00;1989;7;1;153.98
1989-08-01 00:00:00;1989;8;1;349.32
1989-09-01 00:00:00;1989;9;1;280.69
1989-10-01 00:00:00;1989;10;1;90.81
1989-11-01 00:00:00;1989;11;1;87.57
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;0.0
1990-02-01 00:00:00;1990;2;1;0.25
1990-03-01 00:00:00;1990;3;1;75.9
1990-04-01 00:00:00;1990;4;1;80.05
1990-05-01 00:00:00;1990;5;1;82.9
1990-06-01 00:00:00;1990;6;1;76.84
1990-07-01 00:00:00;1990;7;1;169.36
1990-08-01 00:00:00;1990;8;1;188.63
1990-09-01 00:00:00;1990;9;1;211.1
1990-10-01 00:00:00;1990;10;1;213.61
1990-11-01 00:00:00;1990;11;1;0.0
1990-12-01 00:00:00;1990;12;1;0.0
1991-01-01 00:00:00;1991;1;1;0.0
1991-02-01 00:00:00;1991;2;1;0.0
1991-03-01 00:00:00;1991;3;1;1.17
1991-04-01 00:00:00;1991;4;1;25.99
1991-05-01 00:00:00;1991;5;1;153.95
1991-06-01 00:00:00;1991;6;1;118.73
1991-07-01 00:00:00;1991;7;1;210.99
1991-08-01 00:00:00;1991;8;1;145.12
1991-09-01 00:00:00;1991;9;1;268.16
1991-10-01 00:00:00;1991;10;1;205.48
1991-11-01 00:00:00;1991;11;1;4.93
1991-12-01 00:00:00;1991;12;1;0.0
1992-01-01 00:00:00;1992;1;1;4.09
1992-02-01 00:00:00;1992;2;1;1.75
1992-03-01 00:00:00;1992;3;1;0.0
1992-04-01 00:00:00;1992;4;1;27.89
1992-05-01 00:00:00;1992;5;1;51.7
1992-06-01 00:00:00;1992;6;1;144.83
1992-07-01 00:00:00;1992;7;1;117.04
1992-08-01 00:00:00;1992;8;1;274.26
1992-09-01 00:00:00;1992;9;1;213.91
1992-10-01 00:00:00;1992;10;1;172.87
1992-11-01 00:00:00;1992;11;1;40.5
1992-12-01 00:00:00;1992;12;1;9.03
1993-01-01 00:00:00;1993;1;1;31.19
1993-02-01 00:00:00;1993;2;1;0.0
1993-03-01 00:00:00;1993;3;1;52.7
1993-04-01 00:00:00;1993;4;1;63.44
1993-05-01 00:00:00;1993;5;1;82.02
1993-06-01 00:00:00;1993;6;1;227.2
1993-07-01 00:00:00;1993;7;1;138.78
1993-08-01 00:00:00;1993;8;1;52.94
1993-09-01 00:00:00;1993;9;1;242.81
1993-10-01 00:00:00;1993;10;1;380.54
1993-11-01 00:00:00;1993;11;1;10.51
1993-12-01 00:00:00;1993;12;1;12.78
1994-01-01 00:00:00;1994;1;1;0.0
1994-02-01 00:00:00;1994;2;1;2.5
1994-03-01 00:00:00;1994;3;1;146.14
1994-04-01 00:00:00;1994;4;1;7.35
1994-05-01 00:00:00;1994;5;1;155.6
1994-06-01 00:00:00;1994;6;1;217.63
1994-07-01 00:00:00;1994;7;1;67.4
1994-08-01 00:00:00;1994;8;1;264.06
1994-09-01 00:00:00;1994;9;1;284.82
1994-10-01 00:00:00;1994;10;1;149.37
1994-11-01 00:00:00;1994;11;1;13.68
1994-12-01 00:00:00;1994;12;1;0.17
1995-01-01 00:00:00;1995;1;1;0.0
1995-02-01 00:00:00;1995;2;1;20.64
1995-03-01 00:00:00;1995;3;1;29.99
1995-04-01 00:00:00;1995;4;1;63.22
1995-05-01 00:00:00;1995;5;1;211.8
1995-06-01 00:00:00;1995;6;1;160.5
1995-07-01 00:00:00;1995;7;1;260.12
1995-08-01 00:00:00;1995;8;1;223.47
1995-09-01 00:00:00;1995;9;1;400.98
1995-10-01 00:00:00;1995;10;1;386.06
1995-11-01 00:00:00;1995;11;1;168.87
1995-12-01 00:00:00;1995;12;1;27.96
1996-01-01 00:00:00;1996;1;1;0.17
1996-02-01 00:00:00;1996;2;1;8.44
1996-03-01 00:00:00;1996;3;1;1.92
1996-04-01 00:00:00;1996;4;1;185.84
1996-05-01 00:00:00;1996;5;1;247.78
1996-06-01 00:00:00;1996;6;1;127.7
1996-07-01 00:00:00;1996;7;1;124.66
1996-08-01 00:00:00;1996;8;1;126.88
1996-09-01 00:00:00;1996;9;1;215.71
1996-10-01 00:00:00;1996;10;1;538.64
1996-11-01 00:00:00;1996;11;1;127.69
1996-12-01 00:00:00;1996;12;1;28.13
1997-01-01 00:00:00;1997;1;1;5.18
1997-02-01 00:00:00;1997;2;1;17.38
1997-03-01 00:00:00;1997;3;1;14.22
1997-04-01 00:00:00;1997;4;1;119.48
1997-05-01 00:00:00;1997;5;1;98.71
1997-06-01 00:00:00;1997;6;1;158.0
1997-07-01 00:00:00;1997;7;1;176.68
1997-08-01 00:00:00;1997;8;1;270.55
1997-09-01 00:00:00;1997;9;1;257.13
1997-10-01 00:00:00;1997;10;1;177.98
1997-11-01 00:00:00;1997;11;1;7.69
1997-12-01 00:00:00;1997;12;1;0.17
1998-01-01 00:00:00;1998;1;1;0.0
1998-02-01 00:00:00;1998;2;1;29.42
1998-03-01 00:00:00;1998;3;1;0.08
1998-04-01 00:00:00;1998;4;1;53.97
1998-05-01 00:00:00;1998;5;1;35.28
1998-06-01 00:00:00;1998;6;1;185.09
1998-07-01 00:00:00;1998;7;1;103.64
1998-08-01 00:00:00;1998;8;1;183.15
1998-09-01 00:00:00;1998;9;1;269.04
1998-10-01 00:00:00;1998;10;1;171.89
1998-11-01 00:00:00;1998;11;1;140.63
1998-12-01 00:00:00;1998;12;1;9.19
1999-01-01 00:00:00;1999;1;1;28.05
1999-02-01 00:00:00;1999;2;1;0.67
1999-03-01 00:00:00;1999;3;1;18.03
1999-04-01 00:00:00;1999;4;1;170.1
1999-05-01 00:00:00;1999;5;1;250.84
1999-06-01 00:00:00;1999;6;1;223.77
1999-07-01 00:00:00;1999;7;1;176.51
1999-08-01 00:00:00;1999;8;1;105.57
1999-09-01 00:00:00;1999;9;1;204.45
1999-10-01 00:00:00;1999;10;1;184.49
1999-11-01 00:00:00;1999;11;1;291.12
1999-12-01 00:00:00;1999;12;1;35.38
2000-01-01 00:00:00;2000;1;1;0.0
2000-02-01 00:00:00;2000;2;1;6.56
2000-03-01 00:00:00;2000;3;1;30.09
2000-04-01 00:00:00;2000;4;1;176.41
2000-05-01 00:00:00;2000;5;1;259.89
2000-06-01 00:00:00;2000;6;1;192.67
2000-07-01 00:00:00;2000;7;1;124.9
2000-08-01 00:00:00;2000;8;1;205.1
2000-09-01 00:00:00;2000;9;1;284.4
2000-10-01 00:00:00;2000;10;1;483.0
