Lat:;11.5701425269;lon:;105.66793511;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;12.46
1985-02-01 00:00:00;1985;2;1;0.0
1985-03-01 00:00:00;1985;3;1;0.0
1985-04-01 00:00:00;1985;4;1;141.67
1985-05-01 00:00:00;1985;5;1;246.11
1985-06-01 00:00:00;1985;6;1;182.75
1985-07-01 00:00:00;1985;7;1;118.33
1985-08-01 00:00:00;1985;8;1;161.08
1985-09-01 00:00:00;1985;9;1;198.16
1985-10-01 00:00:00;1985;10;1;221.41
1985-11-01 00:00:00;1985;11;1;133.28
1985-12-01 00:00:00;1985;12;1;0.0
1986-01-01 00:00:00;1986;1;1;1.02
1986-02-01 00:00:00;1986;2;1;0.0
1986-03-01 00:00:00;1986;3;1;0.0
1986-04-01 00:00:00;1986;4;1;37.97
1986-05-01 00:00:00;1986;5;1;187.7
1986-06-01 00:00:00;1986;6;1;154.72
1986-07-01 00:00:00;1986;7;1;93.94
1986-08-01 00:00:00;1986;8;1;236.19
1986-09-01 00:00:00;1986;9;1;270.1
1986-10-01 00:00:00;1986;10;1;335.8
1986-11-01 00:00:00;1986;11;1;196.29
1986-12-01 00:00:00;1986;12;1;13.83
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;0.0
1987-04-01 00:00:00;1987;4;1;0.0
1987-05-01 00:00:00;1987;5;1;49.5
1987-06-01 00:00:00;1987;6;1;54.88
1987-07-01 00:00:00;1987;7;1;100.74
1987-08-01 00:00:00;1987;8;1;216.48
1987-09-01 00:00:00;1987;9;1;357.36
1987-10-01 00:00:00;1987;10;1;272.46
1987-11-01 00:00:00;1987;11;1;240.27
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;10.31
1988-02-01 00:00:00;1988;2;1;37.41
1988-03-01 00:00:00;1988;3;1;53.54
1988-04-01 00:00:00;1988;4;1;162.99
1988-05-01 00:00:00;1988;5;1;273.77
1988-06-01 00:00:00;1988;6;1;279.34
1988-07-01 00:00:00;1988;7;1;214.22
1988-08-01 00:00:00;1988;8;1;151.66
1988-09-01 00:00:00;1988;9;1;263.96
1988-10-01 00:00:00;1988;10;1;352.92
1988-11-01 00:00:00;1988;11;1;109.26
1988-12-01 00:00:00;1988;12;1;3.83
1989-01-01 00:00:00;1989;1;1;6.94
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;35.14
1989-04-01 00:00:00;1989;4;1;119.0
1989-05-01 00:00:00;1989;5;1;106.98
1989-06-01 00:00:00;1989;6;1;123.9
1989-07-01 00:00:00;1989;7;1;317.25
1989-08-01 00:00:00;1989;8;1;150.72
1989-09-01 00:00:00;1989;9;1;214.22
1989-10-01 00:00:00;1989;10;1;0.0
1989-11-01 00:00:00;1989;11;1;0.0
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;0.0
1990-02-01 00:00:00;1990;2;1;0.0
1990-03-01 00:00:00;1990;3;1;24.6
1990-04-01 00:00:00;1990;4;1;77.87
1990-05-01 00:00:00;1990;5;1;165.14
1990-06-01 00:00:00;1990;6;1;155.48
1990-07-01 00:00:00;1990;7;1;228.94
1990-08-01 00:00:00;1990;8;1;230.99
1990-09-01 00:00:00;1990;9;1;180.55
1990-10-01 00:00:00;1990;10;1;309.75
1990-11-01 00:00:00;1990;11;1;49.07
1990-12-01 00:00:00;1990;12;1;0.0
1991-01-01 00:00:00;1991;1;1;0.0
1991-02-01 00:00:00;1991;2;1;0.0
1991-03-01 00:00:00;1991;3;1;0.0
1991-04-01 00:00:00;1991;4;1;108.8
1991-05-01 00:00:00;1991;5;1;75.94
1991-06-01 00:00:00;1991;6;1;231.78
1991-07-01 00:00:00;1991;7;1;207.66
1991-08-01 00:00:00;1991;8;1;126.82
1991-09-01 00:00:00;1991;9;1;98.01
1991-10-01 00:00:00;1991;10;1;191.93
1991-11-01 00:00:00;1991;11;1;0.0
1991-12-01 00:00:00;1991;12;1;0.0
1992-01-01 00:00:00;1992;1;1;0.0
1992-02-01 00:00:00;1992;2;1;0.56
1992-03-01 00:00:00;1992;3;1;2.04
1992-04-01 00:00:00;1992;4;1;135.44
1992-05-01 00:00:00;1992;5;1;48.74
1992-06-01 00:00:00;1992;6;1;104.17
1992-07-01 00:00:00;1992;7;1;159.12
1992-08-01 00:00:00;1992;8;1;157.55
1992-09-01 00:00:00;1992;9;1;200.46
1992-10-01 00:00:00;1992;10;1;221.05
1992-11-01 00:00:00;1992;11;1;24.03
1992-12-01 00:00:00;1992;12;1;20.63
1993-01-01 00:00:00;1993;1;1;26.29
1993-02-01 00:00:00;1993;2;1;0.0
1993-03-01 00:00:00;1993;3;1;90.9
1993-04-01 00:00:00;1993;4;1;11.22
1993-05-01 00:00:00;1993;5;1;182.93
1993-06-01 00:00:00;1993;6;1;220.45
1993-07-01 00:00:00;1993;7;1;325.52
1993-08-01 00:00:00;1993;8;1;55.53
1993-09-01 00:00:00;1993;9;1;263.81
1993-10-01 00:00:00;1993;10;1;394.9
1993-11-01 00:00:00;1993;11;1;108.76
1993-12-01 00:00:00;1993;12;1;3.45
1994-01-01 00:00:00;1994;1;1;6.91
1994-02-01 00:00:00;1994;2;1;0.0
1994-03-01 00:00:00;1994;3;1;141.01
1994-04-01 00:00:00;1994;4;1;95.76
1994-05-01 00:00:00;1994;5;1;109.59
1994-06-01 00:00:00;1994;6;1;245.15
1994-07-01 00:00:00;1994;7;1;80.58
1994-08-01 00:00:00;1994;8;1;250.15
1994-09-01 00:00:00;1994;9;1;344.76
1994-10-01 00:00:00;1994;10;1;116.39
1994-11-01 00:00:00;1994;11;1;11.94
1994-12-01 00:00:00;1994;12;1;36.14
1995-01-01 00:00:00;1995;1;1;0.0
1995-02-01 00:00:00;1995;2;1;0.0
1995-03-01 00:00:00;1995;3;1;52.37
1995-04-01 00:00:00;1995;4;1;44.21
1995-05-01 00:00:00;1995;5;1;265.59
1995-06-01 00:00:00;1995;6;1;192.58
1995-07-01 00:00:00;1995;7;1;225.57
1995-08-01 00:00:00;1995;8;1;264.6
1995-09-01 00:00:00;1995;9;1;552.74
1995-10-01 00:00:00;1995;10;1;353.41
1995-11-01 00:00:00;1995;11;1;127.17
1995-12-01 00:00:00;1995;12;1;22.89
1996-01-01 00:00:00;1996;1;1;58.02
1996-02-01 00:00:00;1996;2;1;2.27
1996-03-01 00:00:00;1996;3;1;0.0
1996-04-01 00:00:00;1996;4;1;153.2
1996-05-01 00:00:00;1996;5;1;130.89
1996-06-01 00:00:00;1996;6;1;306.54
1996-07-01 00:00:00;1996;7;1;329.69
1996-08-01 00:00:00;1996;8;1;162.25
1996-09-01 00:00:00;1996;9;1;320.18
1996-10-01 00:00:00;1996;10;1;460.13
1996-11-01 00:00:00;1996;11;1;185.74
1996-12-01 00:00:00;1996;12;1;61.9
1997-01-01 00:00:00;1997;1;1;0.0
1997-02-01 00:00:00;1997;2;1;133.51
1997-03-01 00:00:00;1997;3;1;19.83
1997-04-01 00:00:00;1997;4;1;296.83
1997-05-01 00:00:00;1997;5;1;349.78
1997-06-01 00:00:00;1997;6;1;101.54
1997-07-01 00:00:00;1997;7;1;212.19
1997-08-01 00:00:00;1997;8;1;175.55
1997-09-01 00:00:00;1997;9;1;235.05
1997-10-01 00:00:00;1997;10;1;496.07
1997-11-01 00:00:00;1997;11;1;56.77
1997-12-01 00:00:00;1997;12;1;15.34
1998-01-01 00:00:00;1998;1;1;15.87
1998-02-01 00:00:00;1998;2;1;0.0
1998-03-01 00:00:00;1998;3;1;60.07
1998-04-01 00:00:00;1998;4;1;63.47
1998-05-01 00:00:00;1998;5;1;177.76
1998-06-01 00:00:00;1998;6;1;94.27
1998-07-01 00:00:00;1998;7;1;117.88
1998-08-01 00:00:00;1998;8;1;43.06
1998-09-01 00:00:00;1998;9;1;415.01
1998-10-01 00:00:00;1998;10;1;177.4
1998-11-01 00:00:00;1998;11;1;189.64
1998-12-01 00:00:00;1998;12;1;0.0
1999-01-01 00:00:00;1999;1;1;0.0
1999-02-01 00:00:00;1999;2;1;0.0
1999-03-01 00:00:00;1999;3;1;7.93
1999-04-01 00:00:00;1999;4;1;103.14
1999-05-01 00:00:00;1999;5;1;31.74
1999-06-01 00:00:00;1999;6;1;167.57
1999-07-01 00:00:00;1999;7;1;160.0
1999-08-01 00:00:00;1999;8;1;158.85
1999-09-01 00:00:00;1999;9;1;298.29
1999-10-01 00:00:00;1999;10;1;169.44
1999-11-01 00:00:00;1999;11;1;47.8
1999-12-01 00:00:00;1999;12;1;0.0
2000-01-01 00:00:00;2000;1;1;0.0
2000-02-01 00:00:00;2000;2;1;0.95
2000-03-01 00:00:00;2000;3;1;11.54
2000-04-01 00:00:00;2000;4;1;114.48
2000-05-01 00:00:00;2000;5;1;18.15
2000-06-01 00:00:00;2000;6;1;315.46
2000-07-01 00:00:00;2000;7;1;201.38
2000-08-01 00:00:00;2000;8;1;65.74
2000-09-01 00:00:00;2000;9;1;117.88
2000-10-01 00:00:00;2000;10;1;296.94
2000-11-01 00:00:00;2000;11;1;196.08
2000-12-01 00:00:00;2000;12;1;5.67
2001-01-01 00:00:00;2001;1;1;63.0
2001-02-01 00:00:00;2001;2;1;0.0
2001-03-01 00:00:00;2001;3;1;68.0
2001-04-01 00:00:00;2001;4;1;120.0
2001-05-01 00:00:00;2001;5;1;151.0
2001-06-01 00:00:00;2001;6;1;132.0
2001-07-01 00:00:00;2001;7;1;57.79
2001-08-01 00:00:00;2001;8;1;196.0
2001-09-01 00:00:00;2001;9;1;112.0
2001-10-01 00:00:00;2001;10;1;414.0
2001-11-01 00:00:00;2001;11;1;0.0
2001-12-01 00:00:00;2001;12;1;25.0
2002-01-01 00:00:00;2002;1;1;0.0
2002-02-01 00:00:00;2002;2;1;0.0
2002-03-01 00:00:00;2002;3;1;0.0
2002-04-01 00:00:00;2002;4;1;74.0
2002-05-01 00:00:00;2002;5;1;36.0
2002-06-01 00:00:00;2002;6;1;335.0
2002-07-01 00:00:00;2002;7;1;86.0
2002-08-01 00:00:00;2002;8;1;181.0
2002-09-01 00:00:00;2002;9;1;232.0
2002-10-01 00:00:00;2002;10;1;113.0
2002-11-01 00:00:00;2002;11;1;166.0
2002-12-01 00:00:00;2002;12;1;56.0
2003-01-01 00:00:00;2003;1;1;0.0
2003-02-01 00:00:00;2003;2;1;0.0
2003-03-01 00:00:00;2003;3;1;34.7
2003-04-01 00:00:00;2003;4;1;91.5
2003-05-01 00:00:00;2003;5;1;274.3
2003-06-01 00:00:00;2003;6;1;85.7
2003-07-01 00:00:00;2003;7;1;119.5
2003-08-01 00:00:00;2003;8;1;158.2
2003-09-01 00:00:00;2003;9;1;208.2
2003-10-01 00:00:00;2003;10;1;358.4
2003-11-01 00:00:00;2003;11;1;63.0
2003-12-01 00:00:00;2003;12;1;0.0
2004-01-01 00:00:00;2004;1;1;0.0
2004-02-01 00:00:00;2004;2;1;0.0
2004-03-01 00:00:00;2004;3;1;0.5
2004-04-01 00:00:00;2004;4;1;23.8
2004-05-01 00:00:00;2004;5;1;135.0
2004-06-01 00:00:00;2004;6;1;106.0
2004-07-01 00:00:00;2004;7;1;71.0
2004-08-01 00:00:00;2004;8;1;71.0
2004-09-01 00:00:00;2004;9;1;37.2
2004-10-01 00:00:00;2004;10;1;186.0
2004-11-01 00:00:00;2004;11;1;42.0
2004-12-01 00:00:00;2004;12;1;0.0
2005-01-01 00:00:00;2005;1;1;0.0
2005-02-01 00:00:00;2005;2;1;0.0
2005-03-01 00:00:00;2005;3;1;13.0
2005-04-01 00:00:00;2005;4;1;13.0
2005-05-01 00:00:00;2005;5;1;53.0
2005-06-01 00:00:00;2005;6;1;177.0
2005-07-01 00:00:00;2005;7;1;185.0
2005-08-01 00:00:00;2005;8;1;74.0
2005-09-01 00:00:00;2005;9;1;153.0
2005-10-01 00:00:00;2005;10;1;228.0
2005-11-01 00:00:00;2005;11;1;145.0
