Lat:;11.99461911;lon:;105.468701947;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;12.5
1985-02-01 00:00:00;1985;2;1;0.0
1985-03-01 00:00:00;1985;3;1;9.0
1985-04-01 00:00:00;1985;4;1;218.4
1985-05-01 00:00:00;1985;5;1;188.3
1985-06-01 00:00:00;1985;6;1;143.3
1985-07-01 00:00:00;1985;7;1;242.7
1985-08-01 00:00:00;1985;8;1;137.6
1985-09-01 00:00:00;1985;9;1;199.6
1985-10-01 00:00:00;1985;10;1;233.4
1985-11-01 00:00:00;1985;11;1;79.3
1985-12-01 00:00:00;1985;12;1;2.0
1986-01-01 00:00:00;1986;1;1;0.0
1986-02-01 00:00:00;1986;2;1;0.6
1986-03-01 00:00:00;1986;3;1;0.0
1986-04-01 00:00:00;1986;4;1;54.4
1986-05-01 00:00:00;1986;5;1;177.9
1986-06-01 00:00:00;1986;6;1;156.0
1986-07-01 00:00:00;1986;7;1;101.5
1986-08-01 00:00:00;1986;8;1;296.4
1986-09-01 00:00:00;1986;9;1;320.7
1986-10-01 00:00:00;1986;10;1;151.0
1986-11-01 00:00:00;1986;11;1;118.5
1986-12-01 00:00:00;1986;12;1;37.0
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;6.1
1987-04-01 00:00:00;1987;4;1;13.7
1987-05-01 00:00:00;1987;5;1;82.4
1987-06-01 00:00:00;1987;6;1;153.1
1987-07-01 00:00:00;1987;7;1;51.1
1987-08-01 00:00:00;1987;8;1;53.8
1987-09-01 00:00:00;1987;9;1;353.1
1987-10-01 00:00:00;1987;10;1;212.0
1987-11-01 00:00:00;1987;11;1;202.9
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;0.9
1988-02-01 00:00:00;1988;2;1;0.0
1988-03-01 00:00:00;1988;3;1;0.0
1988-04-01 00:00:00;1988;4;1;156.2
1988-05-01 00:00:00;1988;5;1;150.2
1988-06-01 00:00:00;1988;6;1;256.4
1988-07-01 00:00:00;1988;7;1;132.6
1988-08-01 00:00:00;1988;8;1;121.1
1988-09-01 00:00:00;1988;9;1;259.3
1988-10-01 00:00:00;1988;10;1;171.6
1988-11-01 00:00:00;1988;11;1;102.4
1988-12-01 00:00:00;1988;12;1;0.0
1989-01-01 00:00:00;1989;1;1;5.8
1989-02-01 00:00:00;1989;2;1;0.5
1989-03-01 00:00:00;1989;3;1;108.4
1989-04-01 00:00:00;1989;4;1;75.2
1989-05-01 00:00:00;1989;5;1;261.1
1989-06-01 00:00:00;1989;6;1;170.2
