Lat:;12.2316518936;lon:;104.672727985;mm/month
datetime;year;month;day;data
1982-01-01 00:00:00;1982;1;1;0.0
1982-02-01 00:00:00;1982;2;1;0.0
1982-03-01 00:00:00;1982;3;1;0.0
1982-04-01 00:00:00;1982;4;1;107.0
1982-05-01 00:00:00;1982;5;1;54.2
1982-06-01 00:00:00;1982;6;1;158.0
1982-07-01 00:00:00;1982;7;1;211.3
1982-08-01 00:00:00;1982;8;1;339.1
1982-09-01 00:00:00;1982;9;1;222.8
1982-10-01 00:00:00;1982;10;1;257.7
1982-11-01 00:00:00;1982;11;1;163.4
1982-12-01 00:00:00;1982;12;1;0.0
1983-01-01 00:00:00;1983;1;1;2.0
1983-02-01 00:00:00;1983;2;1;0.0
1983-03-01 00:00:00;1983;3;1;0.0
1983-04-01 00:00:00;1983;4;1;60.0
1983-05-01 00:00:00;1983;5;1;217.2
1983-06-01 00:00:00;1983;6;1;97.6
1983-07-01 00:00:00;1983;7;1;218.3
1983-08-01 00:00:00;1983;8;1;290.6
1983-09-01 00:00:00;1983;9;1;152.1
1983-10-01 00:00:00;1983;10;1;329.1
1983-11-01 00:00:00;1983;11;1;189.4
1983-12-01 00:00:00;1983;12;1;0.6
1984-01-01 00:00:00;1984;1;1;0.0
1984-02-01 00:00:00;1984;2;1;15.2
1984-03-01 00:00:00;1984;3;1;11.9
1984-04-01 00:00:00;1984;4;1;134.2
1984-05-01 00:00:00;1984;5;1;234.5
1984-06-01 00:00:00;1984;6;1;147.3
1984-07-01 00:00:00;1984;7;1;287.9
1984-08-01 00:00:00;1984;8;1;455.7
1984-09-01 00:00:00;1984;9;1;161.7
1984-10-01 00:00:00;1984;10;1;258.8
1984-11-01 00:00:00;1984;11;1;52.0
1984-12-01 00:00:00;1984;12;1;0.0
1985-01-01 00:00:00;1985;1;1;0.2
1985-02-01 00:00:00;1985;2;1;0.0
1985-03-01 00:00:00;1985;3;1;0.0
1985-04-01 00:00:00;1985;4;1;186.2
1985-05-01 00:00:00;1985;5;1;89.5
1985-06-01 00:00:00;1985;6;1;137.0
1985-07-01 00:00:00;1985;7;1;267.0
1985-08-01 00:00:00;1985;8;1;236.6
1985-09-01 00:00:00;1985;9;1;278.0
1985-10-01 00:00:00;1985;10;1;310.6
1985-11-01 00:00:00;1985;11;1;214.8
1985-12-01 00:00:00;1985;12;1;13.0
1986-01-01 00:00:00;1986;1;1;12.0
1986-02-01 00:00:00;1986;2;1;122.7
1986-03-01 00:00:00;1986;3;1;0.0
1986-04-01 00:00:00;1986;4;1;89.7
1986-05-01 00:00:00;1986;5;1;164.4
1986-06-01 00:00:00;1986;6;1;209.1
1986-07-01 00:00:00;1986;7;1;93.6
1986-08-01 00:00:00;1986;8;1;199.1
1986-09-01 00:00:00;1986;9;1;152.2
1986-10-01 00:00:00;1986;10;1;345.6
1986-11-01 00:00:00;1986;11;1;13.0
1986-12-01 00:00:00;1986;12;1;0.0
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;18.5
1987-04-01 00:00:00;1987;4;1;36.6
1987-05-01 00:00:00;1987;5;1;171.0
1987-06-01 00:00:00;1987;6;1;123.2
1987-07-01 00:00:00;1987;7;1;102.4
1987-08-01 00:00:00;1987;8;1;131.9
1987-09-01 00:00:00;1987;9;1;436.5
1987-10-01 00:00:00;1987;10;1;281.2
1987-11-01 00:00:00;1987;11;1;361.0
1987-12-01 00:00:00;1987;12;1;6.5
1988-01-01 00:00:00;1988;1;1;0.0
1988-02-01 00:00:00;1988;2;1;2.5
1988-03-01 00:00:00;1988;3;1;0.0
1988-04-01 00:00:00;1988;4;1;278.0
1988-05-01 00:00:00;1988;5;1;108.9
1988-06-01 00:00:00;1988;6;1;276.9
1988-07-01 00:00:00;1988;7;1;155.7
1988-08-01 00:00:00;1988;8;1;277.0
1988-09-01 00:00:00;1988;9;1;185.5
1988-10-01 00:00:00;1988;10;1;234.3
1988-11-01 00:00:00;1988;11;1;68.5
1988-12-01 00:00:00;1988;12;1;0.0
1989-01-01 00:00:00;1989;1;1;1.5
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;104.0
1989-04-01 00:00:00;1989;4;1;87.7
1989-05-01 00:00:00;1989;5;1;173.2
1989-06-01 00:00:00;1989;6;1;166.3
1989-07-01 00:00:00;1989;7;1;187.1
1989-08-01 00:00:00;1989;8;1;353.7
1989-09-01 00:00:00;1989;9;1;340.1
1989-10-01 00:00:00;1989;10;1;272.0
1989-11-01 00:00:00;1989;11;1;87.2
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;25.0
1990-02-01 00:00:00;1990;2;1;0.0
1990-03-01 00:00:00;1990;3;1;6.4
1990-04-01 00:00:00;1990;4;1;104.0
1990-05-01 00:00:00;1990;5;1;250.9
1990-06-01 00:00:00;1990;6;1;82.4
1990-07-01 00:00:00;1990;7;1;412.9
1990-08-01 00:00:00;1990;8;1;311.2
1990-09-01 00:00:00;1990;9;1;477.7
1990-10-01 00:00:00;1990;10;1;159.3
1990-11-01 00:00:00;1990;11;1;210.0
1990-12-01 00:00:00;1990;12;1;0.0
1991-01-01 00:00:00;1991;1;1;0.0
1991-02-01 00:00:00;1991;2;1;0.0
1991-03-01 00:00:00;1991;3;1;0.0
1991-04-01 00:00:00;1991;4;1;72.0
1991-05-01 00:00:00;1991;5;1;59.7
1991-06-01 00:00:00;1991;6;1;363.8
1991-07-01 00:00:00;1991;7;1;807.8
1991-08-01 00:00:00;1991;8;1;585.2
1991-09-01 00:00:00;1991;9;1;461.9
1991-10-01 00:00:00;1991;10;1;502.5
1991-11-01 00:00:00;1991;11;1;0.0
1991-12-01 00:00:00;1991;12;1;0.0
1992-01-01 00:00:00;1992;1;1;14.5
1992-02-01 00:00:00;1992;2;1;0.0
1992-03-01 00:00:00;1992;3;1;0.0
1992-04-01 00:00:00;1992;4;1;12.0
1992-05-01 00:00:00;1992;5;1;86.6
1992-06-01 00:00:00;1992;6;1;478.0
1992-07-01 00:00:00;1992;7;1;393.0
1992-08-01 00:00:00;1992;8;1;687.5
1992-09-01 00:00:00;1992;9;1;568.8
1992-10-01 00:00:00;1992;10;1;190.3
1992-11-01 00:00:00;1992;11;1;40.3
1992-12-01 00:00:00;1992;12;1;10.8
1993-01-01 00:00:00;1993;1;1;80.0
1993-02-01 00:00:00;1993;2;1;0.0
1993-03-01 00:00:00;1993;3;1;69.0
1993-04-01 00:00:00;1993;4;1;73.6
1993-05-01 00:00:00;1993;5;1;84.6
1993-06-01 00:00:00;1993;6;1;242.4
1993-07-01 00:00:00;1993;7;1;154.2
1993-08-01 00:00:00;1993;8;1;229.9
1993-09-01 00:00:00;1993;9;1;52.4
1993-10-01 00:00:00;1993;10;1;41.2
1993-11-01 00:00:00;1993;11;1;0.0
1993-12-01 00:00:00;1993;12;1;0.0
1994-01-01 00:00:00;1994;1;1;0.0
1994-02-01 00:00:00;1994;2;1;0.0
1994-03-01 00:00:00;1994;3;1;39.7
1994-04-01 00:00:00;1994;4;1;0.7
1994-05-01 00:00:00;1994;5;1;201.0
1994-06-01 00:00:00;1994;6;1;484.0
1994-07-01 00:00:00;1994;7;1;332.0
1994-08-01 00:00:00;1994;8;1;375.0
1994-09-01 00:00:00;1994;9;1;372.0
1994-10-01 00:00:00;1994;10;1;153.3
1994-11-01 00:00:00;1994;11;1;16.3
1994-12-01 00:00:00;1994;12;1;0.2
1995-01-01 00:00:00;1995;1;1;0.0
1995-02-01 00:00:00;1995;2;1;0.0
1995-03-01 00:00:00;1995;3;1;6.0
1995-04-01 00:00:00;1995;4;1;0.0
1995-05-01 00:00:00;1995;5;1;124.92
1995-06-01 00:00:00;1995;6;1;246.66
1995-07-01 00:00:00;1995;7;1;182.02
1995-08-01 00:00:00;1995;8;1;228.3
1995-09-01 00:00:00;1995;9;1;287.82
1995-10-01 00:00:00;1995;10;1;124.12
1995-11-01 00:00:00;1995;11;1;93.17
1995-12-01 00:00:00;1995;12;1;21.12
1996-01-01 00:00:00;1996;1;1;0.2
1996-02-01 00:00:00;1996;2;1;6.0
1996-03-01 00:00:00;1996;3;1;0.0
1996-04-01 00:00:00;1996;4;1;118.6
1996-05-01 00:00:00;1996;5;1;97.7
1996-06-01 00:00:00;1996;6;1;236.3
1996-07-01 00:00:00;1996;7;1;334.4
1996-08-01 00:00:00;1996;8;1;162.4
1996-09-01 00:00:00;1996;9;1;266.5
1996-10-01 00:00:00;1996;10;1;201.7
1996-11-01 00:00:00;1996;11;1;148.0
1996-12-01 00:00:00;1996;12;1;30.4
1997-01-01 00:00:00;1997;1;1;0.0
1997-02-01 00:00:00;1997;2;1;25.8
1997-03-01 00:00:00;1997;3;1;18.8
1997-04-01 00:00:00;1997;4;1;99.0
1997-05-01 00:00:00;1997;5;1;159.8
1997-06-01 00:00:00;1997;6;1;142.0
1997-07-01 00:00:00;1997;7;1;242.7
1997-08-01 00:00:00;1997;8;1;262.5
1997-09-01 00:00:00;1997;9;1;145.8
1997-10-01 00:00:00;1997;10;1;192.2
1997-11-01 00:00:00;1997;11;1;37.0
