Lat:;13.1213957349;lon:;104.343614322;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;7.6
1985-02-01 00:00:00;1985;2;1;0.0
1985-03-01 00:00:00;1985;3;1;28.69
1985-04-01 00:00:00;1985;4;1;42.75
1985-05-01 00:00:00;1985;5;1;146.99
1985-06-01 00:00:00;1985;6;1;204.45
1985-07-01 00:00:00;1985;7;1;147.0
1985-08-01 00:00:00;1985;8;1;274.54
1985-09-01 00:00:00;1985;9;1;209.82
1985-10-01 00:00:00;1985;10;1;89.03
1985-11-01 00:00:00;1985;11;1;54.75
1985-12-01 00:00:00;1985;12;1;5.91
1986-01-01 00:00:00;1986;1;1;5.91
1986-02-01 00:00:00;1986;2;1;65.54
1986-03-01 00:00:00;1986;3;1;66.21
1986-04-01 00:00:00;1986;4;1;27.88
1986-05-01 00:00:00;1986;5;1;184.16
1986-06-01 00:00:00;1986;6;1;118.25
1986-07-01 00:00:00;1986;7;1;80.26
1986-08-01 00:00:00;1986;8;1;287.9
1986-09-01 00:00:00;1986;9;1;136.69
1986-10-01 00:00:00;1986;10;1;186.19
1986-11-01 00:00:00;1986;11;1;34.8
1986-12-01 00:00:00;1986;12;1;0.0
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;65.88
1987-04-01 00:00:00;1987;4;1;50.69
1987-05-01 00:00:00;1987;5;1;150.2
1987-06-01 00:00:00;1987;6;1;122.99
1987-07-01 00:00:00;1987;7;1;106.44
1987-08-01 00:00:00;1987;8;1;49.0
1987-09-01 00:00:00;1987;9;1;173.36
1987-10-01 00:00:00;1987;10;1;265.43
1987-11-01 00:00:00;1987;11;1;117.26
1987-12-01 00:00:00;1987;12;1;5.07
1988-01-01 00:00:00;1988;1;1;0.0
1988-02-01 00:00:00;1988;2;1;111.68
1988-03-01 00:00:00;1988;3;1;0.0
1988-04-01 00:00:00;1988;4;1;0.0
1988-05-01 00:00:00;1988;5;1;149.67
1988-06-01 00:00:00;1988;6;1;338.61
1988-07-01 00:00:00;1988;7;1;152.74
1988-08-01 00:00:00;1988;8;1;378.45
1988-09-01 00:00:00;1988;9;1;519.05
1988-10-01 00:00:00;1988;10;1;192.94
1988-11-01 00:00:00;1988;11;1;84.64
1988-12-01 00:00:00;1988;12;1;0.0
1989-01-01 00:00:00;1989;1;1;5.91
1989-02-01 00:00:00;1989;2;1;23.67
1989-03-01 00:00:00;1989;3;1;0.0
1989-04-01 00:00:00;1989;4;1;34.97
1989-05-01 00:00:00;1989;5;1;201.22
1989-06-01 00:00:00;1989;6;1;108.31
1989-07-01 00:00:00;1989;7;1;56.6
1989-08-01 00:00:00;1989;8;1;192.79
1989-09-01 00:00:00;1989;9;1;154.61
1989-10-01 00:00:00;1989;10;1;268.32
1989-11-01 00:00:00;1989;11;1;57.28
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;6.76
1990-02-01 00:00:00;1990;2;1;0.0
1990-03-01 00:00:00;1990;3;1;90.08
1990-04-01 00:00:00;1990;4;1;10.33
1990-05-01 00:00:00;1990;5;1;114.52
1990-06-01 00:00:00;1990;6;1;245.84
1990-07-01 00:00:00;1990;7;1;116.23
1990-08-01 00:00:00;1990;8;1;124.19
1990-09-01 00:00:00;1990;9;1;181.12
1990-10-01 00:00:00;1990;10;1;226.41
1990-11-01 00:00:00;1990;11;1;54.07
1990-12-01 00:00:00;1990;12;1;0.0
1991-01-01 00:00:00;1991;1;1;0.0
1991-02-01 00:00:00;1991;2;1;0.0
1991-03-01 00:00:00;1991;3;1;0.0
1991-04-01 00:00:00;1991;4;1;200.9
1991-05-01 00:00:00;1991;5;1;70.97
1991-06-01 00:00:00;1991;6;1;159.17
1991-07-01 00:00:00;1991;7;1;104.75
1991-08-01 00:00:00;1991;8;1;134.66
1991-09-01 00:00:00;1991;9;1;128.08
1991-10-01 00:00:00;1991;10;1;244.33
1991-11-01 00:00:00;1991;11;1;53.23
1991-12-01 00:00:00;1991;12;1;0.0
1992-01-01 00:00:00;1992;1;1;31.0
1992-02-01 00:00:00;1992;2;1;0.0
1992-03-01 00:00:00;1992;3;1;0.0
1992-04-01 00:00:00;1992;4;1;5.0
1992-05-01 00:00:00;1992;5;1;145.5
1992-06-01 00:00:00;1992;6;1;111.5
1992-07-01 00:00:00;1992;7;1;98.6
1992-08-01 00:00:00;1992;8;1;100.19
1992-09-01 00:00:00;1992;9;1;74.16
1992-10-01 00:00:00;1992;10;1;243.99
1992-11-01 00:00:00;1992;11;1;56.78
1992-12-01 00:00:00;1992;12;1;0.0
1993-01-01 00:00:00;1993;1;1;7.6
1993-02-01 00:00:00;1993;2;1;20.97
1993-03-01 00:00:00;1993;3;1;0.0
1993-04-01 00:00:00;1993;4;1;45.62
1993-05-01 00:00:00;1993;5;1;30.41
1993-06-01 00:00:00;1993;6;1;325.72
1993-07-01 00:00:00;1993;7;1;148.36
1993-08-01 00:00:00;1993;8;1;173.84
1993-09-01 00:00:00;1993;9;1;87.85
1993-10-01 00:00:00;1993;10;1;212.72
1993-11-01 00:00:00;1993;11;1;25.34
