Lat:;12.2942184206;lon:;104.728232423;mm/month
datetime;year;month;day;data
1984-01-01 00:00:00;1984;1;1;0.0
1984-02-01 00:00:00;1984;2;1;0.0
1984-03-01 00:00:00;1984;3;1;0.0
1984-04-01 00:00:00;1984;4;1;113.0
1984-05-01 00:00:00;1984;5;1;310.0
1984-06-01 00:00:00;1984;6;1;79.0
1984-07-01 00:00:00;1984;7;1;299.0
1984-08-01 00:00:00;1984;8;1;97.0
1984-09-01 00:00:00;1984;9;1;143.0
1984-10-01 00:00:00;1984;10;1;12.0
1984-11-01 00:00:00;1984;11;1;32.0
1984-12-01 00:00:00;1984;12;1;0.0
1985-01-01 00:00:00;1985;1;1;0.17
1985-02-01 00:00:00;1985;2;1;0.0
1985-03-01 00:00:00;1985;3;1;0.0
1985-04-01 00:00:00;1985;4;1;182.6
1985-05-01 00:00:00;1985;5;1;79.31
1985-06-01 00:00:00;1985;6;1;119.37
1985-07-01 00:00:00;1985;7;1;240.97
1985-08-01 00:00:00;1985;8;1;228.26
1985-09-01 00:00:00;1985;9;1;243.34
1985-10-01 00:00:00;1985;10;1;293.33
1985-11-01 00:00:00;1985;11;1;195.57
1985-12-01 00:00:00;1985;12;1;10.79
1986-01-01 00:00:00;1986;1;1;9.96
1986-02-01 00:00:00;1986;2;1;115.62
1986-03-01 00:00:00;1986;3;1;0.0
1986-04-01 00:00:00;1986;4;1;76.05
1986-05-01 00:00:00;1986;5;1;144.65
1986-06-01 00:00:00;1986;6;1;190.6
1986-07-01 00:00:00;1986;7;1;83.79
1986-08-01 00:00:00;1986;8;1;190.35
1986-09-01 00:00:00;1986;9;1;145.09
1986-10-01 00:00:00;1986;10;1;323.92
1986-11-01 00:00:00;1986;11;1;11.83
1986-12-01 00:00:00;1986;12;1;0.0
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;15.36
1987-04-01 00:00:00;1987;4;1;30.38
1987-05-01 00:00:00;1987;5;1;152.49
1987-06-01 00:00:00;1987;6;1;114.17
1987-07-01 00:00:00;1987;7;1;88.83
1987-08-01 00:00:00;1987;8;1;117.75
1987-09-01 00:00:00;1987;9;1;403.98
1987-10-01 00:00:00;1987;10;1;243.61
1987-11-01 00:00:00;1987;11;1;354.77
1987-12-01 00:00:00;1987;12;1;5.4
1988-01-01 00:00:00;1988;1;1;0.0
1988-02-01 00:00:00;1988;2;1;2.08
1988-03-01 00:00:00;1988;3;1;0.0
1988-04-01 00:00:00;1988;4;1;253.05
