Lat:;12.6854098228;lon:;104.897095479;mm/month
datetime;year;month;day;data
1981-01-01 00:00:00;1981;1;1;0.0
1981-02-01 00:00:00;1981;2;1;0.0
1981-03-01 00:00:00;1981;3;1;62.0
1981-04-01 00:00:00;1981;4;1;26.8
1981-05-01 00:00:00;1981;5;1;182.4
1981-06-01 00:00:00;1981;6;1;173.6
1981-07-01 00:00:00;1981;7;1;112.6
1981-08-01 00:00:00;1981;8;1;65.1
1981-09-01 00:00:00;1981;9;1;268.0
1981-10-01 00:00:00;1981;10;1;250.6
1981-11-01 00:00:00;1981;11;1;84.3
1981-12-01 00:00:00;1981;12;1;0.0
1982-01-01 00:00:00;1982;1;1;0.0
1982-02-01 00:00:00;1982;2;1;0.0
1982-03-01 00:00:00;1982;3;1;18.1
1982-04-01 00:00:00;1982;4;1;185.7
1982-05-01 00:00:00;1982;5;1;137.7
1982-06-01 00:00:00;1982;6;1;286.2
1982-07-01 00:00:00;1982;7;1;149.0
1982-08-01 00:00:00;1982;8;1;168.8
1982-09-01 00:00:00;1982;9;1;282.7
1982-10-01 00:00:00;1982;10;1;308.0
1982-11-01 00:00:00;1982;11;1;38.4
1982-12-01 00:00:00;1982;12;1;0.0
1983-01-01 00:00:00;1983;1;1;0.0
1983-02-01 00:00:00;1983;2;1;0.0
1983-03-01 00:00:00;1983;3;1;0.0
1983-04-01 00:00:00;1983;4;1;3.9
1983-05-01 00:00:00;1983;5;1;176.5
1983-06-01 00:00:00;1983;6;1;248.1
1983-07-01 00:00:00;1983;7;1;139.9
1983-08-01 00:00:00;1983;8;1;182.0
1983-09-01 00:00:00;1983;9;1;275.9
1983-10-01 00:00:00;1983;10;1;383.6
1983-11-01 00:00:00;1983;11;1;115.2
1983-12-01 00:00:00;1983;12;1;0.0
1984-01-01 00:00:00;1984;1;1;0.0
1984-02-01 00:00:00;1984;2;1;0.0
1984-03-01 00:00:00;1984;3;1;49.6
1984-04-01 00:00:00;1984;4;1;131.1
1984-05-01 00:00:00;1984;5;1;221.6
1984-06-01 00:00:00;1984;6;1;128.4
1984-07-01 00:00:00;1984;7;1;148.4
1984-08-01 00:00:00;1984;8;1;163.5
1984-09-01 00:00:00;1984;9;1;283.3
1984-10-01 00:00:00;1984;10;1;256.8
1984-11-01 00:00:00;1984;11;1;5.5
1984-12-01 00:00:00;1984;12;1;12.1
1985-01-01 00:00:00;1985;1;1;0.0
1985-02-01 00:00:00;1985;2;1;0.0
1985-03-01 00:00:00;1985;3;1;0.5
1985-04-01 00:00:00;1985;4;1;222.8
1985-05-01 00:00:00;1985;5;1;230.4
1985-06-01 00:00:00;1985;6;1;143.3
1985-07-01 00:00:00;1985;7;1;188.2
1985-08-01 00:00:00;1985;8;1;67.0
1985-09-01 00:00:00;1985;9;1;382.0
1985-10-01 00:00:00;1985;10;1;315.6
1985-11-01 00:00:00;1985;11;1;54.4
1985-12-01 00:00:00;1985;12;1;1.5
1986-01-01 00:00:00;1986;1;1;0.0
1986-02-01 00:00:00;1986;2;1;0.0
1986-03-01 00:00:00;1986;3;1;0.6
1986-04-01 00:00:00;1986;4;1;36.7
1986-05-01 00:00:00;1986;5;1;229.7
1986-06-01 00:00:00;1986;6;1;204.1
1986-07-01 00:00:00;1986;7;1;91.5
1986-08-01 00:00:00;1986;8;1;421.0
1986-09-01 00:00:00;1986;9;1;386.3
1986-10-01 00:00:00;1986;10;1;353.7
1986-11-01 00:00:00;1986;11;1;73.8
1986-12-01 00:00:00;1986;12;1;24.3
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;0.0
1987-04-01 00:00:00;1987;4;1;86.5
1987-05-01 00:00:00;1987;5;1;100.4
1987-06-01 00:00:00;1987;6;1;200.1
1987-07-01 00:00:00;1987;7;1;57.1
1987-08-01 00:00:00;1987;8;1;78.2
1987-09-01 00:00:00;1987;9;1;310.6
1987-10-01 00:00:00;1987;10;1;155.6
1987-11-01 00:00:00;1987;11;1;238.0
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;0.0
1988-02-01 00:00:00;1988;2;1;0.0
1988-03-01 00:00:00;1988;3;1;0.0
1988-04-01 00:00:00;1988;4;1;177.2
1988-05-01 00:00:00;1988;5;1;35.1
1988-06-01 00:00:00;1988;6;1;238.0
1988-07-01 00:00:00;1988;7;1;177.7
1988-08-01 00:00:00;1988;8;1;155.3
1988-09-01 00:00:00;1988;9;1;221.0
1988-10-01 00:00:00;1988;10;1;361.0
1988-11-01 00:00:00;1988;11;1;241.0
1988-12-01 00:00:00;1988;12;1;0.0
1989-01-01 00:00:00;1989;1;1;0.0
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;21.1
1989-04-01 00:00:00;1989;4;1;82.2
1989-05-01 00:00:00;1989;5;1;121.9
1989-06-01 00:00:00;1989;6;1;153.5
1989-07-01 00:00:00;1989;7;1;185.3
1989-08-01 00:00:00;1989;8;1;226.3
1989-09-01 00:00:00;1989;9;1;459.2
1989-10-01 00:00:00;1989;10;1;251.8
1989-11-01 00:00:00;1989;11;1;72.1
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;0.1
1990-02-01 00:00:00;1990;2;1;0.0
1990-03-01 00:00:00;1990;3;1;7.9
1990-04-01 00:00:00;1990;4;1;99.4
1990-05-01 00:00:00;1990;5;1;180.8
1990-06-01 00:00:00;1990;6;1;216.3
1990-07-01 00:00:00;1990;7;1;103.1
1990-08-01 00:00:00;1990;8;1;105.2
1990-09-01 00:00:00;1990;9;1;170.1
1990-10-01 00:00:00;1990;10;1;58.3
1990-11-01 00:00:00;1990;11;1;42.6
1990-12-01 00:00:00;1990;12;1;0.0
1991-01-01 00:00:00;1991;1;1;0.0
1991-02-01 00:00:00;1991;2;1;0.0
1991-03-01 00:00:00;1991;3;1;0.1
1991-04-01 00:00:00;1991;4;1;89.0
1991-05-01 00:00:00;1991;5;1;123.0
1991-06-01 00:00:00;1991;6;1;145.4
1991-07-01 00:00:00;1991;7;1;221.6
1991-08-01 00:00:00;1991;8;1;244.9
1991-09-01 00:00:00;1991;9;1;383.9
1991-10-01 00:00:00;1991;10;1;205.5
1991-11-01 00:00:00;1991;11;1;0.0
1991-12-01 00:00:00;1991;12;1;0.0
1992-01-01 00:00:00;1992;1;1;0.5
1992-02-01 00:00:00;1992;2;1;0.0
1992-03-01 00:00:00;1992;3;1;0.0
1992-04-01 00:00:00;1992;4;1;87.7
1992-05-01 00:00:00;1992;5;1;72.7
1992-06-01 00:00:00;1992;6;1;191.8
1992-07-01 00:00:00;1992;7;1;122.0
1992-08-01 00:00:00;1992;8;1;356.2
1992-09-01 00:00:00;1992;9;1;171.7
1992-10-01 00:00:00;1992;10;1;246.7
1992-11-01 00:00:00;1992;11;1;0.0
1992-12-01 00:00:00;1992;12;1;4.5
1993-01-01 00:00:00;1993;1;1;6.7
1993-02-01 00:00:00;1993;2;1;0.0
1993-03-01 00:00:00;1993;3;1;58.7
1993-04-01 00:00:00;1993;4;1;66.7
1993-05-01 00:00:00;1993;5;1;184.8
1993-06-01 00:00:00;1993;6;1;293.7
1993-07-01 00:00:00;1993;7;1;218.7
1993-08-01 00:00:00;1993;8;1;151.7
1993-09-01 00:00:00;1993;9;1;430.0
1993-10-01 00:00:00;1993;10;1;335.0
1993-11-01 00:00:00;1993;11;1;315.000014
1993-12-01 00:00:00;1993;12;1;9.0
1994-01-01 00:00:00;1994;1;1;0.0
1994-02-01 00:00:00;1994;2;1;1.0
1994-03-01 00:00:00;1994;3;1;182.8
1994-04-01 00:00:00;1994;4;1;21.1
1994-05-01 00:00:00;1994;5;1;207.0
1994-06-01 00:00:00;1994;6;1;350.9
1994-07-01 00:00:00;1994;7;1;151.800001
1994-08-01 00:00:00;1994;8;1;321.4
1994-09-01 00:00:00;1994;9;1;378.4
1994-10-01 00:00:00;1994;10;1;244.0
1994-11-01 00:00:00;1994;11;1;0.0
1994-12-01 00:00:00;1994;12;1;5.6
1995-01-01 00:00:00;1995;1;1;0.0
1995-02-01 00:00:00;1995;2;1;0.0
1995-03-01 00:00:00;1995;3;1;48.2
1995-04-01 00:00:00;1995;4;1;28.5
1995-05-01 00:00:00;1995;5;1;174.5
1995-06-01 00:00:00;1995;6;1;221.1
1995-07-01 00:00:00;1995;7;1;155.9
1995-08-01 00:00:00;1995;8;1;192.5
1995-09-01 00:00:00;1995;9;1;444.3
