Lat:;11.1409934575;lon:;105.488186858;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;0.0
1985-02-01 00:00:00;1985;2;1;4.8
1985-03-01 00:00:00;1985;3;1;0.57
1985-04-01 00:00:00;1985;4;1;321.16
1985-05-01 00:00:00;1985;5;1;119.18
1985-06-01 00:00:00;1985;6;1;173.88
1985-07-01 00:00:00;1985;7;1;218.27
1985-08-01 00:00:00;1985;8;1;46.19
1985-09-01 00:00:00;1985;9;1;269.33
1985-10-01 00:00:00;1985;10;1;238.3
1985-11-01 00:00:00;1985;11;1;138.0
1985-12-01 00:00:00;1985;12;1;10.9
1986-01-01 00:00:00;1986;1;1;0.28
1986-02-01 00:00:00;1986;2;1;13.3
1986-03-01 00:00:00;1986;3;1;15.2
1986-04-01 00:00:00;1986;4;1;44.26
1986-05-01 00:00:00;1986;5;1;161.44
1986-06-01 00:00:00;1986;6;1;129.03
1986-07-01 00:00:00;1986;7;1;289.16
1986-08-01 00:00:00;1986;8;1;196.61
1986-09-01 00:00:00;1986;9;1;332.95
1986-10-01 00:00:00;1986;10;1;209.85
1986-11-01 00:00:00;1986;11;1;98.8
1986-12-01 00:00:00;1986;12;1;26.68
1987-01-01 00:00:00;1987;1;1;0.35
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;0.0
1987-04-01 00:00:00;1987;4;1;36.01
1987-05-01 00:00:00;1987;5;1;19.35
1987-06-01 00:00:00;1987;6;1;154.23
1987-07-01 00:00:00;1987;7;1;36.59
1987-08-01 00:00:00;1987;8;1;91.58
1987-09-01 00:00:00;1987;9;1;396.81
1987-10-01 00:00:00;1987;10;1;370.75
1987-11-01 00:00:00;1987;11;1;240.01
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;6.41
1988-02-01 00:00:00;1988;2;1;27.55
1988-03-01 00:00:00;1988;3;1;36.09
1988-04-01 00:00:00;1988;4;1;116.96
1988-05-01 00:00:00;1988;5;1;161.82
1988-06-01 00:00:00;1988;6;1;204.42
1988-07-01 00:00:00;1988;7;1;154.03
1988-08-01 00:00:00;1988;8;1;103.7
1988-09-01 00:00:00;1988;9;1;187.61
1988-10-01 00:00:00;1988;10;1;218.46
1988-11-01 00:00:00;1988;11;1;74.64
1988-12-01 00:00:00;1988;12;1;2.4
1989-01-01 00:00:00;1989;1;1;14.1
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;111.4
1989-04-01 00:00:00;1989;4;1;57.54
1989-05-01 00:00:00;1989;5;1;84.63
1989-06-01 00:00:00;1989;6;1;87.75
1989-07-01 00:00:00;1989;7;1;134.09
1989-08-01 00:00:00;1989;8;1;188.47
1989-09-01 00:00:00;1989;9;1;206.61
1989-10-01 00:00:00;1989;10;1;318.21
1989-11-01 00:00:00;1989;11;1;172.9
1989-12-01 00:00:00;1989;12;1;1.76
1990-01-01 00:00:00;1990;1;1;0.0
1990-02-01 00:00:00;1990;2;1;14.91
1990-03-01 00:00:00;1990;3;1;2.12
1990-04-01 00:00:00;1990;4;1;89.54
1990-05-01 00:00:00;1990;5;1;79.28
1990-06-01 00:00:00;1990;6;1;151.79
1990-07-01 00:00:00;1990;7;1;177.06
1990-08-01 00:00:00;1990;8;1;104.41
