Lat:;10.6028119212;lon:;104.186413275;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;0.0
1985-02-01 00:00:00;1985;2;1;30.0
1985-03-01 00:00:00;1985;3;1;27.1
1985-04-01 00:00:00;1985;4;1;214.4
1985-05-01 00:00:00;1985;5;1;389.2
1985-06-01 00:00:00;1985;6;1;368.5
1985-07-01 00:00:00;1985;7;1;49.0
1985-08-01 00:00:00;1985;8;1;181.0
1985-09-01 00:00:00;1985;9;1;246.5
1985-10-01 00:00:00;1985;10;1;244.1
1985-11-01 00:00:00;1985;11;1;68.2
1985-12-01 00:00:00;1985;12;1;27.2
1986-01-01 00:00:00;1986;1;1;9.5
1986-02-01 00:00:00;1986;2;1;68.0
1986-03-01 00:00:00;1986;3;1;8.0
1986-04-01 00:00:00;1986;4;1;150.5
1986-05-01 00:00:00;1986;5;1;666.0
1986-06-01 00:00:00;1986;6;1;174.3
1986-07-01 00:00:00;1986;7;1;211.2
1986-08-01 00:00:00;1986;8;1;698.5
1986-09-01 00:00:00;1986;9;1;358.5
1986-10-01 00:00:00;1986;10;1;276.6
1986-11-01 00:00:00;1986;11;1;139.3
1986-12-01 00:00:00;1986;12;1;14.2
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;8.0
1987-04-01 00:00:00;1987;4;1;89.0
1987-05-01 00:00:00;1987;5;1;457.0
1987-06-01 00:00:00;1987;6;1;121.0
1987-07-01 00:00:00;1987;7;1;99.8
1987-08-01 00:00:00;1987;8;1;297.3
1987-09-01 00:00:00;1987;9;1;279.6
1987-10-01 00:00:00;1987;10;1;192.1
1987-11-01 00:00:00;1987;11;1;286.4
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;11.0
1988-02-01 00:00:00;1988;2;1;30.3
1988-03-01 00:00:00;1988;3;1;23.0
1988-04-01 00:00:00;1988;4;1;252.6
1988-05-01 00:00:00;1988;5;1;211.9
1988-06-01 00:00:00;1988;6;1;204.4
1988-07-01 00:00:00;1988;7;1;200.3
1988-08-01 00:00:00;1988;8;1;105.6
1988-09-01 00:00:00;1988;9;1;149.7
1988-10-01 00:00:00;1988;10;1;0.0
1988-11-01 00:00:00;1988;11;1;0.0
1988-12-01 00:00:00;1988;12;1;0.4
1989-01-01 00:00:00;1989;1;1;11.9
1989-02-01 00:00:00;1989;2;1;0.2
1989-03-01 00:00:00;1989;3;1;60.1
1989-04-01 00:00:00;1989;4;1;64.0
1989-05-01 00:00:00;1989;5;1;180.8
1989-06-01 00:00:00;1989;6;1;164.6
1989-07-01 00:00:00;1989;7;1;154.3
1989-08-01 00:00:00;1989;8;1;284.4
1989-09-01 00:00:00;1989;9;1;103.3
1989-10-01 00:00:00;1989;10;1;239.5
1989-11-01 00:00:00;1989;11;1;91.7
1989-12-01 00:00:00;1989;12;1;0.2
1990-01-01 00:00:00;1990;1;1;11.6
1990-02-01 00:00:00;1990;2;1;0.0
1990-03-01 00:00:00;1990;3;1;151.2
1990-04-01 00:00:00;1990;4;1;135.7
1990-05-01 00:00:00;1990;5;1;201.9
1990-06-01 00:00:00;1990;6;1;247.5
1990-07-01 00:00:00;1990;7;1;137.4
1990-08-01 00:00:00;1990;8;1;348.9
