Lat:;11.6890412807;lon:;105.560761882;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;10.21
1985-02-01 00:00:00;1985;2;1;0.0
1985-03-01 00:00:00;1985;3;1;0.0
1985-04-01 00:00:00;1985;4;1;119.67
1985-05-01 00:00:00;1985;5;1;204.54
1985-06-01 00:00:00;1985;6;1;159.11
1985-07-01 00:00:00;1985;7;1;104.78
1985-08-01 00:00:00;1985;8;1;144.72
1985-09-01 00:00:00;1985;9;1;180.4
1985-10-01 00:00:00;1985;10;1;189.71
1985-11-01 00:00:00;1985;11;1;115.79
1985-12-01 00:00:00;1985;12;1;0.0
1986-01-01 00:00:00;1986;1;1;0.83
1986-02-01 00:00:00;1986;2;1;0.0
1986-03-01 00:00:00;1986;3;1;0.0
1986-04-01 00:00:00;1986;4;1;31.4
1986-05-01 00:00:00;1986;5;1;159.83
1986-06-01 00:00:00;1986;6;1;145.15
1986-07-01 00:00:00;1986;7;1;82.8
1986-08-01 00:00:00;1986;8;1;206.24
1986-09-01 00:00:00;1986;9;1;255.5
1986-10-01 00:00:00;1986;10;1;306.17
1986-11-01 00:00:00;1986;11;1;176.5
1986-12-01 00:00:00;1986;12;1;12.52
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;0.0
1987-04-01 00:00:00;1987;4;1;0.0
1987-05-01 00:00:00;1987;5;1;40.54
1987-06-01 00:00:00;1987;6;1;44.9
1987-07-01 00:00:00;1987;7;1;89.29
1987-08-01 00:00:00;1987;8;1;185.65
1987-09-01 00:00:00;1987;9;1;310.4
1987-10-01 00:00:00;1987;10;1;239.13
1987-11-01 00:00:00;1987;11;1;203.09
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;8.44
1988-02-01 00:00:00;1988;2;1;36.33
1988-03-01 00:00:00;1988;3;1;47.58
1988-04-01 00:00:00;1988;4;1;135.02
1988-05-01 00:00:00;1988;5;1;230.09
1988-06-01 00:00:00;1988;6;1;269.6
1988-07-01 00:00:00;1988;7;1;203.05
1988-08-01 00:00:00;1988;8;1;136.72
1988-09-01 00:00:00;1988;9;1;247.35
1988-10-01 00:00:00;1988;10;1;341.05
1988-11-01 00:00:00;1988;11;1;98.42
1988-12-01 00:00:00;1988;12;1;3.15
1989-01-01 00:00:00;1989;1;1;5.88
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;28.78
1989-04-01 00:00:00;1989;4;1;97.41
1989-05-01 00:00:00;1989;5;1;88.89
1989-06-01 00:00:00;1989;6;1;107.75
1989-07-01 00:00:00;1989;7;1;270.88
1989-08-01 00:00:00;1989;8;1;135.44
1989-09-01 00:00:00;1989;9;1;168.7
1989-10-01 00:00:00;1989;10;1;0.0
1989-11-01 00:00:00;1989;11;1;0.0
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;0.0
1990-02-01 00:00:00;1990;2;1;0.0
1990-03-01 00:00:00;1990;3;1;20.13
1990-04-01 00:00:00;1990;4;1;63.73
1990-05-01 00:00:00;1990;5;1;141.98
1990-06-01 00:00:00;1990;6;1;129.0
1990-07-01 00:00:00;1990;7;1;202.16
1990-08-01 00:00:00;1990;8;1;200.38
1990-09-01 00:00:00;1990;9;1;168.39
1990-10-01 00:00:00;1990;10;1;259.41
1990-11-01 00:00:00;1990;11;1;40.17
1990-12-01 00:00:00;1990;12;1;0.0
1991-01-01 00:00:00;1991;1;1;0.0
1991-02-01 00:00:00;1991;2;1;0.0
1991-03-01 00:00:00;1991;3;1;0.0
1991-04-01 00:00:00;1991;4;1;89.06
1991-05-01 00:00:00;1991;5;1;67.37
1991-06-01 00:00:00;1991;6;1;199.09
