Lat:;12.9750778405;lon:;104.714483501;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;0.0
1985-02-01 00:00:00;1985;2;1;0.0
1985-03-01 00:00:00;1985;3;1;0.43
1985-04-01 00:00:00;1985;4;1;226.73
1985-05-01 00:00:00;1985;5;1;228.77
1985-06-01 00:00:00;1985;6;1;135.43
1985-07-01 00:00:00;1985;7;1;185.3
1985-08-01 00:00:00;1985;8;1;62.28
1985-09-01 00:00:00;1985;9;1;360.92
1985-10-01 00:00:00;1985;10;1;301.93
1985-11-01 00:00:00;1985;11;1;49.8
1985-12-01 00:00:00;1985;12;1;1.28
1986-01-01 00:00:00;1986;1;1;0.0
1986-02-01 00:00:00;1986;2;1;0.0
1986-03-01 00:00:00;1986;3;1;0.51
1986-04-01 00:00:00;1986;4;1;31.34
1986-05-01 00:00:00;1986;5;1;223.93
1986-06-01 00:00:00;1986;6;1;198.03
1986-07-01 00:00:00;1986;7;1;84.89
1986-08-01 00:00:00;1986;8;1;415.57
1986-09-01 00:00:00;1986;9;1;374.78
1986-10-01 00:00:00;1986;10;1;329.16
1986-11-01 00:00:00;1986;11;1;63.01
1986-12-01 00:00:00;1986;12;1;21.91
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;0.0
1987-04-01 00:00:00;1987;4;1;73.86
1987-05-01 00:00:00;1987;5;1;86.84
1987-06-01 00:00:00;1987;6;1;196.92
1987-07-01 00:00:00;1987;7;1;49.97
1987-08-01 00:00:00;1987;8;1;76.47
1987-09-01 00:00:00;1987;9;1;303.32
1987-10-01 00:00:00;1987;10;1;136.15
1987-11-01 00:00:00;1987;11;1;236.78
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;0.0
1988-02-01 00:00:00;1988;2;1;0.0
1988-03-01 00:00:00;1988;3;1;0.0
1988-04-01 00:00:00;1988;4;1;159.5
1988-05-01 00:00:00;1988;5;1;33.01
1988-06-01 00:00:00;1988;6;1;227.39
1988-07-01 00:00:00;1988;7;1;169.48
1988-08-01 00:00:00;1988;8;1;153.62
1988-09-01 00:00:00;1988;9;1;222.52
1988-10-01 00:00:00;1988;10;1;364.94
1988-11-01 00:00:00;1988;11;1;240.62
1988-12-01 00:00:00;1988;12;1;0.0
1989-01-01 00:00:00;1989;1;1;0.0
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;18.02
1989-04-01 00:00:00;1989;4;1;70.19
1989-05-01 00:00:00;1989;5;1;119.88
1989-06-01 00:00:00;1989;6;1;151.54
1989-07-01 00:00:00;1989;7;1;181.8
1989-08-01 00:00:00;1989;8;1;231.25
1989-09-01 00:00:00;1989;9;1;446.04
1989-10-01 00:00:00;1989;10;1;246.08
1989-11-01 00:00:00;1989;11;1;66.74
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;0.09
1990-02-01 00:00:00;1990;2;1;0.0
1990-03-01 00:00:00;1990;3;1;6.75
1990-04-01 00:00:00;1990;4;1;89.34
1990-05-01 00:00:00;1990;5;1;172.97
1990-06-01 00:00:00;1990;6;1;194.65
1990-07-01 00:00:00;1990;7;1;100.86
1990-08-01 00:00:00;1990;8;1;101.0
