Lat:;10.6418377422;lon:;104.876830517;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;1.84
1985-02-01 00:00:00;1985;2;1;1.84
1985-03-01 00:00:00;1985;3;1;10.62
1985-04-01 00:00:00;1985;4;1;42.02
1985-05-01 00:00:00;1985;5;1;179.79
1985-06-01 00:00:00;1985;6;1;83.85
1985-07-01 00:00:00;1985;7;1;86.08
1985-08-01 00:00:00;1985;8;1;126.01
1985-09-01 00:00:00;1985;9;1;270.02
1985-10-01 00:00:00;1985;10;1;418.27
1985-11-01 00:00:00;1985;11;1;199.44
1985-12-01 00:00:00;1985;12;1;56.25
1986-01-01 00:00:00;1986;1;1;10.24
1986-02-01 00:00:00;1986;2;1;3.69
1986-03-01 00:00:00;1986;3;1;0.0
1986-04-01 00:00:00;1986;4;1;23.89
1986-05-01 00:00:00;1986;5;1;150.92
1986-06-01 00:00:00;1986;6;1;76.93
1986-07-01 00:00:00;1986;7;1;151.88
1986-08-01 00:00:00;1986;8;1;107.39
1986-09-01 00:00:00;1986;9;1;301.35
1986-10-01 00:00:00;1986;10;1;223.23
1986-11-01 00:00:00;1986;11;1;99.02
1986-12-01 00:00:00;1986;12;1;9.14
1987-01-01 00:00:00;1987;1;1;10.17
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;14.93
1987-04-01 00:00:00;1987;4;1;55.62
1987-05-01 00:00:00;1987;5;1;180.56
1987-06-01 00:00:00;1987;6;1;118.28
1987-07-01 00:00:00;1987;7;1;84.61
1987-08-01 00:00:00;1987;8;1;170.72
1987-09-01 00:00:00;1987;9;1;222.39
1987-10-01 00:00:00;1987;10;1;296.72
1987-11-01 00:00:00;1987;11;1;153.66
1987-12-01 00:00:00;1987;12;1;3.21
1988-01-01 00:00:00;1988;1;1;12.82
1988-02-01 00:00:00;1988;2;1;0.89
1988-03-01 00:00:00;1988;3;1;0.92
1988-04-01 00:00:00;1988;4;1;76.02
1988-05-01 00:00:00;1988;5;1;199.13
1988-06-01 00:00:00;1988;6;1;57.24
1988-07-01 00:00:00;1988;7;1;122.62
1988-08-01 00:00:00;1988;8;1;251.58
1988-09-01 00:00:00;1988;9;1;149.18
1988-10-01 00:00:00;1988;10;1;185.86
1988-11-01 00:00:00;1988;11;1;56.95
1988-12-01 00:00:00;1988;12;1;0.0
1989-01-01 00:00:00;1989;1;1;39.39
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;16.35
1989-04-01 00:00:00;1989;4;1;63.06
1989-05-01 00:00:00;1989;5;1;172.03
1989-06-01 00:00:00;1989;6;1;141.1
1989-07-01 00:00:00;1989;7;1;117.22
1989-08-01 00:00:00;1989;8;1;72.2
1989-09-01 00:00:00;1989;9;1;194.0
1989-10-01 00:00:00;1989;10;1;125.49
1989-11-01 00:00:00;1989;11;1;129.7
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;1.17
1990-02-01 00:00:00;1990;2;1;0.0
1990-03-01 00:00:00;1990;3;1;0.0
1990-04-01 00:00:00;1990;4;1;96.93
1990-05-01 00:00:00;1990;5;1;108.05
