Lat:;10.7928684534;lon:;104.956135879;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;1.8
1985-02-01 00:00:00;1985;2;1;1.8
1985-03-01 00:00:00;1985;3;1;10.4
1985-04-01 00:00:00;1985;4;1;41.15
1985-05-01 00:00:00;1985;5;1;176.06
1985-06-01 00:00:00;1985;6;1;82.07
1985-07-01 00:00:00;1985;7;1;84.26
1985-08-01 00:00:00;1985;8;1;123.39
1985-09-01 00:00:00;1985;9;1;264.39
1985-10-01 00:00:00;1985;10;1;409.5
1985-11-01 00:00:00;1985;11;1;195.29
1985-12-01 00:00:00;1985;12;1;55.08
1986-01-01 00:00:00;1986;1;1;10.02
1986-02-01 00:00:00;1986;2;1;3.61
1986-03-01 00:00:00;1986;3;1;0.0
1986-04-01 00:00:00;1986;4;1;23.38
1986-05-01 00:00:00;1986;5;1;147.75
1986-06-01 00:00:00;1986;6;1;75.31
1986-07-01 00:00:00;1986;7;1;148.71
1986-08-01 00:00:00;1986;8;1;105.16
1986-09-01 00:00:00;1986;9;1;295.05
1986-10-01 00:00:00;1986;10;1;218.58
1986-11-01 00:00:00;1986;11;1;96.95
1986-12-01 00:00:00;1986;12;1;8.96
1987-01-01 00:00:00;1987;1;1;9.95
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;14.61
1987-04-01 00:00:00;1987;4;1;54.47
1987-05-01 00:00:00;1987;5;1;176.82
1987-06-01 00:00:00;1987;6;1;115.83
1987-07-01 00:00:00;1987;7;1;82.85
1987-08-01 00:00:00;1987;8;1;167.15
1987-09-01 00:00:00;1987;9;1;217.74
1987-10-01 00:00:00;1987;10;1;290.51
1987-11-01 00:00:00;1987;11;1;150.5
1987-12-01 00:00:00;1987;12;1;3.15
1988-01-01 00:00:00;1988;1;1;12.55
1988-02-01 00:00:00;1988;2;1;0.87
1988-03-01 00:00:00;1988;3;1;0.9
1988-04-01 00:00:00;1988;4;1;74.42
1988-05-01 00:00:00;1988;5;1;194.97
1988-06-01 00:00:00;1988;6;1;56.03
1988-07-01 00:00:00;1988;7;1;120.06
1988-08-01 00:00:00;1988;8;1;246.31
1988-09-01 00:00:00;1988;9;1;146.06
1988-10-01 00:00:00;1988;10;1;181.95
1988-11-01 00:00:00;1988;11;1;55.75
1988-12-01 00:00:00;1988;12;1;0.0
1989-01-01 00:00:00;1989;1;1;38.54
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;16.02
1989-04-01 00:00:00;1989;4;1;61.74
1989-05-01 00:00:00;1989;5;1;168.45
1989-06-01 00:00:00;1989;6;1;138.16
1989-07-01 00:00:00;1989;7;1;114.77
1989-08-01 00:00:00;1989;8;1;70.71
1989-09-01 00:00:00;1989;9;1;189.94
1989-10-01 00:00:00;1989;10;1;122.87
1989-11-01 00:00:00;1989;11;1;127.0
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;1.15
1990-02-01 00:00:00;1990;2;1;0.0
1990-03-01 00:00:00;1990;3;1;0.0
1990-04-01 00:00:00;1990;4;1;94.91
1990-05-01 00:00:00;1990;5;1;105.81
1990-06-01 00:00:00;1990;6;1;103.58
1990-07-01 00:00:00;1990;7;1;86.73
1990-08-01 00:00:00;1990;8;1;151.38
1990-09-01 00:00:00;1990;9;1;54.1
1990-10-01 00:00:00;1990;10;1;244.11
1990-11-01 00:00:00;1990;11;1;48.03
1990-12-01 00:00:00;1990;12;1;2.79
1991-01-01 00:00:00;1991;1;1;0.0
1991-02-01 00:00:00;1991;2;1;0.49
1991-03-01 00:00:00;1991;3;1;0.49
1991-04-01 00:00:00;1991;4;1;34.44
1991-05-01 00:00:00;1991;5;1;112.03
1991-06-01 00:00:00;1991;6;1;155.09
1991-07-01 00:00:00;1991;7;1;150.71
1991-08-01 00:00:00;1991;8;1;346.65
1991-09-01 00:00:00;1991;9;1;103.98
1991-10-01 00:00:00;1991;10;1;178.61
1991-11-01 00:00:00;1991;11;1;31.24
1991-12-01 00:00:00;1991;12;1;9.59
1992-01-01 00:00:00;1992;1;1;3.04
1992-02-01 00:00:00;1992;2;1;0.0
1992-03-01 00:00:00;1992;3;1;0.82
1992-04-01 00:00:00;1992;4;1;89.58
1992-05-01 00:00:00;1992;5;1;90.93
1992-06-01 00:00:00;1992;6;1;102.9
1992-07-01 00:00:00;1992;7;1;114.92
1992-08-01 00:00:00;1992;8;1;65.37
1992-09-01 00:00:00;1992;9;1;155.27
1992-10-01 00:00:00;1992;10;1;165.13
1992-11-01 00:00:00;1992;11;1;15.21
1992-12-01 00:00:00;1992;12;1;10.66
1993-01-01 00:00:00;1993;1;1;3.91
1993-02-01 00:00:00;1993;2;1;0.0
1993-03-01 00:00:00;1993;3;1;20.76
1993-04-01 00:00:00;1993;4;1;33.43
1993-05-01 00:00:00;1993;5;1;35.2
1993-06-01 00:00:00;1993;6;1;105.77
1993-07-01 00:00:00;1993;7;1;106.97
1993-08-01 00:00:00;1993;8;1;92.87
1993-09-01 00:00:00;1993;9;1;122.76
1993-10-01 00:00:00;1993;10;1;399.46
1993-11-01 00:00:00;1993;11;1;101.33
1993-12-01 00:00:00;1993;12;1;1.74
1994-01-01 00:00:00;1994;1;1;0.9
1994-02-01 00:00:00;1994;2;1;0.0
1994-03-01 00:00:00;1994;3;1;2.46
1994-04-01 00:00:00;1994;4;1;68.35
1994-05-01 00:00:00;1994;5;1;325.92
1994-06-01 00:00:00;1994;6;1;75.85
1994-07-01 00:00:00;1994;7;1;101.0
1994-08-01 00:00:00;1994;8;1;110.7
1994-09-01 00:00:00;1994;9;1;78.65
1994-10-01 00:00:00;1994;10;1;135.88
1994-11-01 00:00:00;1994;11;1;18.84
1994-12-01 00:00:00;1994;12;1;16.13
1995-01-01 00:00:00;1995;1;1;0.0
1995-02-01 00:00:00;1995;2;1;0.08
1995-03-01 00:00:00;1995;3;1;29.03
1995-04-01 00:00:00;1995;4;1;27.75
1995-05-01 00:00:00;1995;5;1;103.08
1995-06-01 00:00:00;1995;6;1;71.99
1995-07-01 00:00:00;1995;7;1;185.25
1995-08-01 00:00:00;1995;8;1;258.41
1995-09-01 00:00:00;1995;9;1;203.32
1995-10-01 00:00:00;1995;10;1;167.9
1995-11-01 00:00:00;1995;11;1;95.88
1995-12-01 00:00:00;1995;12;1;35.13
1996-01-01 00:00:00;1996;1;1;0.08
1996-02-01 00:00:00;1996;2;1;0.0
1996-03-01 00:00:00;1996;3;1;0.0
1996-04-01 00:00:00;1996;4;1;62.9
1996-05-01 00:00:00;1996;5;1;166.9
1996-06-01 00:00:00;1996;6;1;117.3
1996-07-01 00:00:00;1996;7;1;249.39
1996-08-01 00:00:00;1996;8;1;77.89
1996-09-01 00:00:00;1996;9;1;224.63
1996-10-01 00:00:00;1996;10;1;232.89
1996-11-01 00:00:00;1996;11;1;354.04
1996-12-01 00:00:00;1996;12;1;52.6
1997-01-01 00:00:00;1997;1;1;0.08
1997-02-01 00:00:00;1997;2;1;2.46
1997-03-01 00:00:00;1997;3;1;0.0
1997-04-01 00:00:00;1997;4;1;43.09
1997-05-01 00:00:00;1997;5;1;73.51
1997-06-01 00:00:00;1997;6;1;38.58
1997-07-01 00:00:00;1997;7;1;200.76
1997-08-01 00:00:00;1997;8;1;121.29
1997-09-01 00:00:00;1997;9;1;131.85
1997-10-01 00:00:00;1997;10;1;319.6
1997-11-01 00:00:00;1997;11;1;58.06
1997-12-01 00:00:00;1997;12;1;16.36
1998-01-01 00:00:00;1998;1;1;0.0
1998-02-01 00:00:00;1998;2;1;0.0
1998-03-01 00:00:00;1998;3;1;0.0
1998-04-01 00:00:00;1998;4;1;114.12
1998-05-01 00:00:00;1998;5;1;63.76
1998-06-01 00:00:00;1998;6;1;158.34
1998-07-01 00:00:00;1998;7;1;275.46
1998-08-01 00:00:00;1998;8;1;165.11
1998-09-01 00:00:00;1998;9;1;87.23
