Lat:;11.63300328;lon:;103.00000009;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;6.0766
1985-02-01 00:00:00;1985;2;1;19.6829
1985-03-01 00:00:00;1985;3;1;45.9081
1985-04-01 00:00:00;1985;4;1;38.0736
1985-05-01 00:00:00;1985;5;1;348.0835
1985-06-01 00:00:00;1985;6;1;0.0
1985-07-01 00:00:00;1985;7;1;727.402
1985-08-01 00:00:00;1985;8;1;300.036
1985-09-01 00:00:00;1985;9;1;800.6202
1985-10-01 00:00:00;1985;10;1;616.6776
1985-11-01 00:00:00;1985;11;1;544.0344
1985-12-01 00:00:00;1985;12;1;0.0
1986-01-01 00:00:00;1986;1;1;0.0
1986-02-01 00:00:00;1986;2;1;78.2032
1986-03-01 00:00:00;1986;3;1;0.0
1986-04-01 00:00:00;1986;4;1;76.8082
1986-05-01 00:00:00;1986;5;1;690.883
1986-06-01 00:00:00;1986;6;1;738.6072
1986-07-01 00:00:00;1986;7;1;1031.3615
1986-08-01 00:00:00;1986;8;1;1460.47968
1986-09-01 00:00:00;1986;9;1;747.115434
1986-10-01 00:00:00;1986;10;1;575.128848
1986-11-01 00:00:00;1986;11;1;289.2770664
1986-12-01 00:00:00;1986;12;1;29.4245158
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;16.574544
1987-04-01 00:00:00;1987;4;1;184.252428
1987-05-01 00:00:00;1987;5;1;949.615381
1987-06-01 00:00:00;1987;6;1;252.294196
1987-07-01 00:00:00;1987;7;1;209.1356904
1987-08-01 00:00:00;1987;8;1;621.618624
1987-09-01 00:00:00;1987;9;1;582.6875184
1987-10-01 00:00:00;1987;10;1;399.429688
1987-11-01 00:00:00;1987;11;1;594.7519872
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;22.741015
1988-02-01 00:00:00;1988;2;1;62.6411595
1988-03-01 00:00:00;1988;3;1;47.651814
1988-04-01 00:00:00;1988;4;1;522.9456552
1988-05-01 00:00:00;1988;5;1;440.3140027
1988-06-01 00:00:00;1988;6;1;426.1895344
1988-07-01 00:00:00;1988;7;1;419.7382644
1988-08-01 00:00:00;1988;8;1;220.796928
1988-09-01 00:00:00;1988;9;1;311.9753988
1988-10-01 00:00:00;1988;10;1;0.0
1988-11-01 00:00:00;1988;11;1;0.0
1988-12-01 00:00:00;1988;12;1;0.8288596
1989-01-01 00:00:00;1989;1;1;24.6016435
1989-02-01 00:00:00;1989;2;1;0.413473
1989-03-01 00:00:00;1989;3;1;124.5162618
1989-04-01 00:00:00;1989;4;1;132.496128
1989-05-01 00:00:00;1989;5;1;375.6902864
1989-06-01 00:00:00;1989;6;1;343.2035096
1989-07-01 00:00:00;1989;7;1;323.3430564
1989-08-01 00:00:00;1989;8;1;594.646272
1989-09-01 00:00:00;1989;9;1;215.2776132
1989-10-01 00:00:00;1989;10;1;497.98756
1989-11-01 00:00:00;1989;11;1;190.4286216
1989-12-01 00:00:00;1989;12;1;0.4144298
1990-01-01 00:00:00;1990;1;1;23.981434
1990-02-01 00:00:00;1990;2;1;0.0
1990-03-01 00:00:00;1990;3;1;313.2588816
1990-04-01 00:00:00;1990;4;1;280.9331964
1990-05-01 00:00:00;1990;5;1;419.5346727
1990-06-01 00:00:00;1990;6;1;516.05631
1990-07-01 00:00:00;1990;7;1;287.9282952
1990-08-01 00:00:00;1990;8;1;729.508032
1990-09-01 00:00:00;1990;9;1;322.8122196
1990-10-01 00:00:00;1990;10;1;535.4146
1990-11-01 00:00:00;1990;11;1;100.9250928
1990-12-01 00:00:00;1990;12;1;19.8926304
1991-01-01 00:00:00;1991;1;1;7.855987
1991-02-01 00:00:00;1991;2;1;9.096406
1991-03-01 00:00:00;1991;3;1;50.1379956
1991-04-01 00:00:00;1991;4;1;254.0199204
1991-05-01 00:00:00;1991;5;1;449.4569079
1991-06-01 00:00:00;1991;6;1;410.3429568
1991-07-01 00:00:00;1991;7;1;1081.5123228
1991-08-01 00:00:00;1991;8;1;1090.603008
1991-09-01 00:00:00;1991;9;1;497.034954
1991-10-01 00:00:00;1991;10;1;183.808352
1991-11-01 00:00:00;1991;11;1;0.4153296
1991-12-01 00:00:00;1991;12;1;1.2432894
1992-01-01 00:00:00;1992;1;1;1.321
1992-02-01 00:00:00;1992;2;1;77.2785
1992-03-01 00:00:00;1992;3;1;19.7127
1992-04-01 00:00:00;1992;4;1;108.404
1992-05-01 00:00:00;1992;5;1;235.9306
1992-06-01 00:00:00;1992;6;1;884.1144
1992-07-01 00:00:00;1992;7;1;635.0981
1992-08-01 00:00:00;1992;8;1;787.116
1992-09-01 00:00:00;1992;9;1;1018.6128
1992-10-01 00:00:00;1992;10;1;527.9792
1992-11-01 00:00:00;1992;11;1;5.5272
1992-12-01 00:00:00;1992;12;1;0.1319
1993-01-01 00:00:00;1993;1;1;52.84
1993-02-01 00:00:00;1993;2;1;13.21
1993-03-01 00:00:00;1993;3;1;171.5931
1993-04-01 00:00:00;1993;4;1;210.0658
1993-05-01 00:00:00;1993;5;1;259.1802
1993-06-01 00:00:00;1993;6;1;844.4426
1993-07-01 00:00:00;1993;7;1;974.1147
1993-08-01 00:00:00;1993;8;1;665.412
1993-09-01 00:00:00;1993;9;1;775.26
1993-10-01 00:00:00;1993;10;1;319.3932
1993-11-01 00:00:00;1993;11;1;89.6196
1993-12-01 00:00:00;1993;12;1;55.9256
1994-01-01 00:00:00;1994;1;1;82.5625
1994-02-01 00:00:00;1994;2;1;21.6644
1994-03-01 00:00:00;1994;3;1;292.6476
1994-04-01 00:00:00;1994;4;1;263.3424
1994-05-01 00:00:00;1994;5;1;465.7846
1994-06-01 00:00:00;1994;6;1;807.8022
1994-07-01 00:00:00;1994;7;1;535.704
1994-08-01 00:00:00;1994;8;1;740.124
1994-09-01 00:00:00;1994;9;1;999.1656
1994-10-01 00:00:00;1994;10;1;273.8596
1994-11-01 00:00:00;1994;11;1;30.6628
1994-12-01 00:00:00;1994;12;1;110.0046
1995-01-01 00:00:00;1995;1;1;32.7608
1995-02-01 00:00:00;1995;2;1;0.7926
1995-03-01 00:00:00;1995;3;1;70.9128
1995-04-01 00:00:00;1995;4;1;83.5504
1995-05-01 00:00:00;1995;5;1;395.3753
1995-06-01 00:00:00;1995;6;1;479.6202
1995-07-01 00:00:00;1995;7;1;714.7972
1995-08-01 00:00:00;1995;8;1;1242.252
1995-09-01 00:00:00;1995;9;1;709.8228
