Lat:;12.52300864;lon:;104.220260069;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;0.0
1985-02-01 00:00:00;1985;2;1;0.0
1985-03-01 00:00:00;1985;3;1;44.8
1985-04-01 00:00:00;1985;4;1;105.07
1985-05-01 00:00:00;1985;5;1;170.75
1985-06-01 00:00:00;1985;6;1;112.36
1985-07-01 00:00:00;1985;7;1;211.4
1985-08-01 00:00:00;1985;8;1;75.52
1985-09-01 00:00:00;1985;9;1;262.2
1985-10-01 00:00:00;1985;10;1;252.07
1985-11-01 00:00:00;1985;11;1;83.3
1985-12-01 00:00:00;1985;12;1;4.32
1986-01-01 00:00:00;1986;1;1;2.49
1986-02-01 00:00:00;1986;2;1;3.32
1986-03-01 00:00:00;1986;3;1;0.0
1986-04-01 00:00:00;1986;4;1;57.93
1986-05-01 00:00:00;1986;5;1;173.92
1986-06-01 00:00:00;1986;6;1;168.77
1986-07-01 00:00:00;1986;7;1;192.0
1986-08-01 00:00:00;1986;8;1;143.9
1986-09-01 00:00:00;1986;9;1;320.6
1986-10-01 00:00:00;1986;10;1;215.6
1986-11-01 00:00:00;1986;11;1;122.49
1986-12-01 00:00:00;1986;12;1;29.88
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.83
1987-03-01 00:00:00;1987;3;1;11.95
1987-04-01 00:00:00;1987;4;1;93.76
1987-05-01 00:00:00;1987;5;1;85.8
1987-06-01 00:00:00;1987;6;1;236.96
1987-07-01 00:00:00;1987;7;1;136.75
1987-08-01 00:00:00;1987;8;1;149.36
1987-09-01 00:00:00;1987;9;1;253.89
1987-10-01 00:00:00;1987;10;1;110.35
1987-11-01 00:00:00;1987;11;1;363.39
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;0.0
1988-02-01 00:00:00;1988;2;1;0.0
1988-03-01 00:00:00;1988;3;1;0.0
1988-04-01 00:00:00;1988;4;1;134.44
1988-05-01 00:00:00;1988;5;1;74.85
1988-06-01 00:00:00;1988;6;1;155.8
1988-07-01 00:00:00;1988;7;1;75.51
1988-08-01 00:00:00;1988;8;1;61.06
1988-09-01 00:00:00;1988;9;1;287.45
1988-10-01 00:00:00;1988;10;1;175.41
1988-11-01 00:00:00;1988;11;1;351.27
1988-12-01 00:00:00;1988;12;1;15.43
1989-01-01 00:00:00;1989;1;1;0.0
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;70.55
1989-04-01 00:00:00;1989;4;1;103.89
1989-05-01 00:00:00;1989;5;1;66.39
1989-06-01 00:00:00;1989;6;1;66.88
1989-07-01 00:00:00;1989;7;1;140.23
1989-08-01 00:00:00;1989;8;1;179.22
1989-09-01 00:00:00;1989;9;1;320.27
1989-10-01 00:00:00;1989;10;1;294.73
1989-11-01 00:00:00;1989;11;1;42.31
1989-12-01 00:00:00;1989;12;1;8.3
1990-01-01 00:00:00;1990;1;1;0.0
1990-02-01 00:00:00;1990;2;1;0.0
1990-03-01 00:00:00;1990;3;1;0.0
1990-04-01 00:00:00;1990;4;1;53.11
1990-05-01 00:00:00;1990;5;1;61.4
1990-06-01 00:00:00;1990;6;1;202.28
1990-07-01 00:00:00;1990;7;1;78.83
1990-08-01 00:00:00;1990;8;1;97.74
