Lat:;13.5901891427;lon:;103.418509043;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;6.22
1985-02-01 00:00:00;1985;2;1;41.79
1985-03-01 00:00:00;1985;3;1;26.15
1985-04-01 00:00:00;1985;4;1;83.6
1985-05-01 00:00:00;1985;5;1;162.73
1985-06-01 00:00:00;1985;6;1;165.05
1985-07-01 00:00:00;1985;7;1;203.8
1985-08-01 00:00:00;1985;8;1;98.9
1985-09-01 00:00:00;1985;9;1;179.97
1985-10-01 00:00:00;1985;10;1;121.48
1985-11-01 00:00:00;1985;11;1;48.36
1985-12-01 00:00:00;1985;12;1;20.98
1986-01-01 00:00:00;1986;1;1;8.89
1986-02-01 00:00:00;1986;2;1;0.0
1986-03-01 00:00:00;1986;3;1;0.89
1986-04-01 00:00:00;1986;4;1;26.68
1986-05-01 00:00:00;1986;5;1;88.04
1986-06-01 00:00:00;1986;6;1;96.2
1986-07-01 00:00:00;1986;7;1;25.79
1986-08-01 00:00:00;1986;8;1;118.1
1986-09-01 00:00:00;1986;9;1;237.77
1986-10-01 00:00:00;1986;10;1;144.95
1986-11-01 00:00:00;1986;11;1;67.95
1986-12-01 00:00:00;1986;12;1;0.0
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;25.61
1987-03-01 00:00:00;1987;3;1;2.67
1987-04-01 00:00:00;1987;4;1;106.88
1987-05-01 00:00:00;1987;5;1;148.49
1987-06-01 00:00:00;1987;6;1;124.66
1987-07-01 00:00:00;1987;7;1;74.5
1987-08-01 00:00:00;1987;8;1;223.55
1987-09-01 00:00:00;1987;9;1;213.95
1987-10-01 00:00:00;1987;10;1;182.99
1987-11-01 00:00:00;1987;11;1;79.14
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;0.0
1988-02-01 00:00:00;1988;2;1;0.0
1988-03-01 00:00:00;1988;3;1;16.89
1988-04-01 00:00:00;1988;4;1;59.58
1988-05-01 00:00:00;1988;5;1;79.85
1988-06-01 00:00:00;1988;6;1;114.72
1988-07-01 00:00:00;1988;7;1;189.6
1988-08-01 00:00:00;1988;8;1;121.83
1988-09-01 00:00:00;1988;9;1;234.92
1988-10-01 00:00:00;1988;10;1;169.32
1988-11-01 00:00:00;1988;11;1;5.34
1988-12-01 00:00:00;1988;12;1;15.12
1989-01-01 00:00:00;1989;1;1;8.89
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;0.0
1989-04-01 00:00:00;1989;4;1;81.45
1989-05-01 00:00:00;1989;5;1;178.75
1989-06-01 00:00:00;1989;6;1;136.58
1989-07-01 00:00:00;1989;7;1;107.6
1989-08-01 00:00:00;1989;8;1;243.28
1989-09-01 00:00:00;1989;9;1;148.87
1989-10-01 00:00:00;1989;10;1;219.29
1989-11-01 00:00:00;1989;11;1;78.79
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;9.78
1990-02-01 00:00:00;1990;2;1;12.45
1990-03-01 00:00:00;1990;3;1;35.04
1990-04-01 00:00:00;1990;4;1;72.55
1990-05-01 00:00:00;1990;5;1;64.91
1990-06-01 00:00:00;1990;6;1;190.21
1990-07-01 00:00:00;1990;7;1;73.8
1990-08-01 00:00:00;1990;8;1;109.2
1990-09-01 00:00:00;1990;9;1;241.87
1990-10-01 00:00:00;1990;10;1;216.24
1990-11-01 00:00:00;1990;11;1;74.14
1990-12-01 00:00:00;1990;12;1;10.64
1991-01-01 00:00:00;1991;1;1;4.45
1991-02-01 00:00:00;1991;2;1;0.0
1991-03-01 00:00:00;1991;3;1;1.78
1991-04-01 00:00:00;1991;4;1;108.13
1991-05-01 00:00:00;1991;5;1;130.89
1991-06-01 00:00:00;1991;6;1;160.42
1991-07-01 00:00:00;1991;7;1;130.89
1991-08-01 00:00:00;1991;8;1;313.0
1991-09-01 00:00:00;1991;9;1;279.4
1991-10-01 00:00:00;1991;10;1;102.97
1991-11-01 00:00:00;1991;11;1;86.79
1991-12-01 00:00:00;1991;12;1;11.7
1992-01-01 00:00:00;1992;1;1;0.0
1992-02-01 00:00:00;1992;2;1;58.87
1992-03-01 00:00:00;1992;3;1;0.0
1992-04-01 00:00:00;1992;4;1;34.68
1992-05-01 00:00:00;1992;5;1;82.69
1992-06-01 00:00:00;1992;6;1;127.34
1992-07-01 00:00:00;1992;7;1;89.1
1992-08-01 00:00:00;1992;8;1;180.33
1992-09-01 00:00:00;1992;9;1;156.67
1992-10-01 00:00:00;1992;10;1;208.26
1992-11-01 00:00:00;1992;11;1;7.12
1992-12-01 00:00:00;1992;12;1;13.34
1993-01-01 00:00:00;1993;1;1;0.0
1993-02-01 00:00:00;1993;2;1;4.45
1993-03-01 00:00:00;1993;3;1;28.1
1993-04-01 00:00:00;1993;4;1;25.79
1993-05-01 00:00:00;1993;5;1;82.32
1993-06-01 00:00:00;1993;6;1;102.96
1993-07-01 00:00:00;1993;7;1;29.51
1993-08-01 00:00:00;1993;8;1;191.71
1993-09-01 00:00:00;1993;9;1;177.13
1993-10-01 00:00:00;1993;10;1;134.09
1993-11-01 00:00:00;1993;11;1;15.12
1993-12-01 00:00:00;1993;12;1;3.56
1994-01-01 00:00:00;1994;1;1;6.22
1994-02-01 00:00:00;1994;2;1;8.0
1994-03-01 00:00:00;1994;3;1;17.43
1994-04-01 00:00:00;1994;4;1;50.33
1994-05-01 00:00:00;1994;5;1;44.47
1994-06-01 00:00:00;1994;6;1;128.22
1994-07-01 00:00:00;1994;7;1;110.97
1994-08-01 00:00:00;1994;8;1;168.78
1994-09-01 00:00:00;1994;9;1;208.61
1994-10-01 00:00:00;1994;10;1;167.53
1994-11-01 00:00:00;1994;11;1;7.11
1994-12-01 00:00:00;1994;12;1;15.12
1995-01-01 00:00:00;1995;1;1;0.0
1995-02-01 00:00:00;1995;2;1;0.0
1995-03-01 00:00:00;1995;3;1;0.0
1995-04-01 00:00:00;1995;4;1;37.51
1995-05-01 00:00:00;1995;5;1;97.64
1995-06-01 00:00:00;1995;6;1;62.25
1995-07-01 00:00:00;1995;7;1;132.66
1995-08-01 00:00:00;1995;8;1;201.82
1995-09-01 00:00:00;1995;9;1;284.02
1995-10-01 00:00:00;1995;10;1;291.72
1995-11-01 00:00:00;1995;11;1;87.15
1995-12-01 00:00:00;1995;12;1;0.0
1996-01-01 00:00:00;1996;1;1;0.0
1996-02-01 00:00:00;1996;2;1;0.0
1996-03-01 00:00:00;1996;3;1;52.47
1996-04-01 00:00:00;1996;4;1;90.82
1996-05-01 00:00:00;1996;5;1;155.81
1996-06-01 00:00:00;1996;6;1;57.37
1996-07-01 00:00:00;1996;7;1;120.1
1996-08-01 00:00:00;1996;8;1;181.5
1996-09-01 00:00:00;1996;9;1;309.2
1996-10-01 00:00:00;1996;10;1;401.7
1996-11-01 00:00:00;1996;11;1;127.3
1996-12-01 00:00:00;1996;12;1;0.0
1997-01-01 00:00:00;1997;1;1;0.0
1997-02-01 00:00:00;1997;2;1;0.0
1997-03-01 00:00:00;1997;3;1;0.0
1997-04-01 00:00:00;1997;4;1;0.0
1997-05-01 00:00:00;1997;5;1;194.4
1997-06-01 00:00:00;1997;6;1;106.8
1997-07-01 00:00:00;1997;7;1;84.3
1997-08-01 00:00:00;1997;8;1;211.7
1997-09-01 00:00:00;1997;9;1;422.8
1997-10-01 00:00:00;1997;10;1;121.9
1997-11-01 00:00:00;1997;11;1;13.0
1997-12-01 00:00:00;1997;12;1;0.0
1998-01-01 00:00:00;1998;1;1;0.0
1998-02-01 00:00:00;1998;2;1;0.0
1998-03-01 00:00:00;1998;3;1;42.0
1998-04-01 00:00:00;1998;4;1;69.3
1998-05-01 00:00:00;1998;5;1;172.3
1998-06-01 00:00:00;1998;6;1;90.9
1998-07-01 00:00:00;1998;7;1;123.3
1998-08-01 00:00:00;1998;8;1;194.1
1998-09-01 00:00:00;1998;9;1;171.8
1998-10-01 00:00:00;1998;10;1;93.7
1998-11-01 00:00:00;1998;11;1;169.2
1998-12-01 00:00:00;1998;12;1;11.0
1999-01-01 00:00:00;1999;1;1;0.0
1999-02-01 00:00:00;1999;2;1;0.0
1999-03-01 00:00:00;1999;3;1;0.0
1999-04-01 00:00:00;1999;4;1;212.5
1999-05-01 00:00:00;1999;5;1;179.0
1999-06-01 00:00:00;1999;6;1;231.2
1999-07-01 00:00:00;1999;7;1;105.5
1999-08-01 00:00:00;1999;8;1;67.7
1999-09-01 00:00:00;1999;9;1;0.0
1999-10-01 00:00:00;1999;10;1;126.6
1999-11-01 00:00:00;1999;11;1;144.1
1999-12-01 00:00:00;1999;12;1;0.0
2000-01-01 00:00:00;2000;1;1;0.0
2000-02-01 00:00:00;2000;2;1;16.5
2000-03-01 00:00:00;2000;3;1;16.0
2000-04-01 00:00:00;2000;4;1;157.7
2000-05-01 00:00:00;2000;5;1;76.6
2000-06-01 00:00:00;2000;6;1;52.3
2000-07-01 00:00:00;2000;7;1;146.2
