Lat:;12.478935278;lon:;106.021235636;mm/month
datetime;year;month;day;data
1980-01-01 00:00:00;1980;1;1;0.0
1980-02-01 00:00:00;1980;2;1;18.6
1980-03-01 00:00:00;1980;3;1;23.1
1980-04-01 00:00:00;1980;4;1;6.3
1980-05-01 00:00:00;1980;5;1;266.8
1980-06-01 00:00:00;1980;6;1;145.0
1980-07-01 00:00:00;1980;7;1;289.6
1980-08-01 00:00:00;1980;8;1;491.9
1980-09-01 00:00:00;1980;9;1;408.2
1980-10-01 00:00:00;1980;10;1;291.0
1980-11-01 00:00:00;1980;11;1;100.1
1980-12-01 00:00:00;1980;12;1;0.0
1981-01-01 00:00:00;1981;1;1;0.0
1981-02-01 00:00:00;1981;2;1;0.0
1981-03-01 00:00:00;1981;3;1;0.6
1981-04-01 00:00:00;1981;4;1;162.3
1981-05-01 00:00:00;1981;5;1;154.9
1981-06-01 00:00:00;1981;6;1;385.4
1981-07-01 00:00:00;1981;7;1;432.3
1981-08-01 00:00:00;1981;8;1;227.2
1981-09-01 00:00:00;1981;9;1;183.8
1981-10-01 00:00:00;1981;10;1;168.7
1981-11-01 00:00:00;1981;11;1;60.2
1981-12-01 00:00:00;1981;12;1;0.0
1982-01-01 00:00:00;1982;1;1;0.0
1982-02-01 00:00:00;1982;2;1;0.0
1982-03-01 00:00:00;1982;3;1;273.7
1982-04-01 00:00:00;1982;4;1;33.4
1982-05-01 00:00:00;1982;5;1;131.8
1982-06-01 00:00:00;1982;6;1;295.9
1982-07-01 00:00:00;1982;7;1;181.2
1982-08-01 00:00:00;1982;8;1;512.1
1982-09-01 00:00:00;1982;9;1;435.3
1982-10-01 00:00:00;1982;10;1;66.9
1982-11-01 00:00:00;1982;11;1;51.6
1982-12-01 00:00:00;1982;12;1;0.0
1983-01-01 00:00:00;1983;1;1;22.6
1983-02-01 00:00:00;1983;2;1;0.0
1983-03-01 00:00:00;1983;3;1;0.0
1983-04-01 00:00:00;1983;4;1;0.0
1983-05-01 00:00:00;1983;5;1;127.6
1983-06-01 00:00:00;1983;6;1;280.8
1983-07-01 00:00:00;1983;7;1;177.7
1983-08-01 00:00:00;1983;8;1;454.3
1983-09-01 00:00:00;1983;9;1;221.2
1983-10-01 00:00:00;1983;10;1;379.8
1983-11-01 00:00:00;1983;11;1;58.5
1983-12-01 00:00:00;1983;12;1;0.0
1984-01-01 00:00:00;1984;1;1;0.0
1984-02-01 00:00:00;1984;2;1;0.8
1984-03-01 00:00:00;1984;3;1;0.0
1984-04-01 00:00:00;1984;4;1;176.0
1984-05-01 00:00:00;1984;5;1;182.1
1984-06-01 00:00:00;1984;6;1;110.5
1984-07-01 00:00:00;1984;7;1;295.9
1984-08-01 00:00:00;1984;8;1;193.4
1984-09-01 00:00:00;1984;9;1;217.4
1984-10-01 00:00:00;1984;10;1;112.2
1984-11-01 00:00:00;1984;11;1;10.0
1984-12-01 00:00:00;1984;12;1;0.0
1985-01-01 00:00:00;1985;1;1;0.9
1985-02-01 00:00:00;1985;2;1;27.5
1985-03-01 00:00:00;1985;3;1;5.5
1985-04-01 00:00:00;1985;4;1;117.6
1985-05-01 00:00:00;1985;5;1;157.5
1985-06-01 00:00:00;1985;6;1;187.6
1985-07-01 00:00:00;1985;7;1;129.1
1985-08-01 00:00:00;1985;8;1;150.2
1985-09-01 00:00:00;1985;9;1;230.7
1985-10-01 00:00:00;1985;10;1;76.9
1985-11-01 00:00:00;1985;11;1;15.3
1985-12-01 00:00:00;1985;12;1;0.3
1986-01-01 00:00:00;1986;1;1;0.0
1986-02-01 00:00:00;1986;2;1;0.8
1986-03-01 00:00:00;1986;3;1;0.0
1986-04-01 00:00:00;1986;4;1;87.8
1986-05-01 00:00:00;1986;5;1;190.4
1986-06-01 00:00:00;1986;6;1;164.9
1986-07-01 00:00:00;1986;7;1;227.8
1986-08-01 00:00:00;1986;8;1;311.4
1986-09-01 00:00:00;1986;9;1;349.3
1986-10-01 00:00:00;1986;10;1;180.9
1986-11-01 00:00:00;1986;11;1;123.0
1986-12-01 00:00:00;1986;12;1;36.0
1987-01-01 00:00:00;1987;1;1;28.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;9.0
1987-04-01 00:00:00;1987;4;1;58.0
1987-05-01 00:00:00;1987;5;1;293.0
1987-06-01 00:00:00;1987;6;1;246.0
1987-07-01 00:00:00;1987;7;1;69.0
1987-08-01 00:00:00;1987;8;1;79.0
1987-09-01 00:00:00;1987;9;1;349.0
1987-10-01 00:00:00;1987;10;1;163.0
