Lat:;12.338235534;lon:;103.762586064;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;22.59
1985-02-01 00:00:00;1985;2;1;15.9
1985-03-01 00:00:00;1985;3;1;29.7
1985-04-01 00:00:00;1985;4;1;87.23
1985-05-01 00:00:00;1985;5;1;265.29
1985-06-01 00:00:00;1985;6;1;48.54
1985-07-01 00:00:00;1985;7;1;150.68
1985-08-01 00:00:00;1985;8;1;43.46
1985-09-01 00:00:00;1985;9;1;246.69
1985-10-01 00:00:00;1985;10;1;94.27
1985-11-01 00:00:00;1985;11;1;275.17
1985-12-01 00:00:00;1985;12;1;19.15
1986-01-01 00:00:00;1986;1;1;0.0
1986-02-01 00:00:00;1986;2;1;0.0
1986-03-01 00:00:00;1986;3;1;4.18
1986-04-01 00:00:00;1986;4;1;16.24
1986-05-01 00:00:00;1986;5;1;78.64
1986-06-01 00:00:00;1986;6;1;122.09
1986-07-01 00:00:00;1986;7;1;84.44
1986-08-01 00:00:00;1986;8;1;192.74
1986-09-01 00:00:00;1986;9;1;145.39
1986-10-01 00:00:00;1986;10;1;105.91
1986-11-01 00:00:00;1986;11;1;43.94
1986-12-01 00:00:00;1986;12;1;37.49
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;15.48
1987-04-01 00:00:00;1987;4;1;30.63
1987-05-01 00:00:00;1987;5;1;153.7
1987-06-01 00:00:00;1987;6;1;115.06
1987-07-01 00:00:00;1987;7;1;128.78
1987-08-01 00:00:00;1987;8;1;110.97
1987-09-01 00:00:00;1987;9;1;274.32
1987-10-01 00:00:00;1987;10;1;106.11
1987-11-01 00:00:00;1987;11;1;279.08
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;0.98
1988-02-01 00:00:00;1988;2;1;0.0
1988-03-01 00:00:00;1988;3;1;0.5
1988-04-01 00:00:00;1988;4;1;109.63
1988-05-01 00:00:00;1988;5;1;194.8
1988-06-01 00:00:00;1988;6;1;255.32
1988-07-01 00:00:00;1988;7;1;184.21
1988-08-01 00:00:00;1988;8;1;361.39
1988-09-01 00:00:00;1988;9;1;121.58
1988-10-01 00:00:00;1988;10;1;312.76
1988-11-01 00:00:00;1988;11;1;69.74
1988-12-01 00:00:00;1988;12;1;2.2
1989-01-01 00:00:00;1989;1;1;6.78
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;75.02
1989-04-01 00:00:00;1989;4;1;82.89
1989-05-01 00:00:00;1989;5;1;189.2
1989-06-01 00:00:00;1989;6;1;69.14
1989-07-01 00:00:00;1989;7;1;154.18
1989-08-01 00:00:00;1989;8;1;349.77
1989-09-01 00:00:00;1989;9;1;281.07
1989-10-01 00:00:00;1989;10;1;90.92
1989-11-01 00:00:00;1989;11;1;87.68
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;0.0
1990-02-01 00:00:00;1990;2;1;0.25
1990-03-01 00:00:00;1990;3;1;76.0
1990-04-01 00:00:00;1990;4;1;80.17
1990-05-01 00:00:00;1990;5;1;83.0
1990-06-01 00:00:00;1990;6;1;76.95
1990-07-01 00:00:00;1990;7;1;169.62
1990-08-01 00:00:00;1990;8;1;188.9
1990-09-01 00:00:00;1990;9;1;211.37
