Lat:;12.7737943701;lon:;103.440785952;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;0.0
1985-02-01 00:00:00;1985;2;1;93.18
1985-03-01 00:00:00;1985;3;1;49.24
1985-04-01 00:00:00;1985;4;1;129.43
1985-05-01 00:00:00;1985;5;1;216.16
1985-06-01 00:00:00;1985;6;1;93.75
1985-07-01 00:00:00;1985;7;1;210.92
1985-08-01 00:00:00;1985;8;1;129.8
1985-09-01 00:00:00;1985;9;1;342.92
1985-10-01 00:00:00;1985;10;1;205.1
1985-11-01 00:00:00;1985;11;1;74.36
1985-12-01 00:00:00;1985;12;1;0.0
1986-01-01 00:00:00;1986;1;1;0.0
1986-02-01 00:00:00;1986;2;1;10.75
1986-03-01 00:00:00;1986;3;1;32.18
1986-04-01 00:00:00;1986;4;1;38.25
1986-05-01 00:00:00;1986;5;1;80.55
1986-06-01 00:00:00;1986;6;1;117.06
1986-07-01 00:00:00;1986;7;1;132.47
1986-08-01 00:00:00;1986;8;1;230.14
1986-09-01 00:00:00;1986;9;1;221.15
1986-10-01 00:00:00;1986;10;1;183.08
1986-11-01 00:00:00;1986;11;1;32.75
1986-12-01 00:00:00;1986;12;1;0.0
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;45.25
1987-04-01 00:00:00;1987;4;1;58.71
1987-05-01 00:00:00;1987;5;1;61.16
1987-06-01 00:00:00;1987;6;1;111.32
1987-07-01 00:00:00;1987;7;1;62.51
1987-08-01 00:00:00;1987;8;1;192.41
1987-09-01 00:00:00;1987;9;1;237.71
1987-10-01 00:00:00;1987;10;1;104.7
1987-11-01 00:00:00;1987;11;1;384.45
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;0.0
1988-02-01 00:00:00;1988;2;1;0.0
1988-03-01 00:00:00;1988;3;1;18.24
1988-04-01 00:00:00;1988;4;1;201.7
1988-05-01 00:00:00;1988;5;1;99.26
1988-06-01 00:00:00;1988;6;1;0.0
1988-07-01 00:00:00;1988;7;1;153.37
1988-08-01 00:00:00;1988;8;1;144.49
1988-09-01 00:00:00;1988;9;1;179.55
1988-10-01 00:00:00;1988;10;1;299.99
1988-11-01 00:00:00;1988;11;1;0.0
1988-12-01 00:00:00;1988;12;1;0.26
1989-01-01 00:00:00;1989;1;1;0.0
1989-02-01 00:00:00;1989;2;1;10.75
1989-03-01 00:00:00;1989;3;1;54.63
1989-04-01 00:00:00;1989;4;1;71.92
1989-05-01 00:00:00;1989;5;1;193.05
1989-06-01 00:00:00;1989;6;1;70.71
1989-07-01 00:00:00;1989;7;1;94.7
1989-08-01 00:00:00;1989;8;1;375.1
1989-09-01 00:00:00;1989;9;1;255.7
1989-10-01 00:00:00;1989;10;1;171.11
1989-11-01 00:00:00;1989;11;1;57.05
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;8.69
1990-02-01 00:00:00;1990;2;1;68.6
1990-03-01 00:00:00;1990;3;1;12.3
1990-04-01 00:00:00;1990;4;1;65.87
1990-05-01 00:00:00;1990;5;1;84.73
1990-06-01 00:00:00;1990;6;1;170.5
1990-07-01 00:00:00;1990;7;1;179.4
1990-08-01 00:00:00;1990;8;1;103.16
