Lat:;11.329107732;lon:;105.549923687;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;12.54
1985-02-01 00:00:00;1985;2;1;0.0
1985-03-01 00:00:00;1985;3;1;0.0
1985-04-01 00:00:00;1985;4;1;142.52
1985-05-01 00:00:00;1985;5;1;247.62
1985-06-01 00:00:00;1985;6;1;183.85
1985-07-01 00:00:00;1985;7;1;119.04
1985-08-01 00:00:00;1985;8;1;162.03
1985-09-01 00:00:00;1985;9;1;199.38
1985-10-01 00:00:00;1985;10;1;222.74
1985-11-01 00:00:00;1985;11;1;134.1
1985-12-01 00:00:00;1985;12;1;0.0
1986-01-01 00:00:00;1986;1;1;1.03
1986-02-01 00:00:00;1986;2;1;0.0
1986-03-01 00:00:00;1986;3;1;0.0
1986-04-01 00:00:00;1986;4;1;38.21
1986-05-01 00:00:00;1986;5;1;188.86
1986-06-01 00:00:00;1986;6;1;155.64
1986-07-01 00:00:00;1986;7;1;94.53
1986-08-01 00:00:00;1986;8;1;237.65
1986-09-01 00:00:00;1986;9;1;271.74
1986-10-01 00:00:00;1986;10;1;337.85
1986-11-01 00:00:00;1986;11;1;197.5
1986-12-01 00:00:00;1986;12;1;13.91
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;0.0
1987-04-01 00:00:00;1987;4;1;0.0
1987-05-01 00:00:00;1987;5;1;49.83
1987-06-01 00:00:00;1987;6;1;55.22
1987-07-01 00:00:00;1987;7;1;101.37
1987-08-01 00:00:00;1987;8;1;217.79
1987-09-01 00:00:00;1987;9;1;359.52
1987-10-01 00:00:00;1987;10;1;274.09
1987-11-01 00:00:00;1987;11;1;241.76
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;10.38
1988-02-01 00:00:00;1988;2;1;37.63
1988-03-01 00:00:00;1988;3;1;53.86
1988-04-01 00:00:00;1988;4;1;163.98
1988-05-01 00:00:00;1988;5;1;275.44
1988-06-01 00:00:00;1988;6;1;281.04
