Lat:;13.132292904;lon:;106.18621919;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;0.0
1985-02-01 00:00:00;1985;2;1;0.0
1985-03-01 00:00:00;1985;3;1;0.0
1985-04-01 00:00:00;1985;4;1;170.6
1985-05-01 00:00:00;1985;5;1;342.19
1985-06-01 00:00:00;1985;6;1;102.48
1985-07-01 00:00:00;1985;7;1;343.27
1985-08-01 00:00:00;1985;8;1;97.49
1985-09-01 00:00:00;1985;9;1;600.04
1985-10-01 00:00:00;1985;10;1;150.08
1985-11-01 00:00:00;1985;11;1;134.76
1985-12-01 00:00:00;1985;12;1;20.98
1986-01-01 00:00:00;1986;1;1;0.0
1986-02-01 00:00:00;1986;2;1;0.0
1986-03-01 00:00:00;1986;3;1;49.86
1986-04-01 00:00:00;1986;4;1;155.09
1986-05-01 00:00:00;1986;5;1;148.8
1986-06-01 00:00:00;1986;6;1;296.82
1986-07-01 00:00:00;1986;7;1;37.28
1986-08-01 00:00:00;1986;8;1;192.68
1986-09-01 00:00:00;1986;9;1;156.56
1986-10-01 00:00:00;1986;10;1;447.68
1986-11-01 00:00:00;1986;11;1;16.14
1986-12-01 00:00:00;1986;12;1;0.0
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;0.0
1987-04-01 00:00:00;1987;4;1;20.17
1987-05-01 00:00:00;1987;5;1;200.08
1987-06-01 00:00:00;1987;6;1;55.68
1987-07-01 00:00:00;1987;7;1;209.48
1987-08-01 00:00:00;1987;8;1;331.33
1987-09-01 00:00:00;1987;9;1;379.12
1987-10-01 00:00:00;1987;10;1;179.13
1987-11-01 00:00:00;1987;11;1;0.0
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;0.0
1988-02-01 00:00:00;1988;2;1;0.0
1988-03-01 00:00:00;1988;3;1;0.0
1988-04-01 00:00:00;1988;4;1;19.37
1988-05-01 00:00:00;1988;5;1;224.82
1988-06-01 00:00:00;1988;6;1;361.53
1988-07-01 00:00:00;1988;7;1;308.9
1988-08-01 00:00:00;1988;8;1;253.56
1988-09-01 00:00:00;1988;9;1;197.42
1988-10-01 00:00:00;1988;10;1;425.91
1988-11-01 00:00:00;1988;11;1;57.3
1988-12-01 00:00:00;1988;12;1;0.0
1989-01-01 00:00:00;1989;1;1;0.0
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;0.0
1989-04-01 00:00:00;1989;4;1;4.03
1989-05-01 00:00:00;1989;5;1;299.7
1989-06-01 00:00:00;1989;6;1;234.81
1989-07-01 00:00:00;1989;7;1;315.55
1989-08-01 00:00:00;1989;8;1;276.13
1989-09-01 00:00:00;1989;9;1;694.14
1989-10-01 00:00:00;1989;10;1;157.21
1989-11-01 00:00:00;1989;11;1;5.65
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;0.0
1990-02-01 00:00:00;1990;2;1;0.81
1990-03-01 00:00:00;1990;3;1;37.12
1990-04-01 00:00:00;1990;4;1;31.47
1990-05-01 00:00:00;1990;5;1;250.33
1990-06-01 00:00:00;1990;6;1;358.45
1990-07-01 00:00:00;1990;7;1;340.87
1990-08-01 00:00:00;1990;8;1;309.56
