Lat:;11.535514416;lon:;104.422662184;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;0.0
1985-02-01 00:00:00;1985;2;1;47.73
1985-03-01 00:00:00;1985;3;1;0.0
1985-04-01 00:00:00;1985;4;1;245.98
1985-05-01 00:00:00;1985;5;1;271.58
1985-06-01 00:00:00;1985;6;1;141.97
1985-07-01 00:00:00;1985;7;1;136.89
1985-08-01 00:00:00;1985;8;1;48.74
1985-09-01 00:00:00;1985;9;1;305.74
1985-10-01 00:00:00;1985;10;1;100.57
1985-11-01 00:00:00;1985;11;1;81.18
1985-12-01 00:00:00;1985;12;1;0.0
1986-01-01 00:00:00;1986;1;1;7.11
1986-02-01 00:00:00;1986;2;1;3.89
1986-03-01 00:00:00;1986;3;1;0.0
1986-04-01 00:00:00;1986;4;1;81.4
1986-05-01 00:00:00;1986;5;1;91.45
1986-06-01 00:00:00;1986;6;1;97.12
1986-07-01 00:00:00;1986;7;1;82.18
1986-08-01 00:00:00;1986;8;1;71.86
1986-09-01 00:00:00;1986;9;1;219.23
1986-10-01 00:00:00;1986;10;1;174.94
1986-11-01 00:00:00;1986;11;1;170.84
1986-12-01 00:00:00;1986;12;1;55.6
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.42
1987-03-01 00:00:00;1987;3;1;0.0
1987-04-01 00:00:00;1987;4;1;7.81
1987-05-01 00:00:00;1987;5;1;110.85
1987-06-01 00:00:00;1987;6;1;78.23
1987-07-01 00:00:00;1987;7;1;43.56
1987-08-01 00:00:00;1987;8;1;112.05
1987-09-01 00:00:00;1987;9;1;209.49
1987-10-01 00:00:00;1987;10;1;85.93
1987-11-01 00:00:00;1987;11;1;237.19
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;0.0
1988-02-01 00:00:00;1988;2;1;0.0
1988-03-01 00:00:00;1988;3;1;14.39
1988-04-01 00:00:00;1988;4;1;74.21
1988-05-01 00:00:00;1988;5;1;118.25
1988-06-01 00:00:00;1988;6;1;170.84
1988-07-01 00:00:00;1988;7;1;91.13
1988-08-01 00:00:00;1988;8;1;103.68
1988-09-01 00:00:00;1988;9;1;173.68
1988-10-01 00:00:00;1988;10;1;228.98
1988-11-01 00:00:00;1988;11;1;51.37
1988-12-01 00:00:00;1988;12;1;0.0
1989-01-01 00:00:00;1989;1;1;3.81
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;0.0
1989-04-01 00:00:00;1989;4;1;0.0
1989-05-01 00:00:00;1989;5;1;170.1
1989-06-01 00:00:00;1989;6;1;47.89
1989-07-01 00:00:00;1989;7;1;94.52
1989-08-01 00:00:00;1989;8;1;124.42
1989-09-01 00:00:00;1989;9;1;202.84
1989-10-01 00:00:00;1989;10;1;251.24
1989-11-01 00:00:00;1989;11;1;0.0
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;0.0
1990-02-01 00:00:00;1990;2;1;0.0
1990-03-01 00:00:00;1990;3;1;4.65
1990-04-01 00:00:00;1990;4;1;38.43
1990-05-01 00:00:00;1990;5;1;125.28
1990-06-01 00:00:00;1990;6;1;74.19
1990-07-01 00:00:00;1990;7;1;88.86
1990-08-01 00:00:00;1990;8;1;108.0
