Lat:;11.6899342477;lon:;104.13422614;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;0.0
1985-02-01 00:00:00;1985;2;1;57.37
1985-03-01 00:00:00;1985;3;1;6.03
1985-04-01 00:00:00;1985;4;1;284.47
1985-05-01 00:00:00;1985;5;1;348.87
1985-06-01 00:00:00;1985;6;1;164.4
1985-07-01 00:00:00;1985;7;1;156.72
1985-08-01 00:00:00;1985;8;1;59.0
1985-09-01 00:00:00;1985;9;1;357.83
1985-10-01 00:00:00;1985;10;1;128.75
1985-11-01 00:00:00;1985;11;1;99.27
1985-12-01 00:00:00;1985;12;1;0.0
1986-01-01 00:00:00;1986;1;1;9.44
1986-02-01 00:00:00;1986;2;1;5.17
1986-03-01 00:00:00;1986;3;1;0.0
1986-04-01 00:00:00;1986;4;1;104.88
1986-05-01 00:00:00;1986;5;1;103.31
1986-06-01 00:00:00;1986;6;1;118.59
1986-07-01 00:00:00;1986;7;1;96.78
1986-08-01 00:00:00;1986;8;1;80.97
1986-09-01 00:00:00;1986;9;1;256.27
1986-10-01 00:00:00;1986;10;1;207.59
1986-11-01 00:00:00;1986;11;1;211.67
1986-12-01 00:00:00;1986;12;1;68.46
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.56
1987-03-01 00:00:00;1987;3;1;0.0
1987-04-01 00:00:00;1987;4;1;9.44
1987-05-01 00:00:00;1987;5;1;137.94
1987-06-01 00:00:00;1987;6;1;98.71
1987-07-01 00:00:00;1987;7;1;53.63
1987-08-01 00:00:00;1987;8;1;137.93
1987-09-01 00:00:00;1987;9;1;254.41
1987-10-01 00:00:00;1987;10;1;98.51
1987-11-01 00:00:00;1987;11;1;272.83
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;0.0
1988-02-01 00:00:00;1988;2;1;0.0
1988-03-01 00:00:00;1988;3;1;15.93
1988-04-01 00:00:00;1988;4;1;99.54
1988-05-01 00:00:00;1988;5;1;141.2
1988-06-01 00:00:00;1988;6;1;217.13
1988-07-01 00:00:00;1988;7;1;116.32
1988-08-01 00:00:00;1988;8;1;123.29
1988-09-01 00:00:00;1988;9;1;199.59
1988-10-01 00:00:00;1988;10;1;276.35
1988-11-01 00:00:00;1988;11;1;60.14
1988-12-01 00:00:00;1988;12;1;0.0
1989-01-01 00:00:00;1989;1;1;5.06
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;0.0
1989-04-01 00:00:00;1989;4;1;0.0
1989-05-01 00:00:00;1989;5;1;198.31
1989-06-01 00:00:00;1989;6;1;63.61
1989-07-01 00:00:00;1989;7;1;125.58
1989-08-01 00:00:00;1989;8;1;149.9
1989-09-01 00:00:00;1989;9;1;259.48
1989-10-01 00:00:00;1989;10;1;318.32
1989-11-01 00:00:00;1989;11;1;0.0
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;0.0
1990-02-01 00:00:00;1990;2;1;0.0
1990-03-01 00:00:00;1990;3;1;6.18
1990-04-01 00:00:00;1990;4;1;50.21
1990-05-01 00:00:00;1990;5;1;151.82
1990-06-01 00:00:00;1990;6;1;91.07
1990-07-01 00:00:00;1990;7;1;108.46
1990-08-01 00:00:00;1990;8;1;136.16
