Lat:;12.8590034551;lon:;102.617996113;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;0.0
1985-02-01 00:00:00;1985;2;1;89.66
1985-03-01 00:00:00;1985;3;1;47.38
1985-04-01 00:00:00;1985;4;1;124.51
1985-05-01 00:00:00;1985;5;1;207.93
1985-06-01 00:00:00;1985;6;1;90.2
1985-07-01 00:00:00;1985;7;1;202.92
1985-08-01 00:00:00;1985;8;1;124.85
1985-09-01 00:00:00;1985;9;1;329.92
1985-10-01 00:00:00;1985;10;1;197.32
1985-11-01 00:00:00;1985;11;1;71.53
1985-12-01 00:00:00;1985;12;1;0.0
1986-01-01 00:00:00;1986;1;1;0.0
1986-02-01 00:00:00;1986;2;1;10.35
1986-03-01 00:00:00;1986;3;1;30.96
1986-04-01 00:00:00;1986;4;1;36.8
1986-05-01 00:00:00;1986;5;1;77.48
1986-06-01 00:00:00;1986;6;1;112.63
1986-07-01 00:00:00;1986;7;1;127.46
1986-08-01 00:00:00;1986;8;1;221.43
1986-09-01 00:00:00;1986;9;1;212.74
1986-10-01 00:00:00;1986;10;1;176.13
1986-11-01 00:00:00;1986;11;1;31.5
1986-12-01 00:00:00;1986;12;1;0.0
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;43.55
1987-04-01 00:00:00;1987;4;1;56.48
1987-05-01 00:00:00;1987;5;1;58.85
1987-06-01 00:00:00;1987;6;1;107.09
1987-07-01 00:00:00;1987;7;1;60.16
1987-08-01 00:00:00;1987;8;1;185.12
1987-09-01 00:00:00;1987;9;1;228.71
1987-10-01 00:00:00;1987;10;1;100.74
1987-11-01 00:00:00;1987;11;1;369.87
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;0.0
1988-02-01 00:00:00;1988;2;1;0.0
1988-03-01 00:00:00;1988;3;1;17.55
1988-04-01 00:00:00;1988;4;1;194.05
1988-05-01 00:00:00;1988;5;1;95.52
1988-06-01 00:00:00;1988;6;1;0.0
1988-07-01 00:00:00;1988;7;1;147.56
1988-08-01 00:00:00;1988;8;1;139.02
1988-09-01 00:00:00;1988;9;1;172.76
1988-10-01 00:00:00;1988;10;1;288.63
1988-11-01 00:00:00;1988;11;1;0.0
1988-12-01 00:00:00;1988;12;1;0.25
1989-01-01 00:00:00;1989;1;1;0.0
1989-02-01 00:00:00;1989;2;1;10.35
1989-03-01 00:00:00;1989;3;1;52.56
1989-04-01 00:00:00;1989;4;1;69.21
1989-05-01 00:00:00;1989;5;1;185.73
1989-06-01 00:00:00;1989;6;1;68.06
1989-07-01 00:00:00;1989;7;1;91.12
1989-08-01 00:00:00;1989;8;1;360.88
1989-09-01 00:00:00;1989;9;1;246.0
1989-10-01 00:00:00;1989;10;1;164.63
1989-11-01 00:00:00;1989;11;1;54.89
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;8.36
1990-02-01 00:00:00;1990;2;1;66.0
1990-03-01 00:00:00;1990;3;1;11.84
1990-04-01 00:00:00;1990;4;1;63.38
1990-05-01 00:00:00;1990;5;1;81.53
1990-06-01 00:00:00;1990;6;1;164.03
1990-07-01 00:00:00;1990;7;1;172.58
1990-08-01 00:00:00;1990;8;1;99.23
