Lat:;11.3099635417;lon:;105.284348188;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;11.35
1985-02-01 00:00:00;1985;2;1;0.0
1985-03-01 00:00:00;1985;3;1;0.0
1985-04-01 00:00:00;1985;4;1;129.05
1985-05-01 00:00:00;1985;5;1;224.22
1985-06-01 00:00:00;1985;6;1;166.45
1985-07-01 00:00:00;1985;7;1;107.8
1985-08-01 00:00:00;1985;8;1;146.71
1985-09-01 00:00:00;1985;9;1;180.53
1985-10-01 00:00:00;1985;10;1;201.66
1985-11-01 00:00:00;1985;11;1;121.42
1985-12-01 00:00:00;1985;12;1;0.0
1986-01-01 00:00:00;1986;1;1;0.92
1986-02-01 00:00:00;1986;2;1;0.0
1986-03-01 00:00:00;1986;3;1;0.0
1986-04-01 00:00:00;1986;4;1;34.58
1986-05-01 00:00:00;1986;5;1;170.96
1986-06-01 00:00:00;1986;6;1;140.92
1986-07-01 00:00:00;1986;7;1;85.59
1986-08-01 00:00:00;1986;8;1;215.15
1986-09-01 00:00:00;1986;9;1;246.03
1986-10-01 00:00:00;1986;10;1;305.92
1986-11-01 00:00:00;1986;11;1;178.81
1986-12-01 00:00:00;1986;12;1;12.59
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;0.0
1987-04-01 00:00:00;1987;4;1;0.0
1987-05-01 00:00:00;1987;5;1;45.11
1987-06-01 00:00:00;1987;6;1;49.98
1987-07-01 00:00:00;1987;7;1;91.78
1987-08-01 00:00:00;1987;8;1;197.19
1987-09-01 00:00:00;1987;9;1;325.53
1987-10-01 00:00:00;1987;10;1;248.2
1987-11-01 00:00:00;1987;11;1;218.88
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;9.39
1988-02-01 00:00:00;1988;2;1;34.07
1988-03-01 00:00:00;1988;3;1;48.76
1988-04-01 00:00:00;1988;4;1;148.46
1988-05-01 00:00:00;1988;5;1;249.39
1988-06-01 00:00:00;1988;6;1;254.46
1988-07-01 00:00:00;1988;7;1;195.17
1988-08-01 00:00:00;1988;8;1;138.12
1988-09-01 00:00:00;1988;9;1;240.47
1988-10-01 00:00:00;1988;10;1;321.51
1988-11-01 00:00:00;1988;11;1;99.52
1988-12-01 00:00:00;1988;12;1;3.49
1989-01-01 00:00:00;1989;1;1;6.31
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;32.01
1989-04-01 00:00:00;1989;4;1;108.4
1989-05-01 00:00:00;1989;5;1;97.44
1989-06-01 00:00:00;1989;6;1;112.86
1989-07-01 00:00:00;1989;7;1;288.98
1989-08-01 00:00:00;1989;8;1;137.29
1989-09-01 00:00:00;1989;9;1;195.12
1989-10-01 00:00:00;1989;10;1;0.0
1989-11-01 00:00:00;1989;11;1;0.0
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;0.0
1990-02-01 00:00:00;1990;2;1;0.0
1990-03-01 00:00:00;1990;3;1;22.41
1990-04-01 00:00:00;1990;4;1;70.92
1990-05-01 00:00:00;1990;5;1;150.44
1990-06-01 00:00:00;1990;6;1;141.65
1990-07-01 00:00:00;1990;7;1;208.53
1990-08-01 00:00:00;1990;8;1;210.4
1990-09-01 00:00:00;1990;9;1;164.46
1990-10-01 00:00:00;1990;10;1;282.15
1990-11-01 00:00:00;1990;11;1;44.71
1990-12-01 00:00:00;1990;12;1;0.0
1991-01-01 00:00:00;1991;1;1;0.0
1991-02-01 00:00:00;1991;2;1;0.0
1991-03-01 00:00:00;1991;3;1;0.0
1991-04-01 00:00:00;1991;4;1;99.12
1991-05-01 00:00:00;1991;5;1;69.17
1991-06-01 00:00:00;1991;6;1;211.12
1991-07-01 00:00:00;1991;7;1;189.13
1991-08-01 00:00:00;1991;8;1;115.51
1991-09-01 00:00:00;1991;9;1;89.25
1991-10-01 00:00:00;1991;10;1;174.82
1991-11-01 00:00:00;1991;11;1;0.0
1991-12-01 00:00:00;1991;12;1;0.0
1992-01-01 00:00:00;1992;1;1;0.0
1992-02-01 00:00:00;1992;2;1;0.52
1992-03-01 00:00:00;1992;3;1;1.86
1992-04-01 00:00:00;1992;4;1;123.38
1992-05-01 00:00:00;1992;5;1;44.4
1992-06-01 00:00:00;1992;6;1;94.9
1992-07-01 00:00:00;1992;7;1;144.94
1992-08-01 00:00:00;1992;8;1;143.51
1992-09-01 00:00:00;1992;9;1;182.6
1992-10-01 00:00:00;1992;10;1;201.34
1992-11-01 00:00:00;1992;11;1;21.89
1992-12-01 00:00:00;1992;12;1;18.79
1993-01-01 00:00:00;1993;1;1;23.95
1993-02-01 00:00:00;1993;2;1;0.0
1993-03-01 00:00:00;1993;3;1;82.79
1993-04-01 00:00:00;1993;4;1;10.22
1993-05-01 00:00:00;1993;5;1;166.63
1993-06-01 00:00:00;1993;6;1;200.81
1993-07-01 00:00:00;1993;7;1;296.51
1993-08-01 00:00:00;1993;8;1;50.59
1993-09-01 00:00:00;1993;9;1;240.31
1993-10-01 00:00:00;1993;10;1;359.7
1993-11-01 00:00:00;1993;11;1;99.04
1993-12-01 00:00:00;1993;12;1;3.14
1994-01-01 00:00:00;1994;1;1;6.3
1994-02-01 00:00:00;1994;2;1;0.0
1994-03-01 00:00:00;1994;3;1;128.44
1994-04-01 00:00:00;1994;4;1;87.23
1994-05-01 00:00:00;1994;5;1;99.84
1994-06-01 00:00:00;1994;6;1;223.3
1994-07-01 00:00:00;1994;7;1;73.4
1994-08-01 00:00:00;1994;8;1;227.85
1994-09-01 00:00:00;1994;9;1;314.06
1994-10-01 00:00:00;1994;10;1;106.04
1994-11-01 00:00:00;1994;11;1;10.88
1994-12-01 00:00:00;1994;12;1;32.9
1995-01-01 00:00:00;1995;1;1;0.0
1995-02-01 00:00:00;1995;2;1;0.0
1995-03-01 00:00:00;1995;3;1;47.7
1995-04-01 00:00:00;1995;4;1;40.25
1995-05-01 00:00:00;1995;5;1;241.91
1995-06-01 00:00:00;1995;6;1;175.39
1995-07-01 00:00:00;1995;7;1;205.43
1995-08-01 00:00:00;1995;8;1;241.02
1995-09-01 00:00:00;1995;9;1;503.49
1995-10-01 00:00:00;1995;10;1;321.89
1995-11-01 00:00:00;1995;11;1;115.83
1995-12-01 00:00:00;1995;12;1;20.85
1996-01-01 00:00:00;1996;1;1;52.86
1996-02-01 00:00:00;1996;2;1;2.06
1996-03-01 00:00:00;1996;3;1;0.0
1996-04-01 00:00:00;1996;4;1;139.52
1996-05-01 00:00:00;1996;5;1;119.22
1996-06-01 00:00:00;1996;6;1;279.24
1996-07-01 00:00:00;1996;7;1;300.33
1996-08-01 00:00:00;1996;8;1;147.79
1996-09-01 00:00:00;1996;9;1;291.62
1996-10-01 00:00:00;1996;10;1;419.11
