Lat:;12.2715123347;lon:;103.715699139;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;25.7
1985-02-01 00:00:00;1985;2;1;18.09
1985-03-01 00:00:00;1985;3;1;33.8
1985-04-01 00:00:00;1985;4;1;99.24
1985-05-01 00:00:00;1985;5;1;301.79
1985-06-01 00:00:00;1985;6;1;55.22
1985-07-01 00:00:00;1985;7;1;171.41
1985-08-01 00:00:00;1985;8;1;49.44
1985-09-01 00:00:00;1985;9;1;280.64
1985-10-01 00:00:00;1985;10;1;107.23
1985-11-01 00:00:00;1985;11;1;313.05
1985-12-01 00:00:00;1985;12;1;21.78
1986-01-01 00:00:00;1986;1;1;0.0
1986-02-01 00:00:00;1986;2;1;0.0
1986-03-01 00:00:00;1986;3;1;4.76
1986-04-01 00:00:00;1986;4;1;18.46
1986-05-01 00:00:00;1986;5;1;89.46
1986-06-01 00:00:00;1986;6;1;138.89
1986-07-01 00:00:00;1986;7;1;96.05
1986-08-01 00:00:00;1986;8;1;219.24
1986-09-01 00:00:00;1986;9;1;165.39
1986-10-01 00:00:00;1986;10;1;120.48
1986-11-01 00:00:00;1986;11;1;49.98
1986-12-01 00:00:00;1986;12;1;42.65
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;17.61
1987-04-01 00:00:00;1987;4;1;34.84
1987-05-01 00:00:00;1987;5;1;174.85
1987-06-01 00:00:00;1987;6;1;130.91
1987-07-01 00:00:00;1987;7;1;146.48
1987-08-01 00:00:00;1987;8;1;126.26
1987-09-01 00:00:00;1987;9;1;312.04
1987-10-01 00:00:00;1987;10;1;120.7
1987-11-01 00:00:00;1987;11;1;317.45
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;1.13
1988-02-01 00:00:00;1988;2;1;0.0
1988-03-01 00:00:00;1988;3;1;0.57
1988-04-01 00:00:00;1988;4;1;124.7
1988-05-01 00:00:00;1988;5;1;221.61
1988-06-01 00:00:00;1988;6;1;290.44
1988-07-01 00:00:00;1988;7;1;209.56
1988-08-01 00:00:00;1988;8;1;411.12
1988-09-01 00:00:00;1988;9;1;138.32
1988-10-01 00:00:00;1988;10;1;355.81
1988-11-01 00:00:00;1988;11;1;79.34
1988-12-01 00:00:00;1988;12;1;2.5
1989-01-01 00:00:00;1989;1;1;7.71
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;85.34
1989-04-01 00:00:00;1989;4;1;94.3
1989-05-01 00:00:00;1989;5;1;215.22
1989-06-01 00:00:00;1989;6;1;78.68
1989-07-01 00:00:00;1989;7;1;175.41
1989-08-01 00:00:00;1989;8;1;397.92
1989-09-01 00:00:00;1989;9;1;319.76
1989-10-01 00:00:00;1989;10;1;103.44
1989-11-01 00:00:00;1989;11;1;99.74
1989-12-01 00:00:00;1989;12;1;0.0
