Lat:;11.6590800954;lon:;105.229966282;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;11.46
1985-02-01 00:00:00;1985;2;1;0.0
1985-03-01 00:00:00;1985;3;1;0.0
1985-04-01 00:00:00;1985;4;1;130.33
1985-05-01 00:00:00;1985;5;1;226.43
1985-06-01 00:00:00;1985;6;1;168.11
1985-07-01 00:00:00;1985;7;1;108.85
1985-08-01 00:00:00;1985;8;1;148.17
1985-09-01 00:00:00;1985;9;1;182.32
1985-10-01 00:00:00;1985;10;1;203.7
1985-11-01 00:00:00;1985;11;1;122.59
1985-12-01 00:00:00;1985;12;1;0.0
1986-01-01 00:00:00;1986;1;1;0.94
1986-02-01 00:00:00;1986;2;1;0.0
1986-03-01 00:00:00;1986;3;1;0.0
1986-04-01 00:00:00;1986;4;1;34.93
1986-05-01 00:00:00;1986;5;1;172.64
1986-06-01 00:00:00;1986;6;1;142.31
1986-07-01 00:00:00;1986;7;1;86.45
1986-08-01 00:00:00;1986;8;1;217.29
1986-09-01 00:00:00;1986;9;1;248.49
1986-10-01 00:00:00;1986;10;1;308.95
1986-11-01 00:00:00;1986;11;1;180.59
1986-12-01 00:00:00;1986;12;1;12.72
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;0.0
1987-04-01 00:00:00;1987;4;1;0.0
1987-05-01 00:00:00;1987;5;1;45.55
1987-06-01 00:00:00;1987;6;1;50.48
1987-07-01 00:00:00;1987;7;1;92.67
1987-08-01 00:00:00;1987;8;1;199.13
1987-09-01 00:00:00;1987;9;1;328.75
1987-10-01 00:00:00;1987;10;1;250.65
1987-11-01 00:00:00;1987;11;1;221.04
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;9.49
1988-02-01 00:00:00;1988;2;1;34.4
1988-03-01 00:00:00;1988;3;1;49.24
1988-04-01 00:00:00;1988;4;1;149.94
1988-05-01 00:00:00;1988;5;1;251.87
1988-06-01 00:00:00;1988;6;1;256.96
1988-07-01 00:00:00;1988;7;1;197.09
1988-08-01 00:00:00;1988;8;1;139.51
1988-09-01 00:00:00;1988;9;1;242.8
1988-10-01 00:00:00;1988;10;1;324.68
1988-11-01 00:00:00;1988;11;1;100.48
1988-12-01 00:00:00;1988;12;1;3.52
1989-01-01 00:00:00;1989;1;1;6.38
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;32.33
1989-04-01 00:00:00;1989;4;1;109.47
1989-05-01 00:00:00;1989;5;1;98.41
1989-06-01 00:00:00;1989;6;1;113.96
1989-07-01 00:00:00;1989;7;1;291.83
1989-08-01 00:00:00;1989;8;1;138.66
1989-09-01 00:00:00;1989;9;1;197.08
1989-10-01 00:00:00;1989;10;1;0.0
1989-11-01 00:00:00;1989;11;1;0.0
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;0.0
1990-02-01 00:00:00;1990;2;1;0.0
1990-03-01 00:00:00;1990;3;1;22.63
1990-04-01 00:00:00;1990;4;1;71.64
1990-05-01 00:00:00;1990;5;1;151.92
1990-06-01 00:00:00;1990;6;1;143.05
1990-07-01 00:00:00;1990;7;1;210.61
1990-08-01 00:00:00;1990;8;1;212.49
1990-09-01 00:00:00;1990;9;1;166.07
1990-10-01 00:00:00;1990;10;1;284.95
1990-11-01 00:00:00;1990;11;1;45.14
1990-12-01 00:00:00;1990;12;1;0.0
1991-01-01 00:00:00;1991;1;1;0.0
1991-02-01 00:00:00;1991;2;1;0.0
1991-03-01 00:00:00;1991;3;1;0.0
1991-04-01 00:00:00;1991;4;1;100.09
1991-05-01 00:00:00;1991;5;1;69.86
1991-06-01 00:00:00;1991;6;1;213.22
1991-07-01 00:00:00;1991;7;1;191.02
1991-08-01 00:00:00;1991;8;1;116.68
1991-09-01 00:00:00;1991;9;1;90.16
1991-10-01 00:00:00;1991;10;1;176.57
1991-11-01 00:00:00;1991;11;1;0.0
1991-12-01 00:00:00;1991;12;1;0.0
1992-01-01 00:00:00;1992;1;1;0.0
1992-02-01 00:00:00;1992;2;1;0.52
1992-03-01 00:00:00;1992;3;1;1.87
1992-04-01 00:00:00;1992;4;1;124.59
1992-05-01 00:00:00;1992;5;1;44.83
1992-06-01 00:00:00;1992;6;1;95.82
1992-07-01 00:00:00;1992;7;1;146.39
1992-08-01 00:00:00;1992;8;1;144.95
1992-09-01 00:00:00;1992;9;1;184.39
1992-10-01 00:00:00;1992;10;1;203.35
1992-11-01 00:00:00;1992;11;1;22.11
1992-12-01 00:00:00;1992;12;1;18.97
1993-01-01 00:00:00;1993;1;1;24.18
1993-02-01 00:00:00;1993;2;1;0.0
1993-03-01 00:00:00;1993;3;1;83.62
1993-04-01 00:00:00;1993;4;1;10.32
1993-05-01 00:00:00;1993;5;1;168.27
1993-06-01 00:00:00;1993;6;1;202.79
1993-07-01 00:00:00;1993;7;1;299.46
1993-08-01 00:00:00;1993;8;1;51.08
1993-09-01 00:00:00;1993;9;1;242.71
1993-10-01 00:00:00;1993;10;1;363.26
1993-11-01 00:00:00;1993;11;1;100.06
1993-12-01 00:00:00;1993;12;1;3.18
1994-01-01 00:00:00;1994;1;1;6.36
1994-02-01 00:00:00;1994;2;1;0.0
1994-03-01 00:00:00;1994;3;1;129.71
1994-04-01 00:00:00;1994;4;1;88.1
1994-05-01 00:00:00;1994;5;1;100.82
1994-06-01 00:00:00;1994;6;1;225.53
1994-07-01 00:00:00;1994;7;1;74.12
1994-08-01 00:00:00;1994;8;1;230.1
1994-09-01 00:00:00;1994;9;1;317.18
1994-10-01 00:00:00;1994;10;1;107.08
1994-11-01 00:00:00;1994;11;1;10.98
1994-12-01 00:00:00;1994;12;1;33.22
1995-01-01 00:00:00;1995;1;1;0.0
1995-02-01 00:00:00;1995;2;1;0.0
1995-03-01 00:00:00;1995;3;1;48.19
1995-04-01 00:00:00;1995;4;1;40.67
1995-05-01 00:00:00;1995;5;1;244.32
1995-06-01 00:00:00;1995;6;1;177.16
1995-07-01 00:00:00;1995;7;1;207.47
1995-08-01 00:00:00;1995;8;1;243.41
1995-09-01 00:00:00;1995;9;1;508.52
