Lat:;11.5551049099;lon:;104.942939088;mm/month
datetime;year;month;day;data
1980-01-01 00:00:00;1980;1;1;0.0
1980-02-01 00:00:00;1980;2;1;0.0
1980-03-01 00:00:00;1980;3;1;0.0
1980-04-01 00:00:00;1980;4;1;0.0
1980-05-01 00:00:00;1980;5;1;284.0
1980-06-01 00:00:00;1980;6;1;230.0
1980-07-01 00:00:00;1980;7;1;172.9
1980-08-01 00:00:00;1980;8;1;249.1
1980-09-01 00:00:00;1980;9;1;161.5
1980-10-01 00:00:00;1980;10;1;410.3
1980-11-01 00:00:00;1980;11;1;144.3
1980-12-01 00:00:00;1980;12;1;50.7
1981-01-01 00:00:00;1981;1;1;0.0
1981-02-01 00:00:00;1981;2;1;13.4
1981-03-01 00:00:00;1981;3;1;0.0
1981-04-01 00:00:00;1981;4;1;82.8
1981-05-01 00:00:00;1981;5;1;153.2
1981-06-01 00:00:00;1981;6;1;74.1
1981-07-01 00:00:00;1981;7;1;205.3
1981-08-01 00:00:00;1981;8;1;157.3
1981-09-01 00:00:00;1981;9;1;219.3
1981-10-01 00:00:00;1981;10;1;155.0
1981-11-01 00:00:00;1981;11;1;214.9
1981-12-01 00:00:00;1981;12;1;0.0
1982-01-01 00:00:00;1982;1;1;0.0
1982-02-01 00:00:00;1982;2;1;0.5
1982-03-01 00:00:00;1982;3;1;3.8
1982-04-01 00:00:00;1982;4;1;169.5
1982-05-01 00:00:00;1982;5;1;56.5
1982-06-01 00:00:00;1982;6;1;289.8
1982-07-01 00:00:00;1982;7;1;38.2
1982-08-01 00:00:00;1982;8;1;237.5
1982-09-01 00:00:00;1982;9;1;97.2
1982-10-01 00:00:00;1982;10;1;231.5
1982-11-01 00:00:00;1982;11;1;147.9
1982-12-01 00:00:00;1982;12;1;0.0
1983-01-01 00:00:00;1983;1;1;0.0
1983-02-01 00:00:00;1983;2;1;0.0
1983-03-01 00:00:00;1983;3;1;0.0
1983-04-01 00:00:00;1983;4;1;0.0
1983-05-01 00:00:00;1983;5;1;64.2
1983-06-01 00:00:00;1983;6;1;82.8
1983-07-01 00:00:00;1983;7;1;266.0
1983-08-01 00:00:00;1983;8;1;329.2
1983-09-01 00:00:00;1983;9;1;191.5
1983-10-01 00:00:00;1983;10;1;187.6
1983-11-01 00:00:00;1983;11;1;140.6
1983-12-01 00:00:00;1983;12;1;0.0
1984-01-01 00:00:00;1984;1;1;0.0
1984-02-01 00:00:00;1984;2;1;4.7
1984-03-01 00:00:00;1984;3;1;0.0
1984-04-01 00:00:00;1984;4;1;136.8
1984-05-01 00:00:00;1984;5;1;119.7
1984-06-01 00:00:00;1984;6;1;112.9
1984-07-01 00:00:00;1984;7;1;232.4
1984-08-01 00:00:00;1984;8;1;134.7
1984-09-01 00:00:00;1984;9;1;213.3
1984-10-01 00:00:00;1984;10;1;192.9
1984-11-01 00:00:00;1984;11;1;58.8
1984-12-01 00:00:00;1984;12;1;6.8
1985-01-01 00:00:00;1985;1;1;1.5
1985-02-01 00:00:00;1985;2;1;0.3
1985-03-01 00:00:00;1985;3;1;0.2
1985-04-01 00:00:00;1985;4;1;137.6
1985-05-01 00:00:00;1985;5;1;96.5
1985-06-01 00:00:00;1985;6;1;123.1
1985-07-01 00:00:00;1985;7;1;116.0
1985-08-01 00:00:00;1985;8;1;144.7
1985-09-01 00:00:00;1985;9;1;305.0
1985-10-01 00:00:00;1985;10;1;288.1
1985-11-01 00:00:00;1985;11;1;168.0
1985-12-01 00:00:00;1985;12;1;6.8
1986-01-01 00:00:00;1986;1;1;0.0
1986-02-01 00:00:00;1986;2;1;2.2
1986-03-01 00:00:00;1986;3;1;10.0
1986-04-01 00:00:00;1986;4;1;37.5
1986-05-01 00:00:00;1986;5;1;219.8
1986-06-01 00:00:00;1986;6;1;99.6
1986-07-01 00:00:00;1986;7;1;119.2
1986-08-01 00:00:00;1986;8;1;222.7
1986-09-01 00:00:00;1986;9;1;351.9
1986-10-01 00:00:00;1986;10;1;194.7
1986-11-01 00:00:00;1986;11;1;24.5
1986-12-01 00:00:00;1986;12;1;28.6
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;0.0
1987-04-01 00:00:00;1987;4;1;0.8
1987-05-01 00:00:00;1987;5;1;83.5
1987-06-01 00:00:00;1987;6;1;109.0
1987-07-01 00:00:00;1987;7;1;64.2
1987-08-01 00:00:00;1987;8;1;145.7
1987-09-01 00:00:00;1987;9;1;243.5
1987-10-01 00:00:00;1987;10;1;202.7
