Lat:;11.5537461731;lon:;104.852213482;mm/month
datetime;year;month;day;data
1981-01-01 00:00:00;1981;1;1;0.0
1981-02-01 00:00:00;1981;2;1;3.3
1981-03-01 00:00:00;1981;3;1;0.0
1981-04-01 00:00:00;1981;4;1;45.4
1981-05-01 00:00:00;1981;5;1;143.5
1981-06-01 00:00:00;1981;6;1;70.9
1981-07-01 00:00:00;1981;7;1;224.7
1981-08-01 00:00:00;1981;8;1;124.1
1981-09-01 00:00:00;1981;9;1;238.9
1981-10-01 00:00:00;1981;10;1;153.6
1981-11-01 00:00:00;1981;11;1;262.6
1981-12-01 00:00:00;1981;12;1;0.0
1982-01-01 00:00:00;1982;1;1;0.4
1982-02-01 00:00:00;1982;2;1;0.5
1982-03-01 00:00:00;1982;3;1;14.3
1982-04-01 00:00:00;1982;4;1;181.0
1982-05-01 00:00:00;1982;5;1;180.6
1982-06-01 00:00:00;1982;6;1;175.1
1982-07-01 00:00:00;1982;7;1;75.4
1982-08-01 00:00:00;1982;8;1;154.8
1982-09-01 00:00:00;1982;9;1;246.9
1982-10-01 00:00:00;1982;10;1;229.2
1982-11-01 00:00:00;1982;11;1;107.9
1982-12-01 00:00:00;1982;12;1;0.1
1983-01-01 00:00:00;1983;1;1;0.0
1983-02-01 00:00:00;1983;2;1;0.0
1983-03-01 00:00:00;1983;3;1;0.0
1983-04-01 00:00:00;1983;4;1;0.0
1983-05-01 00:00:00;1983;5;1;47.6
1983-06-01 00:00:00;1983;6;1;55.1
1983-07-01 00:00:00;1983;7;1;162.3
1983-08-01 00:00:00;1983;8;1;319.4
1983-09-01 00:00:00;1983;9;1;174.4
1983-10-01 00:00:00;1983;10;1;203.4
1983-11-01 00:00:00;1983;11;1;155.4
1983-12-01 00:00:00;1983;12;1;3.2
1984-01-01 00:00:00;1984;1;1;1.4
1984-02-01 00:00:00;1984;2;1;1.1
1984-03-01 00:00:00;1984;3;1;0.0
1984-04-01 00:00:00;1984;4;1;129.0
1984-05-01 00:00:00;1984;5;1;62.2
1984-06-01 00:00:00;1984;6;1;140.6
1984-07-01 00:00:00;1984;7;1;129.1
1984-08-01 00:00:00;1984;8;1;91.4
1984-09-01 00:00:00;1984;9;1;270.9
1984-10-01 00:00:00;1984;10;1;300.8
1984-11-01 00:00:00;1984;11;1;47.7
1984-12-01 00:00:00;1984;12;1;4.9
1985-01-01 00:00:00;1985;1;1;0.0
1985-02-01 00:00:00;1985;2;1;1.1
1985-03-01 00:00:00;1985;3;1;0.0
1985-04-01 00:00:00;1985;4;1;114.8
1985-05-01 00:00:00;1985;5;1;118.3
1985-06-01 00:00:00;1985;6;1;104.2
1985-07-01 00:00:00;1985;7;1;117.6
1985-08-01 00:00:00;1985;8;1;92.5
1985-09-01 00:00:00;1985;9;1;283.7
1985-10-01 00:00:00;1985;10;1;259.4
1985-11-01 00:00:00;1985;11;1;190.0
1985-12-01 00:00:00;1985;12;1;0.9
1986-01-01 00:00:00;1986;1;1;0.0
1986-02-01 00:00:00;1986;2;1;4.5
1986-03-01 00:00:00;1986;3;1;0.0
1986-04-01 00:00:00;1986;4;1;53.2
1986-05-01 00:00:00;1986;5;1;149.5
1986-06-01 00:00:00;1986;6;1;91.2
1986-07-01 00:00:00;1986;7;1;161.5
1986-08-01 00:00:00;1986;8;1;243.3
1986-09-01 00:00:00;1986;9;1;254.6
1986-10-01 00:00:00;1986;10;1;260.3
1986-11-01 00:00:00;1986;11;1;109.4
1986-12-01 00:00:00;1986;12;1;23.8
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;0.0
1987-04-01 00:00:00;1987;4;1;0.0
1987-05-01 00:00:00;1987;5;1;24.6
1987-06-01 00:00:00;1987;6;1;150.2
1987-07-01 00:00:00;1987;7;1;127.1
1987-08-01 00:00:00;1987;8;1;194.1
1987-09-01 00:00:00;1987;9;1;473.1
1987-10-01 00:00:00;1987;10;1;242.1
1987-11-01 00:00:00;1987;11;1;320.0
1987-12-01 00:00:00;1987;12;1;20.0
1988-01-01 00:00:00;1988;1;1;0.0
1988-02-01 00:00:00;1988;2;1;22.9
1988-03-01 00:00:00;1988;3;1;0.0
1988-04-01 00:00:00;1988;4;1;90.3
1988-05-01 00:00:00;1988;5;1;98.4
1988-06-01 00:00:00;1988;6;1;163.4
1988-07-01 00:00:00;1988;7;1;163.6
1988-08-01 00:00:00;1988;8;1;177.8
1988-09-01 00:00:00;1988;9;1;437.0
1988-10-01 00:00:00;1988;10;1;145.4
1988-11-01 00:00:00;1988;11;1;71.4
1988-12-01 00:00:00;1988;12;1;0.0
1989-01-01 00:00:00;1989;1;1;0.0
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;54.0
1989-04-01 00:00:00;1989;4;1;63.2
1989-05-01 00:00:00;1989;5;1;183.5
1989-06-01 00:00:00;1989;6;1;38.4
1989-07-01 00:00:00;1989;7;1;86.6
1989-08-01 00:00:00;1989;8;1;91.9
1989-09-01 00:00:00;1989;9;1;395.2
1989-10-01 00:00:00;1989;10;1;332.3
1989-11-01 00:00:00;1989;11;1;107.3
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;0.0
1990-02-01 00:00:00;1990;2;1;0.0
1990-03-01 00:00:00;1990;3;1;0.0
1990-04-01 00:00:00;1990;4;1;22.7
1990-05-01 00:00:00;1990;5;1;230.6
1990-06-01 00:00:00;1990;6;1;63.8
1990-07-01 00:00:00;1990;7;1;166.8
1990-08-01 00:00:00;1990;8;1;174.6
1990-09-01 00:00:00;1990;9;1;242.6
1990-10-01 00:00:00;1990;10;1;101.2
1990-11-01 00:00:00;1990;11;1;139.8
1990-12-01 00:00:00;1990;12;1;0.0
1991-01-01 00:00:00;1991;1;1;0.0
1991-02-01 00:00:00;1991;2;1;0.0
1991-03-01 00:00:00;1991;3;1;0.0
1991-04-01 00:00:00;1991;4;1;83.4
1991-05-01 00:00:00;1991;5;1;44.0
1991-06-01 00:00:00;1991;6;1;293.8
1991-07-01 00:00:00;1991;7;1;303.3
1991-08-01 00:00:00;1991;8;1;192.8
1991-09-01 00:00:00;1991;9;1;122.2
1991-10-01 00:00:00;1991;10;1;210.2
1991-11-01 00:00:00;1991;11;1;2.2
1991-12-01 00:00:00;1991;12;1;1.7
1992-01-01 00:00:00;1992;1;1;3.1
1992-02-01 00:00:00;1992;2;1;2.5
1992-03-01 00:00:00;1992;3;1;0.6
1992-04-01 00:00:00;1992;4;1;35.0
1992-05-01 00:00:00;1992;5;1;85.4
1992-06-01 00:00:00;1992;6;1;121.9
1992-07-01 00:00:00;1992;7;1;219.5
1992-08-01 00:00:00;1992;8;1;198.4
1992-09-01 00:00:00;1992;9;1;204.2
1992-10-01 00:00:00;1992;10;1;209.5
1992-11-01 00:00:00;1992;11;1;10.9
1992-12-01 00:00:00;1992;12;1;3.8
1993-01-01 00:00:00;1993;1;1;0.0
1993-02-01 00:00:00;1993;2;1;0.0
1993-03-01 00:00:00;1993;3;1;0.0
1993-04-01 00:00:00;1993;4;1;0.0
1993-05-01 00:00:00;1993;5;1;47.2
1993-06-01 00:00:00;1993;6;1;55.4
1993-07-01 00:00:00;1993;7;1;162.3
1993-08-01 00:00:00;1993;8;1;319.4
1993-09-01 00:00:00;1993;9;1;174.4
1993-10-01 00:00:00;1993;10;1;203.4
1993-11-01 00:00:00;1993;11;1;155.4
1993-12-01 00:00:00;1993;12;1;3.2
1994-01-01 00:00:00;1994;1;1;0.4
1994-02-01 00:00:00;1994;2;1;0.0
1994-03-01 00:00:00;1994;3;1;164.2
1994-04-01 00:00:00;1994;4;1;61.1
1994-05-01 00:00:00;1994;5;1;157.7
1994-06-01 00:00:00;1994;6;1;71.5
1994-07-01 00:00:00;1994;7;1;127.8
1994-08-01 00:00:00;1994;8;1;156.6
1994-09-01 00:00:00;1994;9;1;314.1
1994-10-01 00:00:00;1994;10;1;146.7
1994-11-01 00:00:00;1994;11;1;0.0
1994-12-01 00:00:00;1994;12;1;23.5
1995-01-01 00:00:00;1995;1;1;0.0
1995-02-01 00:00:00;1995;2;1;0.0
1995-03-01 00:00:00;1995;3;1;18.0
1995-04-01 00:00:00;1995;4;1;40.6
1995-05-01 00:00:00;1995;5;1;263.2
1995-06-01 00:00:00;1995;6;1;171.9
1995-07-01 00:00:00;1995;7;1;154.8
1995-08-01 00:00:00;1995;8;1;209.4
1995-09-01 00:00:00;1995;9;1;278.2
