Lat:;12.9753018636;lon:;104.949166493;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;0.0
1985-02-01 00:00:00;1985;2;1;0.0
1985-03-01 00:00:00;1985;3;1;0.43
1985-04-01 00:00:00;1985;4;1;229.79
1985-05-01 00:00:00;1985;5;1;231.86
1985-06-01 00:00:00;1985;6;1;137.28
1985-07-01 00:00:00;1985;7;1;187.82
1985-08-01 00:00:00;1985;8;1;63.11
1985-09-01 00:00:00;1985;9;1;365.81
1985-10-01 00:00:00;1985;10;1;306.01
1985-11-01 00:00:00;1985;11;1;50.48
1985-12-01 00:00:00;1985;12;1;1.3
1986-01-01 00:00:00;1986;1;1;0.0
1986-02-01 00:00:00;1986;2;1;0.0
1986-03-01 00:00:00;1986;3;1;0.52
1986-04-01 00:00:00;1986;4;1;31.76
1986-05-01 00:00:00;1986;5;1;226.95
1986-06-01 00:00:00;1986;6;1;200.7
1986-07-01 00:00:00;1986;7;1;86.06
1986-08-01 00:00:00;1986;8;1;421.18
1986-09-01 00:00:00;1986;9;1;379.83
1986-10-01 00:00:00;1986;10;1;333.61
1986-11-01 00:00:00;1986;11;1;63.86
1986-12-01 00:00:00;1986;12;1;22.2
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;0.0
1987-04-01 00:00:00;1987;4;1;74.85
1987-05-01 00:00:00;1987;5;1;88.02
1987-06-01 00:00:00;1987;6;1;199.58
1987-07-01 00:00:00;1987;7;1;50.63
1987-08-01 00:00:00;1987;8;1;77.52
1987-09-01 00:00:00;1987;9;1;307.4
1987-10-01 00:00:00;1987;10;1;137.98
1987-11-01 00:00:00;1987;11;1;239.99
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;0.0
1988-02-01 00:00:00;1988;2;1;0.0
1988-03-01 00:00:00;1988;3;1;0.0
1988-04-01 00:00:00;1988;4;1;161.65
1988-05-01 00:00:00;1988;5;1;33.45
1988-06-01 00:00:00;1988;6;1;230.46
1988-07-01 00:00:00;1988;7;1;171.8
1988-08-01 00:00:00;1988;8;1;155.7
1988-09-01 00:00:00;1988;9;1;225.51
1988-10-01 00:00:00;1988;10;1;369.86
1988-11-01 00:00:00;1988;11;1;243.86
1988-12-01 00:00:00;1988;12;1;0.0
1989-01-01 00:00:00;1989;1;1;0.0
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;18.26
1989-04-01 00:00:00;1989;4;1;71.14
1989-05-01 00:00:00;1989;5;1;121.49
1989-06-01 00:00:00;1989;6;1;153.6
1989-07-01 00:00:00;1989;7;1;184.26
1989-08-01 00:00:00;1989;8;1;234.36
1989-09-01 00:00:00;1989;9;1;452.09
1989-10-01 00:00:00;1989;10;1;249.41
1989-11-01 00:00:00;1989;11;1;67.64
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;0.09
1990-02-01 00:00:00;1990;2;1;0.0
1990-03-01 00:00:00;1990;3;1;6.84
1990-04-01 00:00:00;1990;4;1;90.55
1990-05-01 00:00:00;1990;5;1;175.32
1990-06-01 00:00:00;1990;6;1;197.27
1990-07-01 00:00:00;1990;7;1;102.2
1990-08-01 00:00:00;1990;8;1;102.36
