Lat:;12.8718123616;lon:;105.068730156;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;0.0
1985-02-01 00:00:00;1985;2;1;0.0
1985-03-01 00:00:00;1985;3;1;0.44
1985-04-01 00:00:00;1985;4;1;231.91
1985-05-01 00:00:00;1985;5;1;234.01
1985-06-01 00:00:00;1985;6;1;138.56
1985-07-01 00:00:00;1985;7;1;189.56
1985-08-01 00:00:00;1985;8;1;63.71
1985-09-01 00:00:00;1985;9;1;369.19
1985-10-01 00:00:00;1985;10;1;308.83
1985-11-01 00:00:00;1985;11;1;50.96
1985-12-01 00:00:00;1985;12;1;1.31
1986-01-01 00:00:00;1986;1;1;0.0
1986-02-01 00:00:00;1986;2;1;0.0
1986-03-01 00:00:00;1986;3;1;0.52
1986-04-01 00:00:00;1986;4;1;32.06
1986-05-01 00:00:00;1986;5;1;229.03
1986-06-01 00:00:00;1986;6;1;202.58
1986-07-01 00:00:00;1986;7;1;86.85
1986-08-01 00:00:00;1986;8;1;425.09
1986-09-01 00:00:00;1986;9;1;383.37
1986-10-01 00:00:00;1986;10;1;336.69
1986-11-01 00:00:00;1986;11;1;64.45
1986-12-01 00:00:00;1986;12;1;22.41
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;0.0
1987-04-01 00:00:00;1987;4;1;75.56
1987-05-01 00:00:00;1987;5;1;88.83
1987-06-01 00:00:00;1987;6;1;201.42
1987-07-01 00:00:00;1987;7;1;51.1
1987-08-01 00:00:00;1987;8;1;78.24
1987-09-01 00:00:00;1987;9;1;310.24
1987-10-01 00:00:00;1987;10;1;139.28
1987-11-01 00:00:00;1987;11;1;242.2
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;0.0
1988-02-01 00:00:00;1988;2;1;0.0
1988-03-01 00:00:00;1988;3;1;0.0
1988-04-01 00:00:00;1988;4;1;163.15
1988-05-01 00:00:00;1988;5;1;33.76
1988-06-01 00:00:00;1988;6;1;232.6
1988-07-01 00:00:00;1988;7;1;173.37
1988-08-01 00:00:00;1988;8;1;157.16
1988-09-01 00:00:00;1988;9;1;227.61
1988-10-01 00:00:00;1988;10;1;373.3
1988-11-01 00:00:00;1988;11;1;246.13
1988-12-01 00:00:00;1988;12;1;0.0
1989-01-01 00:00:00;1989;1;1;0.0
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;18.43
1989-04-01 00:00:00;1989;4;1;71.8
1989-05-01 00:00:00;1989;5;1;122.63
1989-06-01 00:00:00;1989;6;1;155.02
1989-07-01 00:00:00;1989;7;1;185.95
1989-08-01 00:00:00;1989;8;1;236.52
1989-09-01 00:00:00;1989;9;1;456.26
1989-10-01 00:00:00;1989;10;1;251.72
1989-11-01 00:00:00;1989;11;1;68.27
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;0.09
1990-02-01 00:00:00;1990;2;1;0.0
1990-03-01 00:00:00;1990;3;1;6.9
1990-04-01 00:00:00;1990;4;1;91.38
1990-05-01 00:00:00;1990;5;1;176.95
1990-06-01 00:00:00;1990;6;1;199.09
1990-07-01 00:00:00;1990;7;1;103.17
1990-08-01 00:00:00;1990;8;1;103.31
