Lat:;11.7490722649;lon:;105.03332454;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;0.0
1985-02-01 00:00:00;1985;2;1;0.9
1985-03-01 00:00:00;1985;3;1;0.0
1985-04-01 00:00:00;1985;4;1;106.19
1985-05-01 00:00:00;1985;5;1;105.74
1985-06-01 00:00:00;1985;6;1;95.17
1985-07-01 00:00:00;1985;7;1;111.44
1985-08-01 00:00:00;1985;8;1;82.07
1985-09-01 00:00:00;1985;9;1;272.0
1985-10-01 00:00:00;1985;10;1;239.22
1985-11-01 00:00:00;1985;11;1;182.9
1985-12-01 00:00:00;1985;12;1;0.73
1986-01-01 00:00:00;1986;1;1;0.0
1986-02-01 00:00:00;1986;2;1;3.67
1986-03-01 00:00:00;1986;3;1;0.0
1986-04-01 00:00:00;1986;4;1;44.23
1986-05-01 00:00:00;1986;5;1;140.39
1986-06-01 00:00:00;1986;6;1;83.8
1986-07-01 00:00:00;1986;7;1;145.84
1986-08-01 00:00:00;1986;8;1;233.29
1986-09-01 00:00:00;1986;9;1;238.42
1986-10-01 00:00:00;1986;10;1;255.5
1986-11-01 00:00:00;1986;11;1;101.63
1986-12-01 00:00:00;1986;12;1;20.06
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;0.0
1987-04-01 00:00:00;1987;4;1;0.0
1987-05-01 00:00:00;1987;5;1;21.05
1987-06-01 00:00:00;1987;6;1;130.49
1987-07-01 00:00:00;1987;7;1;112.46
1987-08-01 00:00:00;1987;8;1;177.85
1987-09-01 00:00:00;1987;9;1;443.26
1987-10-01 00:00:00;1987;10;1;223.39
1987-11-01 00:00:00;1987;11;1;301.97
1987-12-01 00:00:00;1987;12;1;16.36
1988-01-01 00:00:00;1988;1;1;0.0
1988-02-01 00:00:00;1988;2;1;18.65
1988-03-01 00:00:00;1988;3;1;0.0
1988-04-01 00:00:00;1988;4;1;79.6
1988-05-01 00:00:00;1988;5;1;87.51
1988-06-01 00:00:00;1988;6;1;153.1
1988-07-01 00:00:00;1988;7;1;151.16
1988-08-01 00:00:00;1988;8;1;162.14
1988-09-01 00:00:00;1988;9;1;409.13
1988-10-01 00:00:00;1988;10;1;138.68
1988-11-01 00:00:00;1988;11;1;68.71
1988-12-01 00:00:00;1988;12;1;0.0
1989-01-01 00:00:00;1989;1;1;0.0
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;44.0
1989-04-01 00:00:00;1989;4;1;55.4
1989-05-01 00:00:00;1989;5;1;177.13
1989-06-01 00:00:00;1989;6;1;33.98
1989-07-01 00:00:00;1989;7;1;81.78
1989-08-01 00:00:00;1989;8;1;87.11
1989-09-01 00:00:00;1989;9;1;368.87
1989-10-01 00:00:00;1989;10;1;319.18
1989-11-01 00:00:00;1989;11;1;99.84
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;0.0
1990-02-01 00:00:00;1990;2;1;0.0
1990-03-01 00:00:00;1990;3;1;0.0
1990-04-01 00:00:00;1990;4;1;20.3
1990-05-01 00:00:00;1990;5;1;217.12
1990-06-01 00:00:00;1990;6;1;56.0
1990-07-01 00:00:00;1990;7;1;156.03
1990-08-01 00:00:00;1990;8;1;158.2
