Lat:;11.2074617568;lon:;104.55744253;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;0.0
1985-02-01 00:00:00;1985;2;1;49.24
1985-03-01 00:00:00;1985;3;1;0.0
1985-04-01 00:00:00;1985;4;1;253.74
1985-05-01 00:00:00;1985;5;1;280.16
1985-06-01 00:00:00;1985;6;1;146.45
1985-07-01 00:00:00;1985;7;1;141.2
1985-08-01 00:00:00;1985;8;1;50.29
1985-09-01 00:00:00;1985;9;1;315.39
1985-10-01 00:00:00;1985;10;1;103.75
1985-11-01 00:00:00;1985;11;1;83.76
1985-12-01 00:00:00;1985;12;1;0.0
1986-01-01 00:00:00;1986;1;1;7.33
1986-02-01 00:00:00;1986;2;1;4.02
1986-03-01 00:00:00;1986;3;1;0.0
1986-04-01 00:00:00;1986;4;1;83.98
1986-05-01 00:00:00;1986;5;1;94.34
1986-06-01 00:00:00;1986;6;1;100.18
1986-07-01 00:00:00;1986;7;1;84.77
1986-08-01 00:00:00;1986;8;1;74.13
1986-09-01 00:00:00;1986;9;1;226.14
1986-10-01 00:00:00;1986;10;1;180.48
1986-11-01 00:00:00;1986;11;1;176.26
1986-12-01 00:00:00;1986;12;1;57.35
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.44
1987-03-01 00:00:00;1987;3;1;0.0
1987-04-01 00:00:00;1987;4;1;8.05
1987-05-01 00:00:00;1987;5;1;114.36
1987-06-01 00:00:00;1987;6;1;80.7
1987-07-01 00:00:00;1987;7;1;44.94
1987-08-01 00:00:00;1987;8;1;115.59
1987-09-01 00:00:00;1987;9;1;216.1
1987-10-01 00:00:00;1987;10;1;88.65
1987-11-01 00:00:00;1987;11;1;244.68
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;0.0
1988-02-01 00:00:00;1988;2;1;0.0
1988-03-01 00:00:00;1988;3;1;14.84
1988-04-01 00:00:00;1988;4;1;76.55
1988-05-01 00:00:00;1988;5;1;121.98
1988-06-01 00:00:00;1988;6;1;176.26
1988-07-01 00:00:00;1988;7;1;94.01
1988-08-01 00:00:00;1988;8;1;106.97
1988-09-01 00:00:00;1988;9;1;179.16
1988-10-01 00:00:00;1988;10;1;236.2
1988-11-01 00:00:00;1988;11;1;52.99
1988-12-01 00:00:00;1988;12;1;0.0
1989-01-01 00:00:00;1989;1;1;3.93
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;0.0
1989-04-01 00:00:00;1989;4;1;0.0
1989-05-01 00:00:00;1989;5;1;175.46
1989-06-01 00:00:00;1989;6;1;49.41
1989-07-01 00:00:00;1989;7;1;97.51
1989-08-01 00:00:00;1989;8;1;128.36
1989-09-01 00:00:00;1989;9;1;209.25
1989-10-01 00:00:00;1989;10;1;259.18
1989-11-01 00:00:00;1989;11;1;0.0
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;0.0
1990-02-01 00:00:00;1990;2;1;0.0
1990-03-01 00:00:00;1990;3;1;4.8
1990-04-01 00:00:00;1990;4;1;39.65
1990-05-01 00:00:00;1990;5;1;129.22
1990-06-01 00:00:00;1990;6;1;76.54
1990-07-01 00:00:00;1990;7;1;91.67
1990-08-01 00:00:00;1990;8;1;111.43
