Lat:;11.4788834117;lon:;104.61305458;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;0.0
1985-02-01 00:00:00;1985;2;1;52.05
1985-03-01 00:00:00;1985;3;1;5.47
1985-04-01 00:00:00;1985;4;1;258.08
1985-05-01 00:00:00;1985;5;1;316.46
1985-06-01 00:00:00;1985;6;1;149.15
1985-07-01 00:00:00;1985;7;1;142.18
1985-08-01 00:00:00;1985;8;1;53.53
1985-09-01 00:00:00;1985;9;1;324.59
1985-10-01 00:00:00;1985;10;1;116.77
1985-11-01 00:00:00;1985;11;1;90.06
1985-12-01 00:00:00;1985;12;1;0.0
1986-01-01 00:00:00;1986;1;1;8.57
1986-02-01 00:00:00;1986;2;1;4.69
1986-03-01 00:00:00;1986;3;1;0.0
1986-04-01 00:00:00;1986;4;1;95.15
1986-05-01 00:00:00;1986;5;1;93.72
1986-06-01 00:00:00;1986;6;1;107.57
1986-07-01 00:00:00;1986;7;1;87.77
1986-08-01 00:00:00;1986;8;1;73.43
1986-09-01 00:00:00;1986;9;1;232.43
1986-10-01 00:00:00;1986;10;1;188.28
1986-11-01 00:00:00;1986;11;1;192.03
1986-12-01 00:00:00;1986;12;1;62.11
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.51
1987-03-01 00:00:00;1987;3;1;0.0
1987-04-01 00:00:00;1987;4;1;8.57
1987-05-01 00:00:00;1987;5;1;125.12
1987-06-01 00:00:00;1987;6;1;89.53
1987-07-01 00:00:00;1987;7;1;48.65
1987-08-01 00:00:00;1987;8;1;125.11
1987-09-01 00:00:00;1987;9;1;230.76
1987-10-01 00:00:00;1987;10;1;89.35
1987-11-01 00:00:00;1987;11;1;247.48
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;0.0
1988-02-01 00:00:00;1988;2;1;0.0
1988-03-01 00:00:00;1988;3;1;14.45
1988-04-01 00:00:00;1988;4;1;90.29
1988-05-01 00:00:00;1988;5;1;128.11
1988-06-01 00:00:00;1988;6;1;196.95
1988-07-01 00:00:00;1988;7;1;105.51
1988-08-01 00:00:00;1988;8;1;111.84
1988-09-01 00:00:00;1988;9;1;181.02
1988-10-01 00:00:00;1988;10;1;250.68
1988-11-01 00:00:00;1988;11;1;54.56
1988-12-01 00:00:00;1988;12;1;0.0
1989-01-01 00:00:00;1989;1;1;4.58
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;0.0
1989-04-01 00:00:00;1989;4;1;0.0
1989-05-01 00:00:00;1989;5;1;179.9
1989-06-01 00:00:00;1989;6;1;57.72
1989-07-01 00:00:00;1989;7;1;113.92
1989-08-01 00:00:00;1989;8;1;135.95
1989-09-01 00:00:00;1989;9;1;235.37
1989-10-01 00:00:00;1989;10;1;288.77
1989-11-01 00:00:00;1989;11;1;0.0
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;0.0
1990-02-01 00:00:00;1990;2;1;0.0
1990-03-01 00:00:00;1990;3;1;5.6
1990-04-01 00:00:00;1990;4;1;45.54
1990-05-01 00:00:00;1990;5;1;137.73
1990-06-01 00:00:00;1990;6;1;82.61
1990-07-01 00:00:00;1990;7;1;98.4
1990-08-01 00:00:00;1990;8;1;123.49
