Lat:;12.7924208174;lon:;104.824004095;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;0.0
1985-02-01 00:00:00;1985;2;1;0.0
1985-03-01 00:00:00;1985;3;1;0.43
1985-04-01 00:00:00;1985;4;1;226.17
1985-05-01 00:00:00;1985;5;1;228.21
1985-06-01 00:00:00;1985;6;1;135.11
1985-07-01 00:00:00;1985;7;1;184.86
1985-08-01 00:00:00;1985;8;1;62.1
1985-09-01 00:00:00;1985;9;1;360.04
1985-10-01 00:00:00;1985;10;1;301.17
1985-11-01 00:00:00;1985;11;1;49.71
1985-12-01 00:00:00;1985;12;1;1.28
1986-01-01 00:00:00;1986;1;1;0.0
1986-02-01 00:00:00;1986;2;1;0.0
1986-03-01 00:00:00;1986;3;1;0.51
1986-04-01 00:00:00;1986;4;1;31.26
1986-05-01 00:00:00;1986;5;1;223.37
1986-06-01 00:00:00;1986;6;1;197.55
1986-07-01 00:00:00;1986;7;1;84.7
1986-08-01 00:00:00;1986;8;1;414.54
1986-09-01 00:00:00;1986;9;1;373.85
1986-10-01 00:00:00;1986;10;1;328.36
1986-11-01 00:00:00;1986;11;1;62.86
1986-12-01 00:00:00;1986;12;1;21.85
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;0.0
1987-04-01 00:00:00;1987;4;1;73.68
1987-05-01 00:00:00;1987;5;1;86.63
1987-06-01 00:00:00;1987;6;1;196.45
1987-07-01 00:00:00;1987;7;1;49.85
1987-08-01 00:00:00;1987;8;1;76.3
1987-09-01 00:00:00;1987;9;1;302.57
1987-10-01 00:00:00;1987;10;1;135.8
1987-11-01 00:00:00;1987;11;1;236.2
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;0.0
1988-02-01 00:00:00;1988;2;1;0.0
1988-03-01 00:00:00;1988;3;1;0.0
1988-04-01 00:00:00;1988;4;1;159.1
1988-05-01 00:00:00;1988;5;1;32.93
1988-06-01 00:00:00;1988;6;1;226.84
1988-07-01 00:00:00;1988;7;1;169.05
1988-08-01 00:00:00;1988;8;1;153.24
1988-09-01 00:00:00;1988;9;1;221.97
1988-10-01 00:00:00;1988;10;1;364.04
1988-11-01 00:00:00;1988;11;1;240.02
1988-12-01 00:00:00;1988;12;1;0.0
1989-01-01 00:00:00;1989;1;1;0.0
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;17.97
1989-04-01 00:00:00;1989;4;1;70.02
1989-05-01 00:00:00;1989;5;1;119.6
1989-06-01 00:00:00;1989;6;1;151.17
1989-07-01 00:00:00;1989;7;1;181.36
1989-08-01 00:00:00;1989;8;1;230.68
1989-09-01 00:00:00;1989;9;1;444.94
1989-10-01 00:00:00;1989;10;1;245.49
1989-11-01 00:00:00;1989;11;1;66.58
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;0.09
1990-02-01 00:00:00;1990;2;1;0.0
1990-03-01 00:00:00;1990;3;1;6.73
1990-04-01 00:00:00;1990;4;1;89.14
1990-05-01 00:00:00;1990;5;1;172.54
1990-06-01 00:00:00;1990;6;1;194.18
1990-07-01 00:00:00;1990;7;1;100.62
1990-08-01 00:00:00;1990;8;1;100.76
