Lat:;12.7784293895;lon:;105.966534355;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;0.74
1985-02-01 00:00:00;1985;2;1;22.68
1985-03-01 00:00:00;1985;3;1;4.85
1985-04-01 00:00:00;1985;4;1;110.21
1985-05-01 00:00:00;1985;5;1;140.56
1985-06-01 00:00:00;1985;6;1;176.99
1985-07-01 00:00:00;1985;7;1;122.3
1985-08-01 00:00:00;1985;8;1;136.62
1985-09-01 00:00:00;1985;9;1;213.55
1985-10-01 00:00:00;1985;10;1;69.8
1985-11-01 00:00:00;1985;11;1;12.62
1985-12-01 00:00:00;1985;12;1;0.25
1986-01-01 00:00:00;1986;1;1;0.0
1986-02-01 00:00:00;1986;2;1;0.66
1986-03-01 00:00:00;1986;3;1;0.0
1986-04-01 00:00:00;1986;4;1;79.52
1986-05-01 00:00:00;1986;5;1;173.59
1986-06-01 00:00:00;1986;6;1;152.19
1986-07-01 00:00:00;1986;7;1;214.12
1986-08-01 00:00:00;1986;8;1;297.71
1986-09-01 00:00:00;1986;9;1;331.65
1986-10-01 00:00:00;1986;10;1;165.52
1986-11-01 00:00:00;1986;11;1;105.89
1986-12-01 00:00:00;1986;12;1;33.26
1987-01-01 00:00:00;1987;1;1;23.1
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;7.42
1987-04-01 00:00:00;1987;4;1;47.83
1987-05-01 00:00:00;1987;5;1;246.48
1987-06-01 00:00:00;1987;6;1;202.93
1987-07-01 00:00:00;1987;7;1;56.91
1987-08-01 00:00:00;1987;8;1;65.17
1987-09-01 00:00:00;1987;9;1;327.64
1987-10-01 00:00:00;1987;10;1;147.82
1987-11-01 00:00:00;1987;11;1;32.17
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;0.0
1988-02-01 00:00:00;1988;2;1;0.0
1988-03-01 00:00:00;1988;3;1;4.12
1988-04-01 00:00:00;1988;4;1;188.24
1988-05-01 00:00:00;1988;5;1;247.96
1988-06-01 00:00:00;1988;6;1;293.81
1988-07-01 00:00:00;1988;7;1;219.58
1988-08-01 00:00:00;1988;8;1;68.96
1988-09-01 00:00:00;1988;9;1;105.58
1988-10-01 00:00:00;1988;10;1;293.66
1988-11-01 00:00:00;1988;11;1;82.47
1988-12-01 00:00:00;1988;12;1;0.0
1989-01-01 00:00:00;1989;1;1;15.67
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;4.13
1989-04-01 00:00:00;1989;4;1;229.48
1989-05-01 00:00:00;1989;5;1;222.87
1989-06-01 00:00:00;1989;6;1;242.51
1989-07-01 00:00:00;1989;7;1;324.5
1989-08-01 00:00:00;1989;8;1;334.75
1989-09-01 00:00:00;1989;9;1;230.46
1989-10-01 00:00:00;1989;10;1;277.49
1989-11-01 00:00:00;1989;11;1;9.9
1989-12-01 00:00:00;1989;12;1;4.96
1990-01-01 00:00:00;1990;1;1;7.42
1990-02-01 00:00:00;1990;2;1;0.0
1990-03-01 00:00:00;1990;3;1;0.0
1990-04-01 00:00:00;1990;4;1;160.03
1990-05-01 00:00:00;1990;5;1;291.17
1990-06-01 00:00:00;1990;6;1;310.97
1990-07-01 00:00:00;1990;7;1;120.11
1990-08-01 00:00:00;1990;8;1;274.85
1990-09-01 00:00:00;1990;9;1;77.2
1990-10-01 00:00:00;1990;10;1;37.94
1990-11-01 00:00:00;1990;11;1;19.61
1990-12-01 00:00:00;1990;12;1;0.0
1991-01-01 00:00:00;1991;1;1;2.47
1991-02-01 00:00:00;1991;2;1;10.7
1991-03-01 00:00:00;1991;3;1;0.0
1991-04-01 00:00:00;1991;4;1;89.9
1991-05-01 00:00:00;1991;5;1;295.79
1991-06-01 00:00:00;1991;6;1;262.14
1991-07-01 00:00:00;1991;7;1;287.39
1991-08-01 00:00:00;1991;8;1;235.25
1991-09-01 00:00:00;1991;9;1;265.94
1991-10-01 00:00:00;1991;10;1;154.59
1991-11-01 00:00:00;1991;11;1;51.94
1991-12-01 00:00:00;1991;12;1;20.62
1992-01-01 00:00:00;1992;1;1;0.24
1992-02-01 00:00:00;1992;2;1;0.0
1992-03-01 00:00:00;1992;3;1;0.0
1992-04-01 00:00:00;1992;4;1;127.66
1992-05-01 00:00:00;1992;5;1;159.29
1992-06-01 00:00:00;1992;6;1;400.79
1992-07-01 00:00:00;1992;7;1;298.14
1992-08-01 00:00:00;1992;8;1;470.2
1992-09-01 00:00:00;1992;9;1;521.08
1992-10-01 00:00:00;1992;10;1;325.82
1992-11-01 00:00:00;1992;11;1;9.98
1992-12-01 00:00:00;1992;12;1;1.49
1993-01-01 00:00:00;1993;1;1;5.26
1993-02-01 00:00:00;1993;2;1;0.0
1993-03-01 00:00:00;1993;3;1;42.99
1993-04-01 00:00:00;1993;4;1;39.34
1993-05-01 00:00:00;1993;5;1;235.99
1993-06-01 00:00:00;1993;6;1;186.27
1993-07-01 00:00:00;1993;7;1;214.77
1993-08-01 00:00:00;1993;8;1;245.61
1993-09-01 00:00:00;1993;9;1;411.31
1993-10-01 00:00:00;1993;10;1;156.1
1993-11-01 00:00:00;1993;11;1;34.4
1993-12-01 00:00:00;1993;12;1;27.88
1994-01-01 00:00:00;1994;1;1;0.0
1994-02-01 00:00:00;1994;2;1;0.0
1994-03-01 00:00:00;1994;3;1;63.08
1994-04-01 00:00:00;1994;4;1;49.85
1994-05-01 00:00:00;1994;5;1;192.45
1994-06-01 00:00:00;1994;6;1;320.81
1994-07-01 00:00:00;1994;7;1;231.19
1994-08-01 00:00:00;1994;8;1;283.54
1994-09-01 00:00:00;1994;9;1;272.08
1994-10-01 00:00:00;1994;10;1;113.97
1994-11-01 00:00:00;1994;11;1;4.95
1994-12-01 00:00:00;1994;12;1;3.79
1995-01-01 00:00:00;1995;1;1;0.0
1995-02-01 00:00:00;1995;2;1;0.0
1995-03-01 00:00:00;1995;3;1;6.6
1995-04-01 00:00:00;1995;4;1;86.45
1995-05-01 00:00:00;1995;5;1;300.12
1995-06-01 00:00:00;1995;6;1;188.4
1995-07-01 00:00:00;1995;7;1;404.86
1995-08-01 00:00:00;1995;8;1;334.74
1995-09-01 00:00:00;1995;9;1;563.42
1995-10-01 00:00:00;1995;10;1;377.27
1995-11-01 00:00:00;1995;11;1;134.45
1995-12-01 00:00:00;1995;12;1;4.95
1996-01-01 00:00:00;1996;1;1;9.73
1996-02-01 00:00:00;1996;2;1;0.0
1996-03-01 00:00:00;1996;3;1;46.56
1996-04-01 00:00:00;1996;4;1;0.0
1996-05-01 00:00:00;1996;5;1;0.0
1996-06-01 00:00:00;1996;6;1;253.69
1996-07-01 00:00:00;1996;7;1;232.43
1996-08-01 00:00:00;1996;8;1;154.46
1996-09-01 00:00:00;1996;9;1;331.79
1996-10-01 00:00:00;1996;10;1;204.12
1996-11-01 00:00:00;1996;11;1;71.6
1996-12-01 00:00:00;1996;12;1;9.24
1997-01-01 00:00:00;1997;1;1;20.46
1997-02-01 00:00:00;1997;2;1;90.55
1997-03-01 00:00:00;1997;3;1;45.73
1997-04-01 00:00:00;1997;4;1;80.75
1997-05-01 00:00:00;1997;5;1;298.73
1997-06-01 00:00:00;1997;6;1;216.82
1997-07-01 00:00:00;1997;7;1;328.99
1997-08-01 00:00:00;1997;8;1;312.07
1997-09-01 00:00:00;1997;9;1;162.92
1997-10-01 00:00:00;1997;10;1;148.5
1997-11-01 00:00:00;1997;11;1;2.87
1997-12-01 00:00:00;1997;12;1;0.0
1998-01-01 00:00:00;1998;1;1;0.0
1998-02-01 00:00:00;1998;2;1;0.0
1998-03-01 00:00:00;1998;3;1;0.0
1998-04-01 00:00:00;1998;4;1;65.36
1998-05-01 00:00:00;1998;5;1;276.83
1998-06-01 00:00:00;1998;6;1;131.02
1998-07-01 00:00:00;1998;7;1;93.61
1998-08-01 00:00:00;1998;8;1;325.72
1998-09-01 00:00:00;1998;9;1;481.72
1998-10-01 00:00:00;1998;10;1;168.23
1998-11-01 00:00:00;1998;11;1;178.78
1998-12-01 00:00:00;1998;12;1;21.02
1999-01-01 00:00:00;1999;1;1;7.06
1999-02-01 00:00:00;1999;2;1;0.0
1999-03-01 00:00:00;1999;3;1;84.55
1999-04-01 00:00:00;1999;4;1;334.14
1999-05-01 00:00:00;1999;5;1;323.97
1999-06-01 00:00:00;1999;6;1;212.15
1999-07-01 00:00:00;1999;7;1;346.53
1999-08-01 00:00:00;1999;8;1;125.37
1999-09-01 00:00:00;1999;9;1;386.34
1999-10-01 00:00:00;1999;10;1;237.58
1999-11-01 00:00:00;1999;11;1;144.47
1999-12-01 00:00:00;1999;12;1;7.1
2000-01-01 00:00:00;2000;1;1;0.0
2000-02-01 00:00:00;2000;2;1;0.0
2000-03-01 00:00:00;2000;3;1;0.0
2000-04-01 00:00:00;2000;4;1;76.55
2000-05-01 00:00:00;2000;5;1;123.56
2000-06-01 00:00:00;2000;6;1;67.63
2000-07-01 00:00:00;2000;7;1;348.95
2000-08-01 00:00:00;2000;8;1;311.0
2000-09-01 00:00:00;2000;9;1;136.0
2000-10-01 00:00:00;2000;10;1;228.0
2000-11-01 00:00:00;2000;11;1;10.0
2000-12-01 00:00:00;2000;12;1;244.0
2001-01-01 00:00:00;2001;1;1;5.0
2001-02-01 00:00:00;2001;2;1;0.0
2001-03-01 00:00:00;2001;3;1;72.6
2001-04-01 00:00:00;2001;4;1;76.0
2001-05-01 00:00:00;2001;5;1;224.0
2001-06-01 00:00:00;2001;6;1;371.0
2001-07-01 00:00:00;2001;7;1;203.0
2001-08-01 00:00:00;2001;8;1;381.0
2001-09-01 00:00:00;2001;9;1;64.5
2001-10-01 00:00:00;2001;10;1;241.0
2001-11-01 00:00:00;2001;11;1;37.0
2001-12-01 00:00:00;2001;12;1;0.0
2002-01-01 00:00:00;2002;1;1;0.0
2002-02-01 00:00:00;2002;2;1;0.0
2002-03-01 00:00:00;2002;3;1;0.0
2002-04-01 00:00:00;2002;4;1;47.41
2002-05-01 00:00:00;2002;5;1;91.98
2002-06-01 00:00:00;2002;6;1;59.21
2002-07-01 00:00:00;2002;7;1;90.7
2002-08-01 00:00:00;2002;8;1;104.65
2002-09-01 00:00:00;2002;9;1;61.05
2002-10-01 00:00:00;2002;10;1;62.71
2002-11-01 00:00:00;2002;11;1;7.95
2002-12-01 00:00:00;2002;12;1;1.59
2003-01-01 00:00:00;2003;1;1;0.0
2003-02-01 00:00:00;2003;2;1;13.0
2003-03-01 00:00:00;2003;3;1;117.0
2003-04-01 00:00:00;2003;4;1;25.0
2003-05-01 00:00:00;2003;5;1;131.0
2003-06-01 00:00:00;2003;6;1;335.0
2003-07-01 00:00:00;2003;7;1;163.0
2003-08-01 00:00:00;2003;8;1;361.0
2003-09-01 00:00:00;2003;9;1;216.0
2003-10-01 00:00:00;2003;10;1;106.0
2003-11-01 00:00:00;2003;11;1;45.0
2003-12-01 00:00:00;2003;12;1;0.0
2004-01-01 00:00:00;2004;1;1;1.38
2004-02-01 00:00:00;2004;2;1;0.0
2004-03-01 00:00:00;2004;3;1;38.8
2004-04-01 00:00:00;2004;4;1;104.64
2004-05-01 00:00:00;2004;5;1;178.44
2004-06-01 00:00:00;2004;6;1;404.61
2004-07-01 00:00:00;2004;7;1;344.64
2004-08-01 00:00:00;2004;8;1;478.9
2004-09-01 00:00:00;2004;9;1;455.58
2004-10-01 00:00:00;2004;10;1;155.11
2004-11-01 00:00:00;2004;11;1;39.33
2004-12-01 00:00:00;2004;12;1;0.0
2005-01-01 00:00:00;2005;1;1;0.0
2005-02-01 00:00:00;2005;2;1;0.0
2005-03-01 00:00:00;2005;3;1;3.55
2005-04-01 00:00:00;2005;4;1;27.62
2005-05-01 00:00:00;2005;5;1;199.74
2005-06-01 00:00:00;2005;6;1;124.7
2005-07-01 00:00:00;2005;7;1;357.34
2005-08-01 00:00:00;2005;8;1;123.09
2005-09-01 00:00:00;2005;9;1;354.76
2005-10-01 00:00:00;2005;10;1;106.38
2005-11-01 00:00:00;2005;11;1;56.67
2005-12-01 00:00:00;2005;12;1;0.0
2006-01-01 00:00:00;2006;1;1;5.0
2006-02-01 00:00:00;2006;2;1;0.0
2006-03-01 00:00:00;2006;3;1;68.7
2006-04-01 00:00:00;2006;4;1;72.0
2006-05-01 00:00:00;2006;5;1;210.0
2006-06-01 00:00:00;2006;6;1;359.0
2006-07-01 00:00:00;2006;7;1;195.0
2006-08-01 00:00:00;2006;8;1;360.0
2006-09-01 00:00:00;2006;9;1;156.0
2006-10-01 00:00:00;2006;10;1;233.0
2006-11-01 00:00:00;2006;11;1;35.0
2006-12-01 00:00:00;2006;12;1;0.0
2007-01-01 00:00:00;2007;1;1;6.0
2007-02-01 00:00:00;2007;2;1;4.0
2007-03-01 00:00:00;2007;3;1;85.7
