Lat:;13.5509207981;lon:;106.095846962;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;0.0
1985-02-01 00:00:00;1985;2;1;0.0
1985-03-01 00:00:00;1985;3;1;0.0
1985-04-01 00:00:00;1985;4;1;175.71
1985-05-01 00:00:00;1985;5;1;352.44
1985-06-01 00:00:00;1985;6;1;105.56
1985-07-01 00:00:00;1985;7;1;353.59
1985-08-01 00:00:00;1985;8;1;100.41
1985-09-01 00:00:00;1985;9;1;618.09
1985-10-01 00:00:00;1985;10;1;154.61
1985-11-01 00:00:00;1985;11;1;138.78
1985-12-01 00:00:00;1985;12;1;21.61
1986-01-01 00:00:00;1986;1;1;0.0
1986-02-01 00:00:00;1986;2;1;0.0
1986-03-01 00:00:00;1986;3;1;51.37
1986-04-01 00:00:00;1986;4;1;159.74
1986-05-01 00:00:00;1986;5;1;153.27
1986-06-01 00:00:00;1986;6;1;305.71
1986-07-01 00:00:00;1986;7;1;38.41
1986-08-01 00:00:00;1986;8;1;198.5
1986-09-01 00:00:00;1986;9;1;161.25
1986-10-01 00:00:00;1986;10;1;461.16
1986-11-01 00:00:00;1986;11;1;16.62
1986-12-01 00:00:00;1986;12;1;0.0
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;0.0
1987-04-01 00:00:00;1987;4;1;20.78
1987-05-01 00:00:00;1987;5;1;206.14
1987-06-01 00:00:00;1987;6;1;57.35
1987-07-01 00:00:00;1987;7;1;215.79
1987-08-01 00:00:00;1987;8;1;341.31
1987-09-01 00:00:00;1987;9;1;390.52
1987-10-01 00:00:00;1987;10;1;184.55
1987-11-01 00:00:00;1987;11;1;0.0
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;0.0
1988-02-01 00:00:00;1988;2;1;0.0
1988-03-01 00:00:00;1988;3;1;0.0
1988-04-01 00:00:00;1988;4;1;19.95
1988-05-01 00:00:00;1988;5;1;231.59
1988-06-01 00:00:00;1988;6;1;372.4
1988-07-01 00:00:00;1988;7;1;318.19
1988-08-01 00:00:00;1988;8;1;261.19
1988-09-01 00:00:00;1988;9;1;203.32
1988-10-01 00:00:00;1988;10;1;438.7
1988-11-01 00:00:00;1988;11;1;59.04
1988-12-01 00:00:00;1988;12;1;0.0
1989-01-01 00:00:00;1989;1;1;0.0
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;0.0
1989-04-01 00:00:00;1989;4;1;4.16
1989-05-01 00:00:00;1989;5;1;308.71
1989-06-01 00:00:00;1989;6;1;241.88
1989-07-01 00:00:00;1989;7;1;325.01
1989-08-01 00:00:00;1989;8;1;284.46
1989-09-01 00:00:00;1989;9;1;715.02
1989-10-01 00:00:00;1989;10;1;161.93
1989-11-01 00:00:00;1989;11;1;5.82
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;0.0
1990-02-01 00:00:00;1990;2;1;0.83
1990-03-01 00:00:00;1990;3;1;38.23
1990-04-01 00:00:00;1990;4;1;32.42
1990-05-01 00:00:00;1990;5;1;257.84
1990-06-01 00:00:00;1990;6;1;369.22
1990-07-01 00:00:00;1990;7;1;351.1
1990-08-01 00:00:00;1990;8;1;318.86
