Lat:;14.118317631;lon:;106.388860225;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;0.0
1985-02-01 00:00:00;1985;2;1;0.0
1985-03-01 00:00:00;1985;3;1;17.06
1985-04-01 00:00:00;1985;4;1;21.8
1985-05-01 00:00:00;1985;5;1;131.78
1985-06-01 00:00:00;1985;6;1;374.76
1985-07-01 00:00:00;1985;7;1;340.95
1985-08-01 00:00:00;1985;8;1;669.57
1985-09-01 00:00:00;1985;9;1;389.31
1985-10-01 00:00:00;1985;10;1;23.69
1985-11-01 00:00:00;1985;11;1;0.0
1985-12-01 00:00:00;1985;12;1;0.0
1986-01-01 00:00:00;1986;1;1;0.0
1986-02-01 00:00:00;1986;2;1;0.0
1986-03-01 00:00:00;1986;3;1;0.0
1986-04-01 00:00:00;1986;4;1;40.76
1986-05-01 00:00:00;1986;5;1;395.31
1986-06-01 00:00:00;1986;6;1;97.64
1986-07-01 00:00:00;1986;7;1;439.23
1986-08-01 00:00:00;1986;8;1;710.83
1986-09-01 00:00:00;1986;9;1;505.73
1986-10-01 00:00:00;1986;10;1;60.99
1986-11-01 00:00:00;1986;11;1;0.0
1986-12-01 00:00:00;1986;12;1;0.0
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;0.0
1987-04-01 00:00:00;1987;4;1;26.54
1987-05-01 00:00:00;1987;5;1;61.62
1987-06-01 00:00:00;1987;6;1;280.76
1987-07-01 00:00:00;1987;7;1;289.91
1987-08-01 00:00:00;1987;8;1;530.86
1987-09-01 00:00:00;1987;9;1;277.95
1987-10-01 00:00:00;1987;10;1;77.57
1987-11-01 00:00:00;1987;11;1;20.85
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;0.0
1988-02-01 00:00:00;1988;2;1;9.0
1988-03-01 00:00:00;1988;3;1;10.33
1988-04-01 00:00:00;1988;4;1;67.05
1988-05-01 00:00:00;1988;5;1;272.33
1988-06-01 00:00:00;1988;6;1;284.55
1988-07-01 00:00:00;1988;7;1;213.78
1988-08-01 00:00:00;1988;8;1;169.76
1988-09-01 00:00:00;1988;9;1;148.16
1988-10-01 00:00:00;1988;10;1;269.33
1988-11-01 00:00:00;1988;11;1;0.1
1988-12-01 00:00:00;1988;12;1;0.0
1989-01-01 00:00:00;1989;1;1;34.98
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;105.98
1989-04-01 00:00:00;1989;4;1;25.58
1989-05-01 00:00:00;1989;5;1;234.09
1989-06-01 00:00:00;1989;6;1;143.96
1989-07-01 00:00:00;1989;7;1;399.48
1989-08-01 00:00:00;1989;8;1;415.48
1989-09-01 00:00:00;1989;9;1;267.33
1989-10-01 00:00:00;1989;10;1;96.21
1989-11-01 00:00:00;1989;11;1;1.62
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;0.0
1990-02-01 00:00:00;1990;2;1;0.0
1990-03-01 00:00:00;1990;3;1;59.82
1990-04-01 00:00:00;1990;4;1;66.15
1990-05-01 00:00:00;1990;5;1;229.41
1990-06-01 00:00:00;1990;6;1;360.18
1990-07-01 00:00:00;1990;7;1;276.67
1990-08-01 00:00:00;1990;8;1;394.41
