Lat:;10.6166642921;lon:;103.483333168;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;4.6
1985-02-01 00:00:00;1985;2;1;14.9
1985-03-01 00:00:00;1985;3;1;34.7
1985-04-01 00:00:00;1985;4;1;28.8
1985-05-01 00:00:00;1985;5;1;263.5
1985-06-01 00:00:00;1985;6;1;0.0
1985-07-01 00:00:00;1985;7;1;554.0
1985-08-01 00:00:00;1985;8;1;227.3
1985-09-01 00:00:00;1985;9;1;609.3
1985-10-01 00:00:00;1985;10;1;468.6
1985-11-01 00:00:00;1985;11;1;413.4
1985-12-01 00:00:00;1985;12;1;0.0
1986-01-01 00:00:00;1986;1;1;0.0
1986-02-01 00:00:00;1986;2;1;59.2
1986-03-01 00:00:00;1986;3;1;0.0
1986-04-01 00:00:00;1986;4;1;58.1
1986-05-01 00:00:00;1986;5;1;523.0
1986-06-01 00:00:00;1986;6;1;560.4
1986-07-01 00:00:00;1986;7;1;785.5
1986-08-01 00:00:00;1986;8;1;1106.424
1986-09-01 00:00:00;1986;9;1;568.581
1986-10-01 00:00:00;1986;10;1;437.028
1986-11-01 00:00:00;1986;11;1;219.8154
1986-12-01 00:00:00;1986;12;1;22.3082
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;12.528
1987-04-01 00:00:00;1987;4;1;139.374
1987-05-01 00:00:00;1987;5;1;718.861
1987-06-01 00:00:00;1987;6;1;191.422
1987-07-01 00:00:00;1987;7;1;159.2808
1987-08-01 00:00:00;1987;8;1;470.9232
1987-09-01 00:00:00;1987;9;1;443.4456
1987-10-01 00:00:00;1987;10;1;303.518
1987-11-01 00:00:00;1987;11;1;451.9392
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;17.215
1988-02-01 00:00:00;1988;2;1;47.4195
1988-03-01 00:00:00;1988;3;1;36.018
1988-04-01 00:00:00;1988;4;1;395.5716
1988-05-01 00:00:00;1988;5;1;333.3187
1988-06-01 00:00:00;1988;6;1;323.3608
1988-07-01 00:00:00;1988;7;1;319.6788
1988-08-01 00:00:00;1988;8;1;167.2704
1988-09-01 00:00:00;1988;9;1;237.4242
1988-10-01 00:00:00;1988;10;1;0.0
1988-11-01 00:00:00;1988;11;1;0.0
1988-12-01 00:00:00;1988;12;1;0.6284
1989-01-01 00:00:00;1989;1;1;18.6235
1989-02-01 00:00:00;1989;2;1;0.313
1989-03-01 00:00:00;1989;3;1;94.1166
1989-04-01 00:00:00;1989;4;1;100.224
