Lat:;11.3275394275;lon:;104.287398214;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;0.0
1985-02-01 00:00:00;1985;2;1;49.97
1985-03-01 00:00:00;1985;3;1;0.0
1985-04-01 00:00:00;1985;4;1;257.53
1985-05-01 00:00:00;1985;5;1;284.33
1985-06-01 00:00:00;1985;6;1;148.63
1985-07-01 00:00:00;1985;7;1;143.32
1985-08-01 00:00:00;1985;8;1;51.03
1985-09-01 00:00:00;1985;9;1;320.1
1985-10-01 00:00:00;1985;10;1;105.32
1985-11-01 00:00:00;1985;11;1;85.01
1985-12-01 00:00:00;1985;12;1;0.0
1986-01-01 00:00:00;1986;1;1;7.44
1986-02-01 00:00:00;1986;2;1;4.08
1986-03-01 00:00:00;1986;3;1;0.0
1986-04-01 00:00:00;1986;4;1;85.22
1986-05-01 00:00:00;1986;5;1;95.72
1986-06-01 00:00:00;1986;6;1;101.66
1986-07-01 00:00:00;1986;7;1;86.04
1986-08-01 00:00:00;1986;8;1;75.22
1986-09-01 00:00:00;1986;9;1;229.52
1986-10-01 00:00:00;1986;10;1;183.14
1986-11-01 00:00:00;1986;11;1;178.86
1986-12-01 00:00:00;1986;12;1;58.21
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.44
1987-03-01 00:00:00;1987;3;1;0.0
1987-04-01 00:00:00;1987;4;1;8.16
1987-05-01 00:00:00;1987;5;1;116.06
1987-06-01 00:00:00;1987;6;1;81.92
1987-07-01 00:00:00;1987;7;1;45.6
1987-08-01 00:00:00;1987;8;1;117.31
1987-09-01 00:00:00;1987;9;1;219.33
1987-10-01 00:00:00;1987;10;1;89.96
1987-11-01 00:00:00;1987;11;1;248.34
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;0.0
1988-02-01 00:00:00;1988;2;1;0.0
1988-03-01 00:00:00;1988;3;1;15.06
1988-04-01 00:00:00;1988;4;1;77.7
1988-05-01 00:00:00;1988;5;1;123.8
1988-06-01 00:00:00;1988;6;1;178.86
1988-07-01 00:00:00;1988;7;1;95.39
1988-08-01 00:00:00;1988;8;1;108.56
1988-09-01 00:00:00;1988;9;1;181.82
1988-10-01 00:00:00;1988;10;1;239.73
1988-11-01 00:00:00;1988;11;1;53.78
1988-12-01 00:00:00;1988;12;1;0.0
1989-01-01 00:00:00;1989;1;1;3.99
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;0.0
1989-04-01 00:00:00;1989;4;1;0.0
1989-05-01 00:00:00;1989;5;1;178.08
1989-06-01 00:00:00;1989;6;1;50.15
1989-07-01 00:00:00;1989;7;1;98.96
1989-08-01 00:00:00;1989;8;1;130.27
1989-09-01 00:00:00;1989;9;1;212.36
1989-10-01 00:00:00;1989;10;1;263.05
1989-11-01 00:00:00;1989;11;1;0.0
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;0.0
1990-02-01 00:00:00;1990;2;1;0.0
1990-03-01 00:00:00;1990;3;1;4.87
1990-04-01 00:00:00;1990;4;1;40.24
1990-05-01 00:00:00;1990;5;1;131.16
1990-06-01 00:00:00;1990;6;1;77.68
1990-07-01 00:00:00;1990;7;1;93.02
1990-08-01 00:00:00;1990;8;1;113.09
