Lat:;13.8295336389;lon:;103.517930124;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;0.0
1985-02-01 00:00:00;1985;2;1;0.0
1985-03-01 00:00:00;1985;3;1;9.84
1985-04-01 00:00:00;1985;4;1;62.85
1985-05-01 00:00:00;1985;5;1;175.61
1985-06-01 00:00:00;1985;6;1;179.51
1985-07-01 00:00:00;1985;7;1;113.52
1985-08-01 00:00:00;1985;8;1;82.52
1985-09-01 00:00:00;1985;9;1;247.03
1985-10-01 00:00:00;1985;10;1;74.49
1985-11-01 00:00:00;1985;11;1;45.67
1985-12-01 00:00:00;1985;12;1;0.0
1986-01-01 00:00:00;1986;1;1;0.0
1986-02-01 00:00:00;1986;2;1;0.0
1986-03-01 00:00:00;1986;3;1;0.0
1986-04-01 00:00:00;1986;4;1;0.0
1986-05-01 00:00:00;1986;5;1;80.49
1986-06-01 00:00:00;1986;6;1;110.16
1986-07-01 00:00:00;1986;7;1;80.28
1986-08-01 00:00:00;1986;8;1;319.35
1986-09-01 00:00:00;1986;9;1;195.52
1986-10-01 00:00:00;1986;10;1;315.76
1986-11-01 00:00:00;1986;11;1;10.53
1986-12-01 00:00:00;1986;12;1;0.0
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;13.35
1987-04-01 00:00:00;1987;4;1;45.77
1987-05-01 00:00:00;1987;5;1;112.46
1987-06-01 00:00:00;1987;6;1;78.48
1987-07-01 00:00:00;1987;7;1;99.02
1987-08-01 00:00:00;1987;8;1;113.06
1987-09-01 00:00:00;1987;9;1;263.92
1987-10-01 00:00:00;1987;10;1;141.16
1987-11-01 00:00:00;1987;11;1;95.75
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;0.0
1988-02-01 00:00:00;1988;2;1;0.0
1988-03-01 00:00:00;1988;3;1;0.69
1988-04-01 00:00:00;1988;4;1;59.99
1988-05-01 00:00:00;1988;5;1;118.26
1988-06-01 00:00:00;1988;6;1;237.27
1988-07-01 00:00:00;1988;7;1;87.58
1988-08-01 00:00:00;1988;8;1;206.37
1988-09-01 00:00:00;1988;9;1;246.8
1988-10-01 00:00:00;1988;10;1;170.52
1988-11-01 00:00:00;1988;11;1;24.64
1988-12-01 00:00:00;1988;12;1;0.0
1989-01-01 00:00:00;1989;1;1;0.38
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;45.62
1989-04-01 00:00:00;1989;4;1;34.42
1989-05-01 00:00:00;1989;5;1;182.17
1989-06-01 00:00:00;1989;6;1;141.97
1989-07-01 00:00:00;1989;7;1;195.7
1989-08-01 00:00:00;1989;8;1;234.59
1989-09-01 00:00:00;1989;9;1;250.09
1989-10-01 00:00:00;1989;10;1;203.03
1989-11-01 00:00:00;1989;11;1;67.13
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;11.44
1990-02-01 00:00:00;1990;2;1;0.0
1990-03-01 00:00:00;1990;3;1;23.24
1990-04-01 00:00:00;1990;4;1;89.95
1990-05-01 00:00:00;1990;5;1;100.13
1990-06-01 00:00:00;1990;6;1;285.23
1990-07-01 00:00:00;1990;7;1;56.62
1990-08-01 00:00:00;1990;8;1;83.11
