Lat:;12.9457308084;lon:;104.567365954;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;0.0
1985-02-01 00:00:00;1985;2;1;0.0
1985-03-01 00:00:00;1985;3;1;0.39
1985-04-01 00:00:00;1985;4;1;206.71
1985-05-01 00:00:00;1985;5;1;208.56
1985-06-01 00:00:00;1985;6;1;123.46
1985-07-01 00:00:00;1985;7;1;168.95
1985-08-01 00:00:00;1985;8;1;56.77
1985-09-01 00:00:00;1985;9;1;329.03
1985-10-01 00:00:00;1985;10;1;275.27
1985-11-01 00:00:00;1985;11;1;45.42
1985-12-01 00:00:00;1985;12;1;1.17
1986-01-01 00:00:00;1986;1;1;0.0
1986-02-01 00:00:00;1986;2;1;0.0
1986-03-01 00:00:00;1986;3;1;0.47
1986-04-01 00:00:00;1986;4;1;28.57
1986-05-01 00:00:00;1986;5;1;204.12
1986-06-01 00:00:00;1986;6;1;180.53
1986-07-01 00:00:00;1986;7;1;77.41
1986-08-01 00:00:00;1986;8;1;378.87
1986-09-01 00:00:00;1986;9;1;341.66
1986-10-01 00:00:00;1986;10;1;300.07
1986-11-01 00:00:00;1986;11;1;57.45
1986-12-01 00:00:00;1986;12;1;19.97
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;0.0
1987-04-01 00:00:00;1987;4;1;67.33
1987-05-01 00:00:00;1987;5;1;79.17
1987-06-01 00:00:00;1987;6;1;179.51
1987-07-01 00:00:00;1987;7;1;45.54
1987-08-01 00:00:00;1987;8;1;69.74
1987-09-01 00:00:00;1987;9;1;276.52
1987-10-01 00:00:00;1987;10;1;124.13
1987-11-01 00:00:00;1987;11;1;215.88
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;0.0
1988-02-01 00:00:00;1988;2;1;0.0
1988-03-01 00:00:00;1988;3;1;0.0
1988-04-01 00:00:00;1988;4;1;145.39
1988-05-01 00:00:00;1988;5;1;30.1
1988-06-01 00:00:00;1988;6;1;207.31
1988-07-01 00:00:00;1988;7;1;154.51
1988-08-01 00:00:00;1988;8;1;140.06
1988-09-01 00:00:00;1988;9;1;202.85
1988-10-01 00:00:00;1988;10;1;332.7
1988-11-01 00:00:00;1988;11;1;219.35
1988-12-01 00:00:00;1988;12;1;0.0
1989-01-01 00:00:00;1989;1;1;0.0
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;16.43
1989-04-01 00:00:00;1989;4;1;63.99
1989-05-01 00:00:00;1989;5;1;109.3
1989-06-01 00:00:00;1989;6;1;138.16
1989-07-01 00:00:00;1989;7;1;165.73
1989-08-01 00:00:00;1989;8;1;210.8
1989-09-01 00:00:00;1989;9;1;406.66
1989-10-01 00:00:00;1989;10;1;224.35
1989-11-01 00:00:00;1989;11;1;60.84
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;0.08
1990-02-01 00:00:00;1990;2;1;0.0
1990-03-01 00:00:00;1990;3;1;6.15
1990-04-01 00:00:00;1990;4;1;81.45
1990-05-01 00:00:00;1990;5;1;157.69
1990-06-01 00:00:00;1990;6;1;177.45
1990-07-01 00:00:00;1990;7;1;91.96
1990-08-01 00:00:00;1990;8;1;92.07
