Lat:;13.5281911945;lon:;105.968930867;mm/month
datetime;year;month;day;data
1980-01-01 00:00:00;1980;1;1;0.0
1980-02-01 00:00:00;1980;2;1;0.0
1980-03-01 00:00:00;1980;3;1;19.0
1980-04-01 00:00:00;1980;4;1;54.0
1980-05-01 00:00:00;1980;5;1;95.0
1980-06-01 00:00:00;1980;6;1;304.0
1980-07-01 00:00:00;1980;7;1;450.0
1980-08-01 00:00:00;1980;8;1;154.0
1980-09-01 00:00:00;1980;9;1;671.0
1980-10-01 00:00:00;1980;10;1;164.0
1980-11-01 00:00:00;1980;11;1;75.0
1980-12-01 00:00:00;1980;12;1;16.0
1981-01-01 00:00:00;1981;1;1;0.0
1981-02-01 00:00:00;1981;2;1;0.0
1981-03-01 00:00:00;1981;3;1;0.0
1981-04-01 00:00:00;1981;4;1;0.0
1981-05-01 00:00:00;1981;5;1;187.0
1981-06-01 00:00:00;1981;6;1;241.0
1981-07-01 00:00:00;1981;7;1;277.0
1981-08-01 00:00:00;1981;8;1;144.0
1981-09-01 00:00:00;1981;9;1;210.0
1981-10-01 00:00:00;1981;10;1;384.0
1981-11-01 00:00:00;1981;11;1;178.0
1981-12-01 00:00:00;1981;12;1;24.0
1982-01-01 00:00:00;1982;1;1;0.0
1982-02-01 00:00:00;1982;2;1;0.0
1982-03-01 00:00:00;1982;3;1;0.0
1982-04-01 00:00:00;1982;4;1;31.0
1982-05-01 00:00:00;1982;5;1;229.0
1982-06-01 00:00:00;1982;6;1;97.0
1982-07-01 00:00:00;1982;7;1;372.0
1982-08-01 00:00:00;1982;8;1;505.0
1982-09-01 00:00:00;1982;9;1;413.0
1982-10-01 00:00:00;1982;10;1;60.0
1982-11-01 00:00:00;1982;11;1;11.0
1982-12-01 00:00:00;1982;12;1;0.0
1983-01-01 00:00:00;1983;1;1;0.0
1983-02-01 00:00:00;1983;2;1;0.0
1983-03-01 00:00:00;1983;3;1;0.0
1983-04-01 00:00:00;1983;4;1;96.0
1983-05-01 00:00:00;1983;5;1;129.0
1983-06-01 00:00:00;1983;6;1;333.0
1983-07-01 00:00:00;1983;7;1;325.0
1983-08-01 00:00:00;1983;8;1;227.0
1983-09-01 00:00:00;1983;9;1;348.0
1983-10-01 00:00:00;1983;10;1;309.0
1983-11-01 00:00:00;1983;11;1;0.0
1983-12-01 00:00:00;1983;12;1;0.0
1984-01-01 00:00:00;1984;1;1;0.0
1984-02-01 00:00:00;1984;2;1;0.0
1984-03-01 00:00:00;1984;3;1;0.0
1984-04-01 00:00:00;1984;4;1;27.0
1984-05-01 00:00:00;1984;5;1;366.0
1984-06-01 00:00:00;1984;6;1;502.0
1984-07-01 00:00:00;1984;7;1;372.0
1984-08-01 00:00:00;1984;8;1;533.0
1984-09-01 00:00:00;1984;9;1;423.0
1984-10-01 00:00:00;1984;10;1;349.0
1984-11-01 00:00:00;1984;11;1;0.0
1984-12-01 00:00:00;1984;12;1;4.0
1985-01-01 00:00:00;1985;1;1;0.0
1985-02-01 00:00:00;1985;2;1;0.0
1985-03-01 00:00:00;1985;3;1;0.0
1985-04-01 00:00:00;1985;4;1;181.0
1985-05-01 00:00:00;1985;5;1;364.0
1985-06-01 00:00:00;1985;6;1;127.0
1985-07-01 00:00:00;1985;7;1;387.0
1985-08-01 00:00:00;1985;8;1;109.0
1985-09-01 00:00:00;1985;9;1;651.0
1985-10-01 00:00:00;1985;10;1;186.0
1985-11-01 00:00:00;1985;11;1;151.0
1985-12-01 00:00:00;1985;12;1;26.0
1986-01-01 00:00:00;1986;1;1;0.0
1986-02-01 00:00:00;1986;2;1;0.0
1986-03-01 00:00:00;1986;3;1;57.0
1986-04-01 00:00:00;1986;4;1;178.0
1986-05-01 00:00:00;1986;5;1;166.0
1986-06-01 00:00:00;1986;6;1;324.0
1986-07-01 00:00:00;1986;7;1;43.0
1986-08-01 00:00:00;1986;8;1;214.0
1986-09-01 00:00:00;1986;9;1;175.0
1986-10-01 00:00:00;1986;10;1;466.0
1986-11-01 00:00:00;1986;11;1;20.0
1986-12-01 00:00:00;1986;12;1;0.0
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;0.0
1987-04-01 00:00:00;1987;4;1;25.0
1987-05-01 00:00:00;1987;5;1;218.0
1987-06-01 00:00:00;1987;6;1;69.0
1987-07-01 00:00:00;1987;7;1;219.0
1987-08-01 00:00:00;1987;8;1;348.0
1987-09-01 00:00:00;1987;9;1;412.0
1987-10-01 00:00:00;1987;10;1;190.0
