Lat:;12.6708941793;lon:;103.641995366;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;23.05
1985-02-01 00:00:00;1985;2;1;16.22
1985-03-01 00:00:00;1985;3;1;30.31
1985-04-01 00:00:00;1985;4;1;88.97
1985-05-01 00:00:00;1985;5;1;270.61
1985-06-01 00:00:00;1985;6;1;49.5
1985-07-01 00:00:00;1985;7;1;153.69
1985-08-01 00:00:00;1985;8;1;44.34
1985-09-01 00:00:00;1985;9;1;251.63
1985-10-01 00:00:00;1985;10;1;96.15
1985-11-01 00:00:00;1985;11;1;280.72
1985-12-01 00:00:00;1985;12;1;19.53
1986-01-01 00:00:00;1986;1;1;0.0
1986-02-01 00:00:00;1986;2;1;0.0
1986-03-01 00:00:00;1986;3;1;4.27
1986-04-01 00:00:00;1986;4;1;16.56
1986-05-01 00:00:00;1986;5;1;80.19
1986-06-01 00:00:00;1986;6;1;124.53
1986-07-01 00:00:00;1986;7;1;86.13
1986-08-01 00:00:00;1986;8;1;196.6
1986-09-01 00:00:00;1986;9;1;148.31
1986-10-01 00:00:00;1986;10;1;108.02
1986-11-01 00:00:00;1986;11;1;44.82
1986-12-01 00:00:00;1986;12;1;38.24
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;15.79
1987-04-01 00:00:00;1987;4;1;31.24
1987-05-01 00:00:00;1987;5;1;156.77
1987-06-01 00:00:00;1987;6;1;117.37
1987-07-01 00:00:00;1987;7;1;131.35
1987-08-01 00:00:00;1987;8;1;113.22
1987-09-01 00:00:00;1987;9;1;279.81
1987-10-01 00:00:00;1987;10;1;108.23
1987-11-01 00:00:00;1987;11;1;284.65
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;1.01
1988-02-01 00:00:00;1988;2;1;0.0
1988-03-01 00:00:00;1988;3;1;0.51
1988-04-01 00:00:00;1988;4;1;111.82
1988-05-01 00:00:00;1988;5;1;198.71
1988-06-01 00:00:00;1988;6;1;260.43
1988-07-01 00:00:00;1988;7;1;187.89
1988-08-01 00:00:00;1988;8;1;368.63
1988-09-01 00:00:00;1988;9;1;124.03
1988-10-01 00:00:00;1988;10;1;319.03
1988-11-01 00:00:00;1988;11;1;71.14
1988-12-01 00:00:00;1988;12;1;2.23
1989-01-01 00:00:00;1989;1;1;6.91
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;76.52
1989-04-01 00:00:00;1989;4;1;84.56
1989-05-01 00:00:00;1989;5;1;192.98
1989-06-01 00:00:00;1989;6;1;70.55
1989-07-01 00:00:00;1989;7;1;157.29
1989-08-01 00:00:00;1989;8;1;356.76
1989-09-01 00:00:00;1989;9;1;286.69
1989-10-01 00:00:00;1989;10;1;92.77
1989-11-01 00:00:00;1989;11;1;89.43
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;0.0
1990-02-01 00:00:00;1990;2;1;0.26
1990-03-01 00:00:00;1990;3;1;77.52
1990-04-01 00:00:00;1990;4;1;81.77
1990-05-01 00:00:00;1990;5;1;84.69
1990-06-01 00:00:00;1990;6;1;78.46
1990-07-01 00:00:00;1990;7;1;173.01
1990-08-01 00:00:00;1990;8;1;192.71
1990-09-01 00:00:00;1990;9;1;215.63
1990-10-01 00:00:00;1990;10;1;218.21
1990-11-01 00:00:00;1990;11;1;0.0
1990-12-01 00:00:00;1990;12;1;0.0
1991-01-01 00:00:00;1991;1;1;0.0
1991-02-01 00:00:00;1991;2;1;0.0
1991-03-01 00:00:00;1991;3;1;1.19
1991-04-01 00:00:00;1991;4;1;26.54
1991-05-01 00:00:00;1991;5;1;157.23
1991-06-01 00:00:00;1991;6;1;121.28
1991-07-01 00:00:00;1991;7;1;215.5
1991-08-01 00:00:00;1991;8;1;148.27
1991-09-01 00:00:00;1991;9;1;273.9
1991-10-01 00:00:00;1991;10;1;209.87
1991-11-01 00:00:00;1991;11;1;5.04
1991-12-01 00:00:00;1991;12;1;0.0
1992-01-01 00:00:00;1992;1;1;4.19
1992-02-01 00:00:00;1992;2;1;1.79
1992-03-01 00:00:00;1992;3;1;0.0
1992-04-01 00:00:00;1992;4;1;28.5
1992-05-01 00:00:00;1992;5;1;52.81
1992-06-01 00:00:00;1992;6;1;147.93
1992-07-01 00:00:00;1992;7;1;119.55
1992-08-01 00:00:00;1992;8;1;280.15
1992-09-01 00:00:00;1992;9;1;218.5
1992-10-01 00:00:00;1992;10;1;176.57
1992-11-01 00:00:00;1992;11;1;41.36
1992-12-01 00:00:00;1992;12;1;9.22
1993-01-01 00:00:00;1993;1;1;31.85
1993-02-01 00:00:00;1993;2;1;0.0
1993-03-01 00:00:00;1993;3;1;53.84
1993-04-01 00:00:00;1993;4;1;64.81
1993-05-01 00:00:00;1993;5;1;83.79
1993-06-01 00:00:00;1993;6;1;232.04
1993-07-01 00:00:00;1993;7;1;141.73
1993-08-01 00:00:00;1993;8;1;54.06
1993-09-01 00:00:00;1993;9;1;248.0
1993-10-01 00:00:00;1993;10;1;4.35
1993-11-01 00:00:00;1993;11;1;0.0
1993-12-01 00:00:00;1993;12;1;0.0
1994-01-01 00:00:00;1994;1;1;0.0
1994-02-01 00:00:00;1994;2;1;2.57
1994-03-01 00:00:00;1994;3;1;149.3
1994-04-01 00:00:00;1994;4;1;7.51
1994-05-01 00:00:00;1994;5;1;158.95
1994-06-01 00:00:00;1994;6;1;222.3
1994-07-01 00:00:00;1994;7;1;68.87
1994-08-01 00:00:00;1994;8;1;269.76
1994-09-01 00:00:00;1994;9;1;290.96
1994-10-01 00:00:00;1994;10;1;152.6
1994-11-01 00:00:00;1994;11;1;13.97
1994-12-01 00:00:00;1994;12;1;0.17
1995-01-01 00:00:00;1995;1;1;0.0
1995-02-01 00:00:00;1995;2;1;21.09
1995-03-01 00:00:00;1995;3;1;30.64
1995-04-01 00:00:00;1995;4;1;64.57
1995-05-01 00:00:00;1995;5;1;216.33
1995-06-01 00:00:00;1995;6;1;163.95
1995-07-01 00:00:00;1995;7;1;265.68
1995-08-01 00:00:00;1995;8;1;228.24
1995-09-01 00:00:00;1995;9;1;409.57
1995-10-01 00:00:00;1995;10;1;394.36
1995-11-01 00:00:00;1995;11;1;172.51
1995-12-01 00:00:00;1995;12;1;28.57
1996-01-01 00:00:00;1996;1;1;0.17
1996-02-01 00:00:00;1996;2;1;8.62
1996-03-01 00:00:00;1996;3;1;1.96
1996-04-01 00:00:00;1996;4;1;189.82
1996-05-01 00:00:00;1996;5;1;253.07
1996-06-01 00:00:00;1996;6;1;130.47
1996-07-01 00:00:00;1996;7;1;127.33
1996-08-01 00:00:00;1996;8;1;129.62
1996-09-01 00:00:00;1996;9;1;220.35
1996-10-01 00:00:00;1996;10;1;550.18
1996-11-01 00:00:00;1996;11;1;130.47
1996-12-01 00:00:00;1996;12;1;28.73
1997-01-01 00:00:00;1997;1;1;5.29
1997-02-01 00:00:00;1997;2;1;17.77
1997-03-01 00:00:00;1997;3;1;14.51
1997-04-01 00:00:00;1997;4;1;122.05
1997-05-01 00:00:00;1997;5;1;100.83
1997-06-01 00:00:00;1997;6;1;161.39
1997-07-01 00:00:00;1997;7;1;180.44
1997-08-01 00:00:00;1997;8;1;276.35
1997-09-01 00:00:00;1997;9;1;262.63
1997-10-01 00:00:00;1997;10;1;181.83
1997-11-01 00:00:00;1997;11;1;7.85
1997-12-01 00:00:00;1997;12;1;0.17
1998-01-01 00:00:00;1998;1;1;0.0
1998-02-01 00:00:00;1998;2;1;30.05
1998-03-01 00:00:00;1998;3;1;0.09
1998-04-01 00:00:00;1998;4;1;55.12
1998-05-01 00:00:00;1998;5;1;36.03
1998-06-01 00:00:00;1998;6;1;189.12
1998-07-01 00:00:00;1998;7;1;105.88
1998-08-01 00:00:00;1998;8;1;187.1
1998-09-01 00:00:00;1998;9;1;274.79
1998-10-01 00:00:00;1998;10;1;175.55
1998-11-01 00:00:00;1998;11;1;143.68
1998-12-01 00:00:00;1998;12;1;9.39
1999-01-01 00:00:00;1999;1;1;28.64
1999-02-01 00:00:00;1999;2;1;0.68
1999-03-01 00:00:00;1999;3;1;18.41
1999-04-01 00:00:00;1999;4;1;173.75
1999-05-01 00:00:00;1999;5;1;256.22
1999-06-01 00:00:00;1999;6;1;119.9
1999-07-01 00:00:00;1999;7;1;118.3
1999-08-01 00:00:00;1999;8;1;123.9
1999-09-01 00:00:00;1999;9;1;101.6
1999-10-01 00:00:00;1999;10;1;132.9
1999-11-01 00:00:00;1999;11;1;225.6
1999-12-01 00:00:00;1999;12;1;25.2
2000-01-01 00:00:00;2000;1;1;0.0
2000-02-01 00:00:00;2000;2;1;0.0
2000-03-01 00:00:00;2000;3;1;28.0
2000-04-01 00:00:00;2000;4;1;96.0
2000-05-01 00:00:00;2000;5;1;197.5
2000-06-01 00:00:00;2000;6;1;137.2
2000-07-01 00:00:00;2000;7;1;196.7
2000-08-01 00:00:00;2000;8;1;73.2
2000-09-01 00:00:00;2000;9;1;161.1
2000-10-01 00:00:00;2000;10;1;290.4
2000-11-01 00:00:00;2000;11;1;26.6
2000-12-01 00:00:00;2000;12;1;0.0
2001-01-01 00:00:00;2001;1;1;0.0
2001-02-01 00:00:00;2001;2;1;0.0
2001-03-01 00:00:00;2001;3;1;118.8
2001-04-01 00:00:00;2001;4;1;53.2
2001-05-01 00:00:00;2001;5;1;137.0
2001-06-01 00:00:00;2001;6;1;75.6
2001-07-01 00:00:00;2001;7;1;146.9
2001-08-01 00:00:00;2001;8;1;111.0
2001-09-01 00:00:00;2001;9;1;29.3
2001-10-01 00:00:00;2001;10;1;356.0
2001-11-01 00:00:00;2001;11;1;94.3
2001-12-01 00:00:00;2001;12;1;6.8
2002-01-01 00:00:00;2002;1;1;0.0
2002-02-01 00:00:00;2002;2;1;0.0
2002-03-01 00:00:00;2002;3;1;18.3
2002-04-01 00:00:00;2002;4;1;104.4
2002-05-01 00:00:00;2002;5;1;40.7
2002-06-01 00:00:00;2002;6;1;75.4
2002-07-01 00:00:00;2002;7;1;51.2
2002-08-01 00:00:00;2002;8;1;107.4
2002-09-01 00:00:00;2002;9;1;73.3
2002-10-01 00:00:00;2002;10;1;475.1
2002-11-01 00:00:00;2002;11;1;82.2
2002-12-01 00:00:00;2002;12;1;40.3
2003-01-01 00:00:00;2003;1;1;0.0
2003-02-01 00:00:00;2003;2;1;3.6
2003-03-01 00:00:00;2003;3;1;24.3
2003-04-01 00:00:00;2003;4;1;33.0
2003-05-01 00:00:00;2003;5;1;96.0
2003-06-01 00:00:00;2003;6;1;33.6
2003-07-01 00:00:00;2003;7;1;138.5
2003-08-01 00:00:00;2003;8;1;78.0
2003-09-01 00:00:00;2003;9;1;174.6
2003-10-01 00:00:00;2003;10;1;249.8
2003-11-01 00:00:00;2003;11;1;37.6
2003-12-01 00:00:00;2003;12;1;0.0
2004-01-01 00:00:00;2004;1;1;0.0
2004-02-01 00:00:00;2004;2;1;0.0
2004-03-01 00:00:00;2004;3;1;71.2
2004-04-01 00:00:00;2004;4;1;50.3
2004-05-01 00:00:00;2004;5;1;115.5
2004-06-01 00:00:00;2004;6;1;120.7
2004-07-01 00:00:00;2004;7;1;133.3
2004-08-01 00:00:00;2004;8;1;142.2
