Lat:;13.5326695415;lon:;104.250481831;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;7.79
1985-02-01 00:00:00;1985;2;1;0.0
1985-03-01 00:00:00;1985;3;1;29.41
1985-04-01 00:00:00;1985;4;1;43.82
1985-05-01 00:00:00;1985;5;1;150.68
1985-06-01 00:00:00;1985;6;1;209.55
1985-07-01 00:00:00;1985;7;1;150.68
1985-08-01 00:00:00;1985;8;1;281.42
1985-09-01 00:00:00;1985;9;1;215.09
1985-10-01 00:00:00;1985;10;1;91.28
1985-11-01 00:00:00;1985;11;1;56.11
1985-12-01 00:00:00;1985;12;1;6.06
1986-01-01 00:00:00;1986;1;1;6.06
1986-02-01 00:00:00;1986;2;1;67.18
1986-03-01 00:00:00;1986;3;1;67.89
1986-04-01 00:00:00;1986;4;1;28.58
1986-05-01 00:00:00;1986;5;1;188.78
1986-06-01 00:00:00;1986;6;1;121.24
1986-07-01 00:00:00;1986;7;1;82.28
1986-08-01 00:00:00;1986;8;1;295.1
1986-09-01 00:00:00;1986;9;1;140.12
1986-10-01 00:00:00;1986;10;1;190.86
1986-11-01 00:00:00;1986;11;1;35.68
1986-12-01 00:00:00;1986;12;1;0.0
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;67.54
1987-04-01 00:00:00;1987;4;1;51.96
1987-05-01 00:00:00;1987;5;1;153.97
1987-06-01 00:00:00;1987;6;1;126.09
1987-07-01 00:00:00;1987;7;1;109.1
1987-08-01 00:00:00;1987;8;1;50.23
1987-09-01 00:00:00;1987;9;1;177.67
1987-10-01 00:00:00;1987;10;1;272.07
1987-11-01 00:00:00;1987;11;1;120.19
1987-12-01 00:00:00;1987;12;1;5.2
1988-01-01 00:00:00;1988;1;1;0.0
1988-02-01 00:00:00;1988;2;1;114.47
1988-03-01 00:00:00;1988;3;1;0.0
1988-04-01 00:00:00;1988;4;1;0.0
1988-05-01 00:00:00;1988;5;1;153.43
1988-06-01 00:00:00;1988;6;1;347.07
1988-07-01 00:00:00;1988;7;1;156.54
1988-08-01 00:00:00;1988;8;1;387.94
1988-09-01 00:00:00;1988;9;1;532.05
1988-10-01 00:00:00;1988;10;1;197.78
1988-11-01 00:00:00;1988;11;1;86.76
1988-12-01 00:00:00;1988;12;1;0.0
1989-01-01 00:00:00;1989;1;1;6.06
1989-02-01 00:00:00;1989;2;1;24.27
1989-03-01 00:00:00;1989;3;1;0.0
1989-04-01 00:00:00;1989;4;1;35.84
1989-05-01 00:00:00;1989;5;1;206.26
