Lat:;11.0808608903;lon:;105.784411792;mm/month
datetime;year;month;day;data
1981-01-01 00:00:00;1981;1;1;0.0
1981-02-01 00:00:00;1981;2;1;0.0
1981-03-01 00:00:00;1981;3;1;19.1
1981-04-01 00:00:00;1981;4;1;38.7
1981-05-01 00:00:00;1981;5;1;41.7
1981-06-01 00:00:00;1981;6;1;94.4
1981-07-01 00:00:00;1981;7;1;277.7
1981-08-01 00:00:00;1981;8;1;156.8
1981-09-01 00:00:00;1981;9;1;177.3
1981-10-01 00:00:00;1981;10;1;182.1
1981-11-01 00:00:00;1981;11;1;100.7
1981-12-01 00:00:00;1981;12;1;15.0
1982-01-01 00:00:00;1982;1;1;0.0
1982-02-01 00:00:00;1982;2;1;0.0
1982-03-01 00:00:00;1982;3;1;15.0
1982-04-01 00:00:00;1982;4;1;460.0
1982-05-01 00:00:00;1982;5;1;130.0
1982-06-01 00:00:00;1982;6;1;371.0
1982-07-01 00:00:00;1982;7;1;116.0
1982-08-01 00:00:00;1982;8;1;267.0
1982-09-01 00:00:00;1982;9;1;269.0
1982-10-01 00:00:00;1982;10;1;491.0
1982-11-01 00:00:00;1982;11;1;192.0
1982-12-01 00:00:00;1982;12;1;9.0
1983-01-01 00:00:00;1983;1;1;0.0
1983-02-01 00:00:00;1983;2;1;0.0
1983-03-01 00:00:00;1983;3;1;0.0
1983-04-01 00:00:00;1983;4;1;44.4
1983-05-01 00:00:00;1983;5;1;156.6
1983-06-01 00:00:00;1983;6;1;125.4
1983-07-01 00:00:00;1983;7;1;236.6
1983-08-01 00:00:00;1983;8;1;593.1
1983-09-01 00:00:00;1983;9;1;253.6
1983-10-01 00:00:00;1983;10;1;305.6
1983-11-01 00:00:00;1983;11;1;279.7
1983-12-01 00:00:00;1983;12;1;0.0
1984-01-01 00:00:00;1984;1;1;16.9
1984-02-01 00:00:00;1984;2;1;0.0
1984-03-01 00:00:00;1984;3;1;13.9
1984-04-01 00:00:00;1984;4;1;139.2
1984-05-01 00:00:00;1984;5;1;151.1
1984-06-01 00:00:00;1984;6;1;230.3
1984-07-01 00:00:00;1984;7;1;68.6
1984-08-01 00:00:00;1984;8;1;93.2
1984-09-01 00:00:00;1984;9;1;380.7
1984-10-01 00:00:00;1984;10;1;232.3
1984-11-01 00:00:00;1984;11;1;42.1
1984-12-01 00:00:00;1984;12;1;56.6
1985-01-01 00:00:00;1985;1;1;0.0
1985-02-01 00:00:00;1985;2;1;5.7
1985-03-01 00:00:00;1985;3;1;0.8
1985-04-01 00:00:00;1985;4;1;402.3
1985-05-01 00:00:00;1985;5;1;150.7
1985-06-01 00:00:00;1985;6;1;209.3
1985-07-01 00:00:00;1985;7;1;274.1
1985-08-01 00:00:00;1985;8;1;58.9
1985-09-01 00:00:00;1985;9;1;322.5
1985-10-01 00:00:00;1985;10;1;287.1
1985-11-01 00:00:00;1985;11;1;172.5
1985-12-01 00:00:00;1985;12;1;15.5
1986-01-01 00:00:00;1986;1;1;0.4
1986-02-01 00:00:00;1986;2;1;18.9
1986-03-01 00:00:00;1986;3;1;21.6
1986-04-01 00:00:00;1986;4;1;53.0
1986-05-01 00:00:00;1986;5;1;192.5
1986-06-01 00:00:00;1986;6;1;155.6
1986-07-01 00:00:00;1986;7;1;355.5
1986-08-01 00:00:00;1986;8;1;245.2
1986-09-01 00:00:00;1986;9;1;396.9
1986-10-01 00:00:00;1986;10;1;272.4
1986-11-01 00:00:00;1986;11;1;122.9
1986-12-01 00:00:00;1986;12;1;33.6
1987-01-01 00:00:00;1987;1;1;0.5
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;0.0
1987-04-01 00:00:00;1987;4;1;51.2
1987-05-01 00:00:00;1987;5;1;26.0
1987-06-01 00:00:00;1987;6;1;208.0
1987-07-01 00:00:00;1987;7;1;47.1
1987-08-01 00:00:00;1987;8;1;112.3
1987-09-01 00:00:00;1987;9;1;485.2
1987-10-01 00:00:00;1987;10;1;453.5
1987-11-01 00:00:00;1987;11;1;292.2
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;9.1
1988-02-01 00:00:00;1988;2;1;33.0
1988-03-01 00:00:00;1988;3;1;49.4
1988-04-01 00:00:00;1988;4;1;142.1
1988-05-01 00:00:00;1988;5;1;223.1
1988-06-01 00:00:00;1988;6;1;246.5
1988-07-01 00:00:00;1988;7;1;189.1
1988-08-01 00:00:00;1988;8;1;133.8
1988-09-01 00:00:00;1988;9;1;232.9
1988-10-01 00:00:00;1988;10;1;263.8
1988-11-01 00:00:00;1988;11;1;96.7
1988-12-01 00:00:00;1988;12;1;3.4
1989-01-01 00:00:00;1989;1;1;18.4
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;149.6
1989-04-01 00:00:00;1989;4;1;69.5
1989-05-01 00:00:00;1989;5;1;104.9
1989-06-01 00:00:00;1989;6;1;107.2
1989-07-01 00:00:00;1989;7;1;175.6
1989-08-01 00:00:00;1989;8;1;230.9
1989-09-01 00:00:00;1989;9;1;253.9
1989-10-01 00:00:00;1989;10;1;389.4
1989-11-01 00:00:00;1989;11;1;216.4
1989-12-01 00:00:00;1989;12;1;2.5
1990-01-01 00:00:00;1990;1;1;0.0
1990-02-01 00:00:00;1990;2;1;21.2
1990-03-01 00:00:00;1990;3;1;3.0
1990-04-01 00:00:00;1990;4;1;109.8
1990-05-01 00:00:00;1990;5;1;96.2
1990-06-01 00:00:00;1990;6;1;183.5
1990-07-01 00:00:00;1990;7;1;226.8
1990-08-01 00:00:00;1990;8;1;134.7
1990-09-01 00:00:00;1990;9;1;293.5
1990-10-01 00:00:00;1990;10;1;479.6
1990-11-01 00:00:00;1990;11;1;99.5
1990-12-01 00:00:00;1990;12;1;24.1
1991-01-01 00:00:00;1991;1;1;0.4
1991-02-01 00:00:00;1991;2;1;0.0
1991-03-01 00:00:00;1991;3;1;0.0
1991-04-01 00:00:00;1991;4;1;98.7
1991-05-01 00:00:00;1991;5;1;102.6
1991-06-01 00:00:00;1991;6;1;204.6
1991-07-01 00:00:00;1991;7;1;192.6
1991-08-01 00:00:00;1991;8;1;146.7
1991-09-01 00:00:00;1991;9;1;240.9
1991-10-01 00:00:00;1991;10;1;324.4
1991-11-01 00:00:00;1991;11;1;15.9
1991-12-01 00:00:00;1991;12;1;20.3
1992-01-01 00:00:00;1992;1;1;17.5
1992-02-01 00:00:00;1992;2;1;2.5
1992-03-01 00:00:00;1992;3;1;0.0
1992-04-01 00:00:00;1992;4;1;47.4
1992-05-01 00:00:00;1992;5;1;157.4
1992-06-01 00:00:00;1992;6;1;277.8
1992-07-01 00:00:00;1992;7;1;137.2
1992-08-01 00:00:00;1992;8;1;258.9
1992-09-01 00:00:00;1992;9;1;205.3
1992-10-01 00:00:00;1992;10;1;181.0
1992-11-01 00:00:00;1992;11;1;79.7
1992-12-01 00:00:00;1992;12;1;18.8
1993-01-01 00:00:00;1993;1;1;1.8
1993-02-01 00:00:00;1993;2;1;0.0
1993-03-01 00:00:00;1993;3;1;20.8
1993-04-01 00:00:00;1993;4;1;62.8
1993-05-01 00:00:00;1993;5;1;127.8
1993-06-01 00:00:00;1993;6;1;211.2
1993-07-01 00:00:00;1993;7;1;280.9
1993-08-01 00:00:00;1993;8;1;123.7
1993-09-01 00:00:00;1993;9;1;297.7
1993-10-01 00:00:00;1993;10;1;528.1
1993-11-01 00:00:00;1993;11;1;127.3
1993-12-01 00:00:00;1993;12;1;2.1
1994-01-01 00:00:00;1994;1;1;8.1
1994-02-01 00:00:00;1994;2;1;0.0
1994-03-01 00:00:00;1994;3;1;45.4
1994-04-01 00:00:00;1994;4;1;86.3
1994-05-01 00:00:00;1994;5;1;175.3
1994-06-01 00:00:00;1994;6;1;304.6
1994-07-01 00:00:00;1994;7;1;90.4
1994-08-01 00:00:00;1994;8;1;115.3
1994-09-01 00:00:00;1994;9;1;596.5
1994-10-01 00:00:00;1994;10;1;161.7
1994-11-01 00:00:00;1994;11;1;48.9
1994-12-01 00:00:00;1994;12;1;41.2
1995-01-01 00:00:00;1995;1;1;0.0
1995-02-01 00:00:00;1995;2;1;0.0
1995-03-01 00:00:00;1995;3;1;46.2
1995-04-01 00:00:00;1995;4;1;39.0
1995-05-01 00:00:00;1995;5;1;234.7
1995-06-01 00:00:00;1995;6;1;170.7
1995-07-01 00:00:00;1995;7;1;198.4
1995-08-01 00:00:00;1995;8;1;232.9
1995-09-01 00:00:00;1995;9;1;487.7
