Lat:;12.5679094258;lon:;105.060777394;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;0.0
1985-02-01 00:00:00;1985;2;1;14.35
1985-03-01 00:00:00;1985;3;1;37.8
1985-04-01 00:00:00;1985;4;1;274.83
1985-05-01 00:00:00;1985;5;1;154.95
1985-06-01 00:00:00;1985;6;1;144.92
1985-07-01 00:00:00;1985;7;1;381.6
1985-08-01 00:00:00;1985;8;1;100.49
1985-09-01 00:00:00;1985;9;1;159.94
1985-10-01 00:00:00;1985;10;1;128.61
1985-11-01 00:00:00;1985;11;1;25.69
1985-12-01 00:00:00;1985;12;1;0.0
1986-01-01 00:00:00;1986;1;1;0.0
1986-02-01 00:00:00;1986;2;1;8.24
1986-03-01 00:00:00;1986;3;1;4.04
1986-04-01 00:00:00;1986;4;1;42.99
1986-05-01 00:00:00;1986;5;1;225.24
1986-06-01 00:00:00;1986;6;1;109.38
1986-07-01 00:00:00;1986;7;1;163.51
1986-08-01 00:00:00;1986;8;1;430.26
1986-09-01 00:00:00;1986;9;1;326.21
1986-10-01 00:00:00;1986;10;1;129.43
1986-11-01 00:00:00;1986;11;1;61.71
1986-12-01 00:00:00;1986;12;1;0.0
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;0.0
1987-04-01 00:00:00;1987;4;1;228.14
1987-05-01 00:00:00;1987;5;1;253.71
1987-06-01 00:00:00;1987;6;1;202.0
1987-07-01 00:00:00;1987;7;1;216.01
1987-08-01 00:00:00;1987;8;1;340.6
1987-09-01 00:00:00;1987;9;1;333.33
1987-10-01 00:00:00;1987;10;1;92.75
1987-11-01 00:00:00;1987;11;1;175.8
1987-12-01 00:00:00;1987;12;1;43.62
1988-01-01 00:00:00;1988;1;1;11.96
1988-02-01 00:00:00;1988;2;1;0.0
1988-03-01 00:00:00;1988;3;1;0.0
1988-04-01 00:00:00;1988;4;1;310.23
1988-05-01 00:00:00;1988;5;1;94.86
1988-06-01 00:00:00;1988;6;1;106.98
1988-07-01 00:00:00;1988;7;1;340.75
1988-08-01 00:00:00;1988;8;1;400.86
1988-09-01 00:00:00;1988;9;1;323.28
1988-10-01 00:00:00;1988;10;1;298.42
1988-11-01 00:00:00;1988;11;1;143.64
1988-12-01 00:00:00;1988;12;1;0.0
1989-01-01 00:00:00;1989;1;1;0.0
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;7.27
1989-04-01 00:00:00;1989;4;1;171.76
1989-05-01 00:00:00;1989;5;1;295.04
1989-06-01 00:00:00;1989;6;1;247.02
1989-07-01 00:00:00;1989;7;1;226.11
1989-08-01 00:00:00;1989;8;1;332.83
1989-09-01 00:00:00;1989;9;1;193.72
1989-10-01 00:00:00;1989;10;1;364.18
1989-11-01 00:00:00;1989;11;1;59.14
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;0.0
1990-02-01 00:00:00;1990;2;1;2.42
1990-03-01 00:00:00;1990;3;1;0.0
1990-04-01 00:00:00;1990;4;1;273.86
1990-05-01 00:00:00;1990;5;1;429.78
1990-06-01 00:00:00;1990;6;1;214.37
1990-07-01 00:00:00;1990;7;1;342.22
1990-08-01 00:00:00;1990;8;1;225.56
