Lat:;11.4399542027;lon:;104.947869726;mm/month
datetime;year;month;day;data
1984-01-01 00:00:00;1984;1;1;0.4
1984-02-01 00:00:00;1984;2;1;16.3
1984-03-01 00:00:00;1984;3;1;0.0
1984-04-01 00:00:00;1984;4;1;99.6
1984-05-01 00:00:00;1984;5;1;97.5
1984-06-01 00:00:00;1984;6;1;160.1
1984-07-01 00:00:00;1984;7;1;117.6
1984-08-01 00:00:00;1984;8;1;102.4
1984-09-01 00:00:00;1984;9;1;191.5
1984-10-01 00:00:00;1984;10;1;132.4
1984-11-01 00:00:00;1984;11;1;88.8
1984-12-01 00:00:00;1984;12;1;0.0
1985-01-01 00:00:00;1985;1;1;0.0
1985-02-01 00:00:00;1985;2;1;1.0
1985-03-01 00:00:00;1985;3;1;0.6
1985-04-01 00:00:00;1985;4;1;142.9
1985-05-01 00:00:00;1985;5;1;157.3
1985-06-01 00:00:00;1985;6;1;65.1
1985-07-01 00:00:00;1985;7;1;115.9
1985-08-01 00:00:00;1985;8;1;105.7
1985-09-01 00:00:00;1985;9;1;344.4
1985-10-01 00:00:00;1985;10;1;209.7
1985-11-01 00:00:00;1985;11;1;103.9
1985-12-01 00:00:00;1985;12;1;4.7
1986-01-01 00:00:00;1986;1;1;0.0
1986-02-01 00:00:00;1986;2;1;1.3
1986-03-01 00:00:00;1986;3;1;0.0
1986-04-01 00:00:00;1986;4;1;41.7
1986-05-01 00:00:00;1986;5;1;219.8
1986-06-01 00:00:00;1986;6;1;137.5
1986-07-01 00:00:00;1986;7;1;144.1
1986-08-01 00:00:00;1986;8;1;199.9
1986-09-01 00:00:00;1986;9;1;234.7
1986-10-01 00:00:00;1986;10;1;228.7
1986-11-01 00:00:00;1986;11;1;26.0
1986-12-01 00:00:00;1986;12;1;57.4
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;0.0
1987-04-01 00:00:00;1987;4;1;0.0
1987-05-01 00:00:00;1987;5;1;69.9
1987-06-01 00:00:00;1987;6;1;111.9
1987-07-01 00:00:00;1987;7;1;131.1
1987-08-01 00:00:00;1987;8;1;144.1
1987-09-01 00:00:00;1987;9;1;146.1
1987-10-01 00:00:00;1987;10;1;151.5
1987-11-01 00:00:00;1987;11;1;258.1
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;0.0
1988-02-01 00:00:00;1988;2;1;2.5
1988-03-01 00:00:00;1988;3;1;56.5
1988-04-01 00:00:00;1988;4;1;126.2
1988-05-01 00:00:00;1988;5;1;143.2
1988-06-01 00:00:00;1988;6;1;316.3
1988-07-01 00:00:00;1988;7;1;174.7
1988-08-01 00:00:00;1988;8;1;104.3
1988-09-01 00:00:00;1988;9;1;233.1
1988-10-01 00:00:00;1988;10;1;154.3
1988-11-01 00:00:00;1988;11;1;52.7
1988-12-01 00:00:00;1988;12;1;0.0
1989-01-01 00:00:00;1989;1;1;29.2
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;152.5
1989-04-01 00:00:00;1989;4;1;19.2
