Lat:;12.5087424442;lon:;103.651377911;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;22.48
1985-02-01 00:00:00;1985;2;1;15.82
1985-03-01 00:00:00;1985;3;1;29.55
1985-04-01 00:00:00;1985;4;1;86.79
1985-05-01 00:00:00;1985;5;1;263.94
1985-06-01 00:00:00;1985;6;1;48.29
1985-07-01 00:00:00;1985;7;1;149.95
1985-08-01 00:00:00;1985;8;1;43.25
1985-09-01 00:00:00;1985;9;1;245.44
1985-10-01 00:00:00;1985;10;1;93.8
1985-11-01 00:00:00;1985;11;1;273.78
1985-12-01 00:00:00;1985;12;1;19.05
1986-01-01 00:00:00;1986;1;1;0.0
1986-02-01 00:00:00;1986;2;1;0.0
1986-03-01 00:00:00;1986;3;1;4.17
1986-04-01 00:00:00;1986;4;1;16.16
1986-05-01 00:00:00;1986;5;1;78.21
1986-06-01 00:00:00;1986;6;1;121.49
1986-07-01 00:00:00;1986;7;1;84.01
1986-08-01 00:00:00;1986;8;1;191.78
1986-09-01 00:00:00;1986;9;1;144.64
1986-10-01 00:00:00;1986;10;1;105.38
1986-11-01 00:00:00;1986;11;1;43.71
1986-12-01 00:00:00;1986;12;1;37.3
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;15.4
1987-04-01 00:00:00;1987;4;1;30.48
1987-05-01 00:00:00;1987;5;1;152.93
1987-06-01 00:00:00;1987;6;1;114.49
1987-07-01 00:00:00;1987;7;1;128.1
1987-08-01 00:00:00;1987;8;1;110.44
1987-09-01 00:00:00;1987;9;1;272.91
1987-10-01 00:00:00;1987;10;1;105.56
1987-11-01 00:00:00;1987;11;1;277.63
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;0.98
1988-02-01 00:00:00;1988;2;1;0.0
1988-03-01 00:00:00;1988;3;1;0.5
1988-04-01 00:00:00;1988;4;1;109.09
1988-05-01 00:00:00;1988;5;1;193.83
1988-06-01 00:00:00;1988;6;1;254.0
1988-07-01 00:00:00;1988;7;1;183.28
1988-08-01 00:00:00;1988;8;1;359.56
1988-09-01 00:00:00;1988;9;1;120.96
1988-10-01 00:00:00;1988;10;1;311.18
1988-11-01 00:00:00;1988;11;1;69.39
1988-12-01 00:00:00;1988;12;1;2.18
1989-01-01 00:00:00;1989;1;1;6.74
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;74.63
1989-04-01 00:00:00;1989;4;1;82.47
1989-05-01 00:00:00;1989;5;1;188.23
1989-06-01 00:00:00;1989;6;1;68.82
1989-07-01 00:00:00;1989;7;1;153.43
1989-08-01 00:00:00;1989;8;1;348.02
1989-09-01 00:00:00;1989;9;1;279.67
1989-10-01 00:00:00;1989;10;1;90.48
1989-11-01 00:00:00;1989;11;1;87.25
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;0.0
1990-02-01 00:00:00;1990;2;1;0.25
1990-03-01 00:00:00;1990;3;1;75.62
1990-04-01 00:00:00;1990;4;1;79.76
1990-05-01 00:00:00;1990;5;1;82.6
1990-06-01 00:00:00;1990;6;1;76.57
1990-07-01 00:00:00;1990;7;1;168.75
1990-08-01 00:00:00;1990;8;1;187.94
1990-09-01 00:00:00;1990;9;1;210.3
1990-10-01 00:00:00;1990;10;1;212.86
1990-11-01 00:00:00;1990;11;1;0.0
1990-12-01 00:00:00;1990;12;1;0.0
1991-01-01 00:00:00;1991;1;1;0.0
1991-02-01 00:00:00;1991;2;1;0.0
1991-03-01 00:00:00;1991;3;1;1.17
1991-04-01 00:00:00;1991;4;1;25.9
1991-05-01 00:00:00;1991;5;1;153.38
1991-06-01 00:00:00;1991;6;1;118.3
1991-07-01 00:00:00;1991;7;1;210.2
1991-08-01 00:00:00;1991;8;1;144.61
1991-09-01 00:00:00;1991;9;1;267.17
1991-10-01 00:00:00;1991;10;1;204.73
1991-11-01 00:00:00;1991;11;1;4.91
1991-12-01 00:00:00;1991;12;1;0.0
1992-01-01 00:00:00;1992;1;1;4.07
1992-02-01 00:00:00;1992;2;1;1.75
1992-03-01 00:00:00;1992;3;1;0.0
1992-04-01 00:00:00;1992;4;1;27.8
1992-05-01 00:00:00;1992;5;1;51.5
1992-06-01 00:00:00;1992;6;1;144.31
1992-07-01 00:00:00;1992;7;1;116.63
