Lat:;13.5449262675;lon:;105.954869103;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;0.0
1985-02-01 00:00:00;1985;2;1;0.0
1985-03-01 00:00:00;1985;3;1;0.0
1985-04-01 00:00:00;1985;4;1;176.16
1985-05-01 00:00:00;1985;5;1;353.31
1985-06-01 00:00:00;1985;6;1;105.83
1985-07-01 00:00:00;1985;7;1;354.47
1985-08-01 00:00:00;1985;8;1;100.65
1985-09-01 00:00:00;1985;9;1;619.63
1985-10-01 00:00:00;1985;10;1;154.99
1985-11-01 00:00:00;1985;11;1;139.15
1985-12-01 00:00:00;1985;12;1;21.66
1986-01-01 00:00:00;1986;1;1;0.0
1986-02-01 00:00:00;1986;2;1;0.0
1986-03-01 00:00:00;1986;3;1;51.5
1986-04-01 00:00:00;1986;4;1;160.15
1986-05-01 00:00:00;1986;5;1;153.65
1986-06-01 00:00:00;1986;6;1;306.51
1986-07-01 00:00:00;1986;7;1;38.49
1986-08-01 00:00:00;1986;8;1;199.0
1986-09-01 00:00:00;1986;9;1;161.65
1986-10-01 00:00:00;1986;10;1;462.31
1986-11-01 00:00:00;1986;11;1;16.66
1986-12-01 00:00:00;1986;12;1;0.0
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;0.0
1987-04-01 00:00:00;1987;4;1;20.83
1987-05-01 00:00:00;1987;5;1;206.67
1987-06-01 00:00:00;1987;6;1;57.49
1987-07-01 00:00:00;1987;7;1;216.33
1987-08-01 00:00:00;1987;8;1;342.15
1987-09-01 00:00:00;1987;9;1;391.47
1987-10-01 00:00:00;1987;10;1;185.0
1987-11-01 00:00:00;1987;11;1;0.0
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;0.0
1988-02-01 00:00:00;1988;2;1;0.0
1988-03-01 00:00:00;1988;3;1;0.0
1988-04-01 00:00:00;1988;4;1;20.0
1988-05-01 00:00:00;1988;5;1;232.14
1988-06-01 00:00:00;1988;6;1;373.31
1988-07-01 00:00:00;1988;7;1;318.97
1988-08-01 00:00:00;1988;8;1;261.81
1988-09-01 00:00:00;1988;9;1;203.84
1988-10-01 00:00:00;1988;10;1;439.8
1988-11-01 00:00:00;1988;11;1;59.15
1988-12-01 00:00:00;1988;12;1;0.0
1989-01-01 00:00:00;1989;1;1;0.0
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;0.0
1989-04-01 00:00:00;1989;4;1;4.17
1989-05-01 00:00:00;1989;5;1;309.48
1989-06-01 00:00:00;1989;6;1;242.52
1989-07-01 00:00:00;1989;7;1;325.81
1989-08-01 00:00:00;1989;8;1;285.15
1989-09-01 00:00:00;1989;9;1;716.78
1989-10-01 00:00:00;1989;10;1;162.31
1989-11-01 00:00:00;1989;11;1;5.83
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;0.0
1990-02-01 00:00:00;1990;2;1;0.83
1990-03-01 00:00:00;1990;3;1;38.33
1990-04-01 00:00:00;1990;4;1;32.5
1990-05-01 00:00:00;1990;5;1;258.48
1990-06-01 00:00:00;1990;6;1;370.14
1990-07-01 00:00:00;1990;7;1;351.96
1990-08-01 00:00:00;1990;8;1;319.64
