Lat:;11.3490990968;lon:;104.526176321;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;0.0
1985-02-01 00:00:00;1985;2;1;47.47
1985-03-01 00:00:00;1985;3;1;0.0
1985-04-01 00:00:00;1985;4;1;244.63
1985-05-01 00:00:00;1985;5;1;270.08
1985-06-01 00:00:00;1985;6;1;141.21
1985-07-01 00:00:00;1985;7;1;136.16
1985-08-01 00:00:00;1985;8;1;48.49
1985-09-01 00:00:00;1985;9;1;304.1
1985-10-01 00:00:00;1985;10;1;100.04
1985-11-01 00:00:00;1985;11;1;80.75
1985-12-01 00:00:00;1985;12;1;0.0
1986-01-01 00:00:00;1986;1;1;7.07
1986-02-01 00:00:00;1986;2;1;3.87
1986-03-01 00:00:00;1986;3;1;0.0
1986-04-01 00:00:00;1986;4;1;80.96
1986-05-01 00:00:00;1986;5;1;90.93
1986-06-01 00:00:00;1986;6;1;96.58
1986-07-01 00:00:00;1986;7;1;81.73
1986-08-01 00:00:00;1986;8;1;71.45
1986-09-01 00:00:00;1986;9;1;218.02
1986-10-01 00:00:00;1986;10;1;174.0
1986-11-01 00:00:00;1986;11;1;169.91
1986-12-01 00:00:00;1986;12;1;55.3
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.42
1987-03-01 00:00:00;1987;3;1;0.0
1987-04-01 00:00:00;1987;4;1;7.75
1987-05-01 00:00:00;1987;5;1;110.25
1987-06-01 00:00:00;1987;6;1;77.82
1987-07-01 00:00:00;1987;7;1;43.33
1987-08-01 00:00:00;1987;8;1;111.42
1987-09-01 00:00:00;1987;9;1;208.34
1987-10-01 00:00:00;1987;10;1;85.42
1987-11-01 00:00:00;1987;11;1;235.89
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;0.0
1988-02-01 00:00:00;1988;2;1;0.0
1988-03-01 00:00:00;1988;3;1;14.31
1988-04-01 00:00:00;1988;4;1;73.81
1988-05-01 00:00:00;1988;5;1;117.6
1988-06-01 00:00:00;1988;6;1;169.92
1988-07-01 00:00:00;1988;7;1;90.62
1988-08-01 00:00:00;1988;8;1;103.12
1988-09-01 00:00:00;1988;9;1;172.74
1988-10-01 00:00:00;1988;10;1;227.72
1988-11-01 00:00:00;1988;11;1;51.08
1988-12-01 00:00:00;1988;12;1;0.0
1989-01-01 00:00:00;1989;1;1;3.79
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;0.0
1989-04-01 00:00:00;1989;4;1;0.0
1989-05-01 00:00:00;1989;5;1;169.18
1989-06-01 00:00:00;1989;6;1;47.62
1989-07-01 00:00:00;1989;7;1;94.0
1989-08-01 00:00:00;1989;8;1;123.74
1989-09-01 00:00:00;1989;9;1;201.75
1989-10-01 00:00:00;1989;10;1;249.87
1989-11-01 00:00:00;1989;11;1;0.0
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;0.0
1990-02-01 00:00:00;1990;2;1;0.0
1990-03-01 00:00:00;1990;3;1;4.63
1990-04-01 00:00:00;1990;4;1;38.23
1990-05-01 00:00:00;1990;5;1;124.59
1990-06-01 00:00:00;1990;6;1;73.79
1990-07-01 00:00:00;1990;7;1;88.35
1990-08-01 00:00:00;1990;8;1;107.4
