Lat:;11.7513027406;lon:;104.436111468;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;0.0
1985-02-01 00:00:00;1985;2;1;55.91
1985-03-01 00:00:00;1985;3;1;5.88
1985-04-01 00:00:00;1985;4;1;277.23
1985-05-01 00:00:00;1985;5;1;339.94
1985-06-01 00:00:00;1985;6;1;160.23
1985-07-01 00:00:00;1985;7;1;152.74
1985-08-01 00:00:00;1985;8;1;57.53
1985-09-01 00:00:00;1985;9;1;348.7
1985-10-01 00:00:00;1985;10;1;125.43
1985-11-01 00:00:00;1985;11;1;96.74
1985-12-01 00:00:00;1985;12;1;0.0
1986-01-01 00:00:00;1986;1;1;9.2
1986-02-01 00:00:00;1986;2;1;5.04
1986-03-01 00:00:00;1986;3;1;0.0
1986-04-01 00:00:00;1986;4;1;102.22
1986-05-01 00:00:00;1986;5;1;100.67
1986-06-01 00:00:00;1986;6;1;115.59
1986-07-01 00:00:00;1986;7;1;94.31
1986-08-01 00:00:00;1986;8;1;78.89
1986-09-01 00:00:00;1986;9;1;249.72
1986-10-01 00:00:00;1986;10;1;202.28
1986-11-01 00:00:00;1986;11;1;206.29
1986-12-01 00:00:00;1986;12;1;66.71
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.55
1987-03-01 00:00:00;1987;3;1;0.0
1987-04-01 00:00:00;1987;4;1;9.2
1987-05-01 00:00:00;1987;5;1;134.45
1987-06-01 00:00:00;1987;6;1;96.2
1987-07-01 00:00:00;1987;7;1;52.26
1987-08-01 00:00:00;1987;8;1;134.44
1987-09-01 00:00:00;1987;9;1;247.92
1987-10-01 00:00:00;1987;10;1;95.99
1987-11-01 00:00:00;1987;11;1;265.85
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;0.0
1988-02-01 00:00:00;1988;2;1;0.0
1988-03-01 00:00:00;1988;3;1;15.52
1988-04-01 00:00:00;1988;4;1;96.98
1988-05-01 00:00:00;1988;5;1;137.61
1988-06-01 00:00:00;1988;6;1;211.59
1988-07-01 00:00:00;1988;7;1;113.38
1988-08-01 00:00:00;1988;8;1;120.16
1988-09-01 00:00:00;1988;9;1;194.47
1988-10-01 00:00:00;1988;10;1;269.3
1988-11-01 00:00:00;1988;11;1;58.61
1988-12-01 00:00:00;1988;12;1;0.0
1989-01-01 00:00:00;1989;1;1;4.93
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;0.0
1989-04-01 00:00:00;1989;4;1;0.0
1989-05-01 00:00:00;1989;5;1;193.24
1989-06-01 00:00:00;1989;6;1;62.01
1989-07-01 00:00:00;1989;7;1;122.36
1989-08-01 00:00:00;1989;8;1;146.09
1989-09-01 00:00:00;1989;9;1;252.88
1989-10-01 00:00:00;1989;10;1;310.2
1989-11-01 00:00:00;1989;11;1;0.0
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;0.0
1990-02-01 00:00:00;1990;2;1;0.0
1990-03-01 00:00:00;1990;3;1;6.02
1990-04-01 00:00:00;1990;4;1;48.93
1990-05-01 00:00:00;1990;5;1;147.93
1990-06-01 00:00:00;1990;6;1;88.73
1990-07-01 00:00:00;1990;7;1;105.74
1990-08-01 00:00:00;1990;8;1;132.69
