Lat:;11.8074561687;lon:;104.132693371;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;0.0
1985-02-01 00:00:00;1985;2;1;54.75
1985-03-01 00:00:00;1985;3;1;0.0
1985-04-01 00:00:00;1985;4;1;282.14
1985-05-01 00:00:00;1985;5;1;311.52
1985-06-01 00:00:00;1985;6;1;162.83
1985-07-01 00:00:00;1985;7;1;157.01
1985-08-01 00:00:00;1985;8;1;55.9
1985-09-01 00:00:00;1985;9;1;350.72
1985-10-01 00:00:00;1985;10;1;115.36
1985-11-01 00:00:00;1985;11;1;93.15
1985-12-01 00:00:00;1985;12;1;0.0
1986-01-01 00:00:00;1986;1;1;8.15
1986-02-01 00:00:00;1986;2;1;4.46
1986-03-01 00:00:00;1986;3;1;0.0
1986-04-01 00:00:00;1986;4;1;93.37
1986-05-01 00:00:00;1986;5;1;104.89
1986-06-01 00:00:00;1986;6;1;111.39
1986-07-01 00:00:00;1986;7;1;94.27
1986-08-01 00:00:00;1986;8;1;82.44
1986-09-01 00:00:00;1986;9;1;251.5
1986-10-01 00:00:00;1986;10;1;200.67
1986-11-01 00:00:00;1986;11;1;195.99
1986-12-01 00:00:00;1986;12;1;63.78
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.49
1987-03-01 00:00:00;1987;3;1;0.0
1987-04-01 00:00:00;1987;4;1;8.95
1987-05-01 00:00:00;1987;5;1;127.14
1987-06-01 00:00:00;1987;6;1;89.75
1987-07-01 00:00:00;1987;7;1;49.97
1987-08-01 00:00:00;1987;8;1;128.54
1987-09-01 00:00:00;1987;9;1;240.31
1987-10-01 00:00:00;1987;10;1;98.56
1987-11-01 00:00:00;1987;11;1;272.07
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;0.0
1988-02-01 00:00:00;1988;2;1;0.0
1988-03-01 00:00:00;1988;3;1;16.5
1988-04-01 00:00:00;1988;4;1;85.13
1988-05-01 00:00:00;1988;5;1;135.65
1988-06-01 00:00:00;1988;6;1;195.97
1988-07-01 00:00:00;1988;7;1;104.52
1988-08-01 00:00:00;1988;8;1;118.96
1988-09-01 00:00:00;1988;9;1;199.23
1988-10-01 00:00:00;1988;10;1;262.67
1988-11-01 00:00:00;1988;11;1;58.92
1988-12-01 00:00:00;1988;12;1;0.0
1989-01-01 00:00:00;1989;1;1;4.37
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;0.0
1989-04-01 00:00:00;1989;4;1;0.0
1989-05-01 00:00:00;1989;5;1;195.12
1989-06-01 00:00:00;1989;6;1;54.94
1989-07-01 00:00:00;1989;7;1;108.42
1989-08-01 00:00:00;1989;8;1;142.72
1989-09-01 00:00:00;1989;9;1;232.68
1989-10-01 00:00:00;1989;10;1;288.18
1989-11-01 00:00:00;1989;11;1;0.0
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;0.0
1990-02-01 00:00:00;1990;2;1;0.0
1990-03-01 00:00:00;1990;3;1;5.34
1990-04-01 00:00:00;1990;4;1;44.08
1990-05-01 00:00:00;1990;5;1;143.69
1990-06-01 00:00:00;1990;6;1;85.11
1990-07-01 00:00:00;1990;7;1;101.92
1990-08-01 00:00:00;1990;8;1;123.9
