Lat:;13.8472653434;lon:;103.799588016;mm/month
datetime;year;month;day;data
1985-01-01 00:00:00;1985;1;1;0.0
1985-02-01 00:00:00;1985;2;1;0.0
1985-03-01 00:00:00;1985;3;1;10.45
1985-04-01 00:00:00;1985;4;1;66.72
1985-05-01 00:00:00;1985;5;1;186.38
1985-06-01 00:00:00;1985;6;1;190.52
1985-07-01 00:00:00;1985;7;1;120.49
1985-08-01 00:00:00;1985;8;1;87.61
1985-09-01 00:00:00;1985;9;1;262.17
1985-10-01 00:00:00;1985;10;1;79.05
1985-11-01 00:00:00;1985;11;1;48.47
1985-12-01 00:00:00;1985;12;1;0.0
1986-01-01 00:00:00;1986;1;1;0.0
1986-02-01 00:00:00;1986;2;1;0.0
1986-03-01 00:00:00;1986;3;1;0.0
1986-04-01 00:00:00;1986;4;1;0.0
1986-05-01 00:00:00;1986;5;1;85.41
1986-06-01 00:00:00;1986;6;1;116.9
1986-07-01 00:00:00;1986;7;1;85.18
1986-08-01 00:00:00;1986;8;1;338.87
1986-09-01 00:00:00;1986;9;1;207.47
1986-10-01 00:00:00;1986;10;1;335.1
1986-11-01 00:00:00;1986;11;1;11.17
1986-12-01 00:00:00;1986;12;1;0.0
1987-01-01 00:00:00;1987;1;1;0.0
1987-02-01 00:00:00;1987;2;1;0.0
1987-03-01 00:00:00;1987;3;1;14.17
1987-04-01 00:00:00;1987;4;1;48.58
1987-05-01 00:00:00;1987;5;1;119.32
1987-06-01 00:00:00;1987;6;1;83.31
1987-07-01 00:00:00;1987;7;1;105.09
1987-08-01 00:00:00;1987;8;1;119.98
1987-09-01 00:00:00;1987;9;1;280.07
1987-10-01 00:00:00;1987;10;1;149.78
1987-11-01 00:00:00;1987;11;1;101.6
1987-12-01 00:00:00;1987;12;1;0.0
1988-01-01 00:00:00;1988;1;1;0.0
1988-02-01 00:00:00;1988;2;1;0.0
1988-03-01 00:00:00;1988;3;1;0.73
1988-04-01 00:00:00;1988;4;1;63.66
1988-05-01 00:00:00;1988;5;1;125.5
1988-06-01 00:00:00;1988;6;1;251.8
1988-07-01 00:00:00;1988;7;1;92.96
1988-08-01 00:00:00;1988;8;1;218.99
1988-09-01 00:00:00;1988;9;1;261.91
1988-10-01 00:00:00;1988;10;1;180.93
1988-11-01 00:00:00;1988;11;1;26.15
1988-12-01 00:00:00;1988;12;1;0.0
1989-01-01 00:00:00;1989;1;1;0.4
1989-02-01 00:00:00;1989;2;1;0.0
1989-03-01 00:00:00;1989;3;1;48.41
1989-04-01 00:00:00;1989;4;1;36.53
1989-05-01 00:00:00;1989;5;1;193.34
1989-06-01 00:00:00;1989;6;1;150.67
1989-07-01 00:00:00;1989;7;1;207.68
1989-08-01 00:00:00;1989;8;1;248.98
1989-09-01 00:00:00;1989;9;1;265.39
1989-10-01 00:00:00;1989;10;1;215.44
1989-11-01 00:00:00;1989;11;1;71.24
1989-12-01 00:00:00;1989;12;1;0.0
1990-01-01 00:00:00;1990;1;1;12.14
1990-02-01 00:00:00;1990;2;1;0.0
1990-03-01 00:00:00;1990;3;1;24.66
1990-04-01 00:00:00;1990;4;1;95.44
1990-05-01 00:00:00;1990;5;1;106.26
1990-06-01 00:00:00;1990;6;1;302.69
1990-07-01 00:00:00;1990;7;1;60.11
1990-08-01 00:00:00;1990;8;1;88.22
